symbol,entry_date,stop_pct,stop_mode,trail_mode,true_exit,true_px,got_exit,got_px,date_match,px_match,reason
SRM,2025-10-30,0.07,I,SC,2025-12-01,567.4,2025-12-01,567.4,True,True,trail
SRM,2025-10-30,0.07,I,NO,2025-12-01,567.4,2025-12-02,570.0,False,True,trail
SRM,2025-10-30,0.07,I,NC,2025-12-01,567.4,2025-12-02,571.6,False,True,trail
SRM,2025-10-30,0.07,C,SC,2025-12-01,567.4,2025-12-01,567.4,True,True,trail
SRM,2025-10-30,0.07,C,NO,2025-12-01,567.4,2025-12-02,570.0,False,True,trail
SRM,2025-10-30,0.07,C,NC,2025-12-01,567.4,2025-12-02,571.6,False,True,trail
SRM,2025-10-30,0.08,I,SC,2025-12-01,567.4,2025-12-01,567.4,True,True,trail
SRM,2025-10-30,0.08,I,NO,2025-12-01,567.4,2025-12-02,570.0,False,True,trail
SRM,2025-10-30,0.08,I,NC,2025-12-01,567.4,2025-12-02,571.6,False,True,trail
SRM,2025-10-30,0.08,C,SC,2025-12-01,567.4,2025-12-01,567.4,True,True,trail
SRM,2025-10-30,0.08,C,NO,2025-12-01,567.4,2025-12-02,570.0,False,True,trail
SRM,2025-10-30,0.08,C,NC,2025-12-01,567.4,2025-12-02,571.6,False,True,trail
CARTRADE,2025-10-24,0.07,I,SC,2025-12-08,2760.5,2025-12-08,2760.5,True,True,trail
CARTRADE,2025-10-24,0.07,I,NO,2025-12-08,2760.5,2025-12-09,2764.6,False,True,trail
CARTRADE,2025-10-24,0.07,I,NC,2025-12-08,2760.5,2025-12-09,2716.5,False,False,trail
CARTRADE,2025-10-24,0.07,C,SC,2025-12-08,2760.5,2025-12-08,2760.5,True,True,trail
CARTRADE,2025-10-24,0.07,C,NO,2025-12-08,2760.5,2025-12-09,2764.6,False,True,trail
CARTRADE,2025-10-24,0.07,C,NC,2025-12-08,2760.5,2025-12-09,2716.5,False,False,trail
CARTRADE,2025-10-24,0.08,I,SC,2025-12-08,2760.5,2025-12-08,2760.5,True,True,trail
CARTRADE,2025-10-24,0.08,I,NO,2025-12-08,2760.5,2025-12-09,2764.6,False,True,trail
CARTRADE,2025-10-24,0.08,I,NC,2025-12-08,2760.5,2025-12-09,2716.5,False,False,trail
CARTRADE,2025-10-24,0.08,C,SC,2025-12-08,2760.5,2025-12-08,2760.5,True,True,trail
CARTRADE,2025-10-24,0.08,C,NO,2025-12-08,2760.5,2025-12-09,2764.6,False,True,trail
CARTRADE,2025-10-24,0.08,C,NC,2025-12-08,2760.5,2025-12-09,2716.5,False,False,trail
ASHAPURMIN,2025-09-01,0.07,I,SC,2025-11-06,621.15,2025-11-06,621.15,True,True,trail
ASHAPURMIN,2025-09-01,0.07,I,NO,2025-11-06,621.15,2025-11-07,623.65,False,True,trail
ASHAPURMIN,2025-09-01,0.07,I,NC,2025-11-06,621.15,2025-11-07,636.45,False,False,trail
ASHAPURMIN,2025-09-01,0.07,C,SC,2025-11-06,621.15,2025-11-06,621.15,True,True,trail
ASHAPURMIN,2025-09-01,0.07,C,NO,2025-11-06,621.15,2025-11-07,623.65,False,True,trail
ASHAPURMIN,2025-09-01,0.07,C,NC,2025-11-06,621.15,2025-11-07,636.45,False,False,trail
ASHAPURMIN,2025-09-01,0.08,I,SC,2025-11-06,621.15,2025-11-06,621.15,True,True,trail
ASHAPURMIN,2025-09-01,0.08,I,NO,2025-11-06,621.15,2025-11-07,623.65,False,True,trail
ASHAPURMIN,2025-09-01,0.08,I,NC,2025-11-06,621.15,2025-11-07,636.45,False,False,trail
ASHAPURMIN,2025-09-01,0.08,C,SC,2025-11-06,621.15,2025-11-06,621.15,True,True,trail
ASHAPURMIN,2025-09-01,0.08,C,NO,2025-11-06,621.15,2025-11-07,623.65,False,True,trail
ASHAPURMIN,2025-09-01,0.08,C,NC,2025-11-06,621.15,2025-11-07,636.45,False,False,trail
INDIASHLTR,2025-08-28,0.07,I,SC,2025-09-01,904.85,2025-09-01,904.85,True,True,trail
INDIASHLTR,2025-08-28,0.07,I,NO,2025-09-01,904.85,2025-09-02,902.0,False,True,trail
INDIASHLTR,2025-08-28,0.07,I,NC,2025-09-01,904.85,2025-09-02,909.35,False,True,trail
INDIASHLTR,2025-08-28,0.07,C,SC,2025-09-01,904.85,2025-09-01,904.85,True,True,trail
INDIASHLTR,2025-08-28,0.07,C,NO,2025-09-01,904.85,2025-09-02,902.0,False,True,trail
INDIASHLTR,2025-08-28,0.07,C,NC,2025-09-01,904.85,2025-09-02,909.35,False,True,trail
INDIASHLTR,2025-08-28,0.08,I,SC,2025-09-01,904.85,2025-09-01,904.85,True,True,trail
INDIASHLTR,2025-08-28,0.08,I,NO,2025-09-01,904.85,2025-09-02,902.0,False,True,trail
INDIASHLTR,2025-08-28,0.08,I,NC,2025-09-01,904.85,2025-09-02,909.35,False,True,trail
INDIASHLTR,2025-08-28,0.08,C,SC,2025-09-01,904.85,2025-09-01,904.85,True,True,trail
INDIASHLTR,2025-08-28,0.08,C,NO,2025-09-01,904.85,2025-09-02,902.0,False,True,trail
INDIASHLTR,2025-08-28,0.08,C,NC,2025-09-01,904.85,2025-09-02,909.35,False,True,trail
ZOTA,2025-08-12,0.07,I,SC,2025-12-18,1566.6,2025-08-12,1201.47,False,False,stop
ZOTA,2025-08-12,0.07,I,NO,2025-12-18,1566.6,2025-08-12,1201.47,False,False,stop
ZOTA,2025-08-12,0.07,I,NC,2025-12-18,1566.6,2025-08-12,1201.47,False,False,stop
ZOTA,2025-08-12,0.07,C,SC,2025-12-18,1566.6,2025-08-28,1200.97,False,False,stop
ZOTA,2025-08-12,0.07,C,NO,2025-12-18,1566.6,2025-08-28,1200.97,False,False,stop
ZOTA,2025-08-12,0.07,C,NC,2025-12-18,1566.6,2025-08-28,1200.97,False,False,stop
ZOTA,2025-08-12,0.08,I,SC,2025-12-18,1566.6,2025-08-28,1188.55,False,False,stop
ZOTA,2025-08-12,0.08,I,NO,2025-12-18,1566.6,2025-08-28,1188.55,False,False,stop
ZOTA,2025-08-12,0.08,I,NC,2025-12-18,1566.6,2025-08-28,1188.55,False,False,stop
ZOTA,2025-08-12,0.08,C,SC,2025-12-18,1566.6,2025-12-18,1566.6,True,True,trail
ZOTA,2025-08-12,0.08,C,NO,2025-12-18,1566.6,2025-12-19,1580.0,False,True,trail
ZOTA,2025-08-12,0.08,C,NC,2025-12-18,1566.6,2025-12-19,1549.3,False,False,trail
MAHSCOOTER,2025-07-29,0.07,I,SC,2025-10-23,16717.0,2025-10-23,16717.0,True,True,trail
MAHSCOOTER,2025-07-29,0.07,I,NO,2025-10-23,16717.0,2025-10-24,16750.0,False,True,trail
MAHSCOOTER,2025-07-29,0.07,I,NC,2025-10-23,16717.0,2025-10-24,16419.0,False,False,trail
MAHSCOOTER,2025-07-29,0.07,C,SC,2025-10-23,16717.0,2025-10-23,16717.0,True,True,trail
MAHSCOOTER,2025-07-29,0.07,C,NO,2025-10-23,16717.0,2025-10-24,16750.0,False,True,trail
MAHSCOOTER,2025-07-29,0.07,C,NC,2025-10-23,16717.0,2025-10-24,16419.0,False,False,trail
MAHSCOOTER,2025-07-29,0.08,I,SC,2025-10-23,16717.0,2025-10-23,16717.0,True,True,trail
MAHSCOOTER,2025-07-29,0.08,I,NO,2025-10-23,16717.0,2025-10-24,16750.0,False,True,trail
MAHSCOOTER,2025-07-29,0.08,I,NC,2025-10-23,16717.0,2025-10-24,16419.0,False,False,trail
MAHSCOOTER,2025-07-29,0.08,C,SC,2025-10-23,16717.0,2025-10-23,16717.0,True,True,trail
