symbol,entry,buy,exact_close_pivot,pivot_age,n_closes_above,n_highs_above,trig_close,trig_high,prev_close_gap_pct,base_depth_pct,n_contractions,d_seq,d1,d2,d3,d4,vol_tail_ratio
MCX,2025-12-22,2084.9,True,17,0,2,True,True,1.15,6.47,1,7.28,7.28,,,,0.79
MUFIN,2025-12-19,114.86,True,23,0,1,True,True,2.94,12.95,3,6.22;12.21;6.69,6.22,12.21,6.69,,0.85
SMLMAH,2025-12-02,3259.3,True,19,0,1,True,True,1.69,15.66,2,15.8;6.49,15.8,6.49,,,1.01
LUMAXTECH,2025-11-10,1322.7,True,27,0,2,True,True,9.26,15.32,2,16.2;6.8,16.2,6.8,,,0.91
SRM,2025-10-30,570.45,True,14,0,2,True,True,0.52,7.34,1,9.63,9.63,,,,0.75
CARTRADE,2025-10-24,2540.6,True,23,0,4,True,True,0.87,6.6,2,9.33;4.1,9.33,4.1,,,0.75
ASHAPURMIN,2025-09-01,521.95,True,8,0,3,True,True,1.13,9.54,0,,,,,,1.53
CUPID,2025-08-28,34.39,True,2,0,1,True,True,1.13,1.72,0,,,,,,1.03
INDIASHLTR,2025-08-28,933.0,True,9,0,3,True,True,2.48,3.86,0,,,,,,1.39
ZOTA,2025-08-12,1291.9,True,23,0,0,True,True,6.9,11.55,2,11.08;7.4,11.08,7.4,,,0.68
MAHSCOOTER,2025-07-29,15314.0,True,19,0,1,True,True,2.65,8.91,1,9.4,9.4,,,,1.12
SUVEN,2025-07-07,260.57,True,17,0,0,True,True,2.1,17.14,1,20.54,20.54,,,,0.27
TFCILTD,2025-06-27,46.88,True,4,0,2,True,True,1.45,3.48,0,,,,,,0.6
KFINTECH,2025-06-23,1286.6,False,42,0,1,True,True,1.75,22.31,4,23.76;4.43;5.17;9.14,23.76,4.43,5.17,9.14,0.63
V2RETAIL,2025-05-26,191.11,True,23,0,2,True,True,0.95,17.53,2,17.53;6.1,17.53,6.1,,,0.76
HEG,2025-05-19,500.65,True,29,0,1,True,True,2.01,18.89,3,20.64;8.53;15.51,20.64,8.53,15.51,,1.03
NAZARA,2025-05-09,271.84,True,157,0,2,True,True,0.6,23.25,16,18.86;16.54;9.81;7.46;9.07,18.86,16.54,9.81,7.46,1.01
NAZARA,2025-05-07,266.06,True,71,0,1,True,True,4.55,15.34,9,15.73;3.14;8.05;4.17;3.16,15.73,3.14,8.05,4.17,1.38
LAURUSLABS,2025-04-22,641.35,True,46,0,1,True,True,0.16,20.11,4,20.71;6.23;5.89;18.98,20.71,6.23,5.89,18.98,1.27
HCG,2025-04-15,544.4,True,13,0,3,True,True,1.93,7.93,2,6.39;5.75,6.39,5.75,,,0.63
ORIENTCEM,2025-04-08,352.45,True,116,0,4,True,True,0.48,9.89,9,6.55;5.69;3.37;5.95;4.98,6.55,5.69,3.37,5.95,1.15
V2RETAIL,2025-04-02,174.6,True,5,0,1,True,True,1.26,6.07,0,,,,,,0.57
CARTRADE,2025-03-17,1582.4,True,21,0,10,True,True,1.48,11.97,1,13.95,13.95,,,,0.63
GLOBUSSPR,2025-03-07,956.9,True,23,0,5,True,True,1.27,16.4,2,16.37;12.28,16.37,12.28,,,0.95
PGIL,2025-03-06,1456.9,True,9,0,1,True,True,4.0,12.79,0,,,,,,0.86
GULFOILLUB,2025-03-06,1187.5,True,45,0,0,True,True,2.29,21.89,4,16.23;14.37;4.07;12.32,16.23,14.37,4.07,12.32,0.83
CHOLAFIN,2025-02-27,1395.25,True,4,0,2,True,True,1.97,4.1,0,,,,,,0.94
CHAMBLFERT,2025-02-25,561.35,True,3,0,1,True,True,4.19,5.14,0,,,,,,0.47
APARINDS,2025-01-06,10956.15,True,1,0,0,True,True,0.05,,0,,,,,,
FSL,2025-01-01,383.7,True,13,0,1,True,True,2.01,9.71,1,11.51,11.51,,,,0.71
AMBER,2024-12-23,6542.6,True,20,0,1,True,True,6.41,13.68,2,12.18;7.36,12.18,7.36,,,1.09
AMBER,2024-11-21,6280.55,True,15,0,6,True,True,1.78,6.54,2,6.15;7.41,6.15,7.41,,,0.75
FORTIS,2024-10-31,619.7,True,12,0,1,True,True,0.9,7.7,1,8.11,8.11,,,,1.12
COHANCE,2024-10-29,1276.8,True,6,0,3,True,True,0.78,4.21,0,,,,,,0.63
CHOICEIN,2024-09-24,464.3,True,1,0,0,True,True,0.02,,0,,,,,,
BHAGCHEM,2024-08-19,374.11,True,13,0,1,True,True,4.72,13.17,1,14.45,14.45,,,,0.88
GRWRHITECH,2024-08-08,2569.95,False,25,0,2,True,True,6.73,15.56,2,16.44;11.17,16.44,11.17,,,0.82
