family,params,n,price_hit,first_hit,both,price_pct,both_pct
F1_rolling,N=30,37,25,28,23,67.6,62.2
F1_rolling,N=25,37,24,28,22,64.9,59.5
F1_rolling,N=60,37,22,27,21,59.5,56.8
F1_rolling,N=75,37,22,26,21,59.5,56.8
F1_rolling,N=35,37,22,25,20,59.5,54.1
F1_rolling,N=40,37,22,25,20,59.5,54.1
F1_rolling,N=50,37,22,26,20,59.5,54.1
F1_rolling,N=150,37,20,21,19,54.1,51.4
F2_basehigh,L=30;X=0.03,37,20,22,19,54.1,51.4
F2_basehigh,L=30;X=0.05,37,19,22,19,51.4,51.4
F1_rolling,N=20,37,20,29,18,54.1,48.6
F1_rolling,N=100,37,19,22,18,51.4,48.6
F1_rolling,N=252,37,19,20,18,51.4,48.6
F2_basehigh,L=60;X=0.03,37,18,21,17,48.6,45.9
F2_basehigh,L=60;X=0.05,37,17,21,17,45.9,45.9
F2_basehigh,L=45;X=0.03,37,17,20,16,45.9,43.2
F2_basehigh,L=45;X=0.05,37,16,20,16,43.2,43.2
F3_zigzag,z=0.05,37,16,22,16,43.2,43.2
F2_basehigh,L=120;X=0.03,37,16,17,15,43.2,40.5
F2_basehigh,L=120;X=0.05,37,15,17,15,40.5,40.5
F3_zigzag,z=0.04,37,15,21,15,40.5,40.5
F1_rolling,N=15,37,16,22,14,43.2,37.8
F2_basehigh,L=90;X=0.03,37,15,18,14,40.5,37.8
F2_basehigh,L=180;X=0.03,37,15,16,14,40.5,37.8
F2_basehigh,L=252;X=0.03,37,15,16,14,40.5,37.8
F2_basehigh,L=90;X=0.05,37,14,18,14,37.8,37.8
F2_basehigh,L=180;X=0.05,37,14,16,14,37.8,37.8
F2_basehigh,L=252;X=0.05,37,14,16,14,37.8,37.8
F3_zigzag,z=0.03,37,14,20,14,37.8,37.8
F3_zigzag,z=0.02,37,13,21,13,35.1,35.1
F3_zigzag,z=0.07,37,13,19,13,35.1,35.1
F3_zigzag,z=0.1,37,12,19,12,32.4,32.4
F3_zigzag,z=0.015,37,12,18,11,32.4,29.7
F2_basehigh,L=30;X=0.08,37,11,13,11,29.7,29.7
F2_basehigh,L=60;X=0.08,37,10,13,10,27.0,27.0
F1_rolling,N=10,37,11,21,9,29.7,24.3
F2_basehigh,L=30;X=0.1,37,9,10,9,24.3,24.3
F2_basehigh,L=45;X=0.08,37,9,12,9,24.3,24.3
F2_basehigh,L=120;X=0.08,37,9,10,9,24.3,24.3
F3_zigzag,z=0.01,37,9,18,8,24.3,21.6
F2_basehigh,L=30;X=0.12,37,8,9,8,21.6,21.6
F2_basehigh,L=60;X=0.1,37,8,11,8,21.6,21.6
F2_basehigh,L=60;X=0.12,37,8,11,8,21.6,21.6
F2_basehigh,L=90;X=0.08,37,8,11,8,21.6,21.6
F2_basehigh,L=180;X=0.08,37,8,9,8,21.6,21.6
F2_basehigh,L=252;X=0.08,37,8,9,8,21.6,21.6
F2_basehigh,L=45;X=0.1,37,7,10,7,18.9,18.9
F2_basehigh,L=45;X=0.12,37,7,10,7,18.9,18.9
F2_basehigh,L=90;X=0.1,37,6,9,6,16.2,16.2
F2_basehigh,L=90;X=0.12,37,6,9,6,16.2,16.2
F2_basehigh,L=120;X=0.1,37,6,7,6,16.2,16.2
F2_basehigh,L=120;X=0.12,37,6,7,6,16.2,16.2
F2_basehigh,L=180;X=0.1,37,6,7,6,16.2,16.2
F2_basehigh,L=180;X=0.12,37,6,7,6,16.2,16.2
F2_basehigh,L=252;X=0.1,37,6,7,6,16.2,16.2
F2_basehigh,L=252;X=0.12,37,6,7,6,16.2,16.2
F2_basehigh,L=60;X=0.15,37,4,6,4,10.8,10.8
F2_basehigh,L=30;X=0.15,37,3,3,3,8.1,8.1
F2_basehigh,L=45;X=0.15,37,3,5,3,8.1,8.1
F2_basehigh,L=180;X=0.15,37,3,3,3,8.1,8.1
F2_basehigh,L=252;X=0.15,37,3,3,3,8.1,8.1
F2_basehigh,L=90;X=0.15,37,2,4,2,5.4,5.4
F2_basehigh,L=120;X=0.15,37,2,2,2,5.4,5.4
F2_basehigh,L=180;X=0.2,37,2,2,2,5.4,5.4
F2_basehigh,L=252;X=0.2,37,2,2,2,5.4,5.4
F2_basehigh,L=45;X=0.2,37,1,1,1,2.7,2.7
F2_basehigh,L=60;X=0.2,37,1,2,1,2.7,2.7
F2_basehigh,L=90;X=0.2,37,1,2,1,2.7,2.7
F2_basehigh,L=120;X=0.2,37,1,1,1,2.7,2.7
F2_basehigh,L=30;X=0.2,37,0,0,0,0.0,0.0
