cell,phase,params,seeds,window,x_med,cagr_med,cagr_min,cagr_max,cagr_worst_seed,dd_med,dd_worst,calmar_med,n_med,win_med,avg_win,avg_loss,mean_tr,median_tr,streak,tpy,signals,passed_up,yearly_med,runtime_s
p5_their_dials_2020,p5,"{""pivot_n"": 30, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.07, ""exit_kind"": ""sma50"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2020-01-01"", ""end"": ""2025-12-31"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",30,2020-01-01:2025-12-31,5.38,32.38,6.49,61.61,6.49,-34.53,-43.01,0.963,121,43.1,26.32,-6.55,7.591,-2.261,8,20.2,18269,18148,"{""2020"": 31.0, ""2021"": 100.6, ""2022"": 4.8, ""2023"": 52.2, ""2024"": 38.2, ""2025"": -9.2}",7.2
p5_stop8_2020,p5,"{""pivot_n"": 30, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma50"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2020-01-01"", ""end"": ""2025-12-31"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",30,2020-01-01:2025-12-31,4.94,30.49,12.43,55.59,12.43,-31.79,-47.99,0.901,123,44.0,26.09,-6.68,7.841,-2.235,8,20.5,18269,18146,"{""2020"": 30.4, ""2021"": 82.9, ""2022"": 4.6, ""2023"": 58.6, ""2024"": 40.4, ""2025"": -10.3}",4.0
p5_fixed16x6.25_2020,p5,"{""pivot_n"": 30, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma50"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2020-01-01"", ""end"": ""2025-12-31"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",30,2020-01-01:2025-12-31,6.46,36.49,26.83,47.53,26.83,-29.39,-34.2,1.229,575,42.4,26.95,-6.87,7.527,-2.579,21,95.9,18269,17687,"{""2020"": 38.0, ""2021"": 110.3, ""2022"": 4.2, ""2023"": 61.5, ""2024"": 38.9, ""2025"": -5.9}",5.9
p5_fixed8x18.75_2020,p5,"{""pivot_n"": 30, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma50"", ""breakeven_at"": 0.0, ""slots"": 8, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.1875, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2020-01-01"", ""end"": ""2025-12-31"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",30,2020-01-01:2025-12-31,5.98,34.71,16.42,47.78,16.42,-33.89,-38.24,1.015,183,43.6,25.6,-6.72,7.554,-2.477,13,30.6,18269,18085,"{""2020"": 31.8, ""2021"": 102.3, ""2022"": 2.7, ""2023"": 58.8, ""2024"": 39.3, ""2025"": -12.7}",4.3
p5_their_dials_2012,p5,"{""pivot_n"": 30, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.07, ""exit_kind"": ""sma50"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",30,2012-01-01:2026-09-01,56.22,31.62,22.41,49.27,22.41,-44.03,-56.32,0.714,273,43.6,26.61,-6.15,8.074,-1.891,11,18.6,29714,29441,"{""2012"": 55.0, ""2013"": 30.1, ""2014"": 70.2, ""2015"": -2.7, ""2016"": 42.0, ""2017"": 86.9, ""2018"": -21.3, ""2019"": 12.2, ""2020"": 52.2, ""2021"": 106.4, ""2022"": 14.4, ""2023"": 43.6, ""2024"": 32.6, ""2025"": -5.0, ""2026"": 12.2}",8.8
p5_stop8_2012,p5,"{""pivot_n"": 30, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma50"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",30,2012-01-01:2026-09-01,51.03,30.76,19.32,44.95,19.32,-41.82,-53.54,0.747,278,44.1,26.45,-6.45,8.626,-1.684,11,19.0,29714,29435,"{""2012"": 58.4, ""2013"": 26.0, ""2014"": 63.5, ""2015"": -2.4, ""2016"": 32.2, ""2017"": 79.0, ""2018"": -17.6, ""2019"": 7.0, ""2020"": 40.2, ""2021"": 103.0, ""2022"": 13.2, ""2023"": 54.4, ""2024"": 31.0, ""2025"": -5.4, ""2026"": 7.6}",8.2
p5_fixed16x6.25_2012,p5,"{""pivot_n"": 30, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma50"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",30,2012-01-01:2026-09-01,52.32,30.98,22.91,36.1,22.91,-34.22,-42.29,0.893,1329,42.8,24.86,-6.46,6.919,-2.034,27,90.7,29714,28384,"{""2012"": 51.0, ""2013"": 10.4, ""2014"": 74.3, ""2015"": -0.3, ""2016"": 12.4, ""2017"": 102.2, ""2018"": -18.4, ""2019"": 14.3, ""2020"": 45.7, ""2021"": 116.5, ""2022"": 9.0, ""2023"": 66.2, ""2024"": 42.3, ""2025"": -6.2, ""2026"": 13.0}",13.3
p5_fixed8x18.75_2012,p5,"{""pivot_n"": 30, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma50"", ""breakeven_at"": 0.0, ""slots"": 8, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.1875, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",30,2012-01-01:2026-09-01,53.09,31.11,26.86,39.82,26.86,-43.54,-51.3,0.721,417,44.1,26.25,-6.37,7.681,-1.97,14,28.5,29714,29296,"{""2012"": 67.5, ""2013"": 24.7, ""2014"": 60.7, ""2015"": 6.6, ""2016"": 29.4, ""2017"": 106.2, ""2018"": -23.5, ""2019"": 10.4, ""2020"": 39.8, ""2021"": 116.8, ""2022"": 13.2, ""2023"": 54.2, ""2024"": 41.2, ""2025"": -8.9, ""2026"": 14.3}",9.2
p5_their_dials_2006,p5,"{""pivot_n"": 30, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.07, ""exit_kind"": ""sma50"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2006-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",30,2006-01-01:2026-09-01,108.81,25.48,15.17,31.57,15.17,-54.92,-58.73,0.446,408,39.7,26.01,-6.28,6.42,-2.64,15,19.7,33135,32727,"{""2006"": 21.0, ""2007"": 110.8, ""2008"": -48.5, ""2009"": 87.3, ""2010"": -0.9, ""2011"": -11.0, ""2012"": 27.2, ""2013"": 32.3, ""2014"": 69.6, ""2015"": 2.4, ""2016"": 39.3, ""2017"": 96.0, ""2018"": -14.7, ""2019"": 3.2, ""2020"": 47.3, ""2021"": 115.4, ""2022"": 8.8, ""2023"": 49.9, ""2024"": 26.4, ""2025"": -10.2, ""2026"": 20.4}",10.3
p5_stop8_2006,p5,"{""pivot_n"": 30, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma50"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2006-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",30,2006-01-01:2026-09-01,55.45,21.45,17.2,29.93,17.2,-52.66,-56.06,0.406,412,40.2,25.67,-6.64,6.171,-2.665,14,20.0,33135,32722,"{""2006"": 16.3, ""2007"": 95.1, ""2008"": -45.6, ""2009"": 71.4, ""2010"": -1.5, ""2011"": -9.0, ""2012"": 26.4, ""2013"": 25.0, ""2014"": 61.0, ""2015"": 4.4, ""2016"": 29.8, ""2017"": 85.0, ""2018"": -16.0, ""2019"": 4.6, ""2020"": 46.4, ""2021"": 95.1, ""2022"": 7.2, ""2023"": 49.8, ""2024"": 23.6, ""2025"": -8.4, ""2026"": 14.3}",10.7
