pair,seed,daily,monthly
VCP~OA,1,0.7585425977376892,0.7606065108910011
VCP~OA,2,0.7344104230195678,0.7514036567862404
VCP~OA,3,0.7680094802262564,0.7776910567200519
VCP~OA,4,0.7494827593184649,0.7773881819712654
VCP~OA,5,0.7455286750848235,0.7361852635139199
VCP~OA,6,0.7492842083467852,0.7580952341525323
VCP~OA,7,0.744480916741226,0.7536698002774941
VCP~OA,8,0.7585315385619319,0.7753287994395062
VCP~OA,9,0.7458100699189343,0.7780684964638434
VCP~OA,10,0.757543533357723,0.7532046641138597
VCP~TN,0,0.4713532854411043,0.5609040789125754
VCP~TN,1,0.47998059675310306,0.5455435561391296
VCP~TN,2,0.48215003614587226,0.522946821138061
OA~TN,0,0.41770177976570033,0.510032889541406
