,ret_median,dd_median,ret_min,ret_max
2006,55.9,-15.2,45.7,62.8
2007,128.6,-15.5,112.4,142.8
2008,-29.8,-36.7,-32.8,-28.3
2009,69.1,-11.9,51.6,83.6
2010,23.6,-10.4,16.5,33.2
2011,-16.8,-17.2,-20.2,-13.4
2012,12.6,-16.0,5.4,17.6
2013,9.2,-12.1,3.8,14.9
2014,89.4,-11.4,66.3,111.4
2015,11.1,-20.1,0.0,25.9
2016,17.8,-16.8,2.6,31.5
2017,106.4,-18.7,83.8,163.2
2018,-17.2,-26.4,-22.0,-11.8
2019,15.0,-11.6,5.7,28.6
2020,85.9,-11.5,63.4,110.9
2021,132.4,-10.8,90.9,176.8
2022,33.8,-24.2,11.1,51.9
2023,72.1,-12.1,43.3,101.8
2024,57.6,-16.0,34.3,82.2
2025,18.5,-20.0,-7.3,36.2
2026,15.8,-24.3,1.6,38.5
