w3,cand,cagr_med,cagr_min,dd_med,dd_worst,calmar_med,calmar_min
0.0,TN+OA 50-50 BASELINE,26.16,23.69,-16.1,-18.87,1.56,1.39
0.1,MYB,26.04,23.82,-14.45,-16.8,1.74,1.55
0.1,cash-null,24.03,21.83,-14.06,-16.4,1.65,1.47
0.15,MYB,25.96,23.82,-13.59,-15.93,1.84,1.64
0.15,cash-null,22.96,20.9,-13.0,-15.14,1.7,1.52
0.2,MYB,25.89,23.79,-12.73,-15.06,1.94,1.72
0.2,cash-null,21.89,19.97,-11.93,-13.87,1.76,1.58
0.25,MYB,25.81,23.75,-12.12,-14.18,2.04,1.82
0.25,cash-null,20.83,19.04,-10.79,-12.59,1.84,1.65
0.33,MYB,25.62,23.66,-11.65,-13.28,2.17,1.85
0.33,cash-null,19.13,17.54,-9.14,-10.54,2.01,1.8
