w3,offset,seed,d_cagr,d_dd,d_calmar,d_calmar_vs_cash,d_cagr_vs_cash
0.1,0,s1,-0.13969020490813833,1.6199093058609773,0.21951074078536226,0.08096712865110867,2.011116315410643
0.1,0,s2,-0.11797468732022054,1.8086251170615792,0.21274142983312405,0.09391668075385629,2.0182475336862495
0.1,0,s3,-0.1556474861233994,1.4592962995296102,0.16861718978883533,0.05686662235919804,2.024303389584258
0.1,0,s4,-0.08201265039087247,1.887747207799574,0.19175436516217892,0.0908856419493893,2.0174731243206807
0.1,0,s5,-0.3591990371639717,2.031057706692385,0.22620569580724692,0.11032760618104409,1.9383375659131516
0.1,0,s6,-0.24943316341381205,1.4118638788915163,0.17937648857690358,0.06871827328263835,1.868629788860268
0.1,0,s7,-0.26852143118993865,1.3854316661453527,0.1853402702184297,0.04219220737677132,1.999927340221543
0.1,0,s8,-0.04677985292551412,1.3166947902256254,0.18590988179861379,0.05380333792002401,2.0791263085736986
0.1,0,s9,-0.11715688849150041,1.7722836267445636,0.21242242979444237,0.09199688950034912,1.9980511742587979
0.1,0,s10,-0.2232912429195295,1.6122070291602295,0.24716475708173657,0.08655082785187451,1.9463140061221083
0.1,4,s1,-0.16348187937067493,1.5817545816768952,0.14506402941836405,0.056033516927863625,2.0134098676343406
0.1,4,s2,-0.14478091109027247,1.64947349701794,0.13659625945528409,0.05658380248601169,2.020199423425751
0.1,4,s3,-0.18015519198837637,1.7332061927740519,0.1386066576029792,0.061476129485887654,2.026557038338961
0.1,4,s4,-0.11486507221718512,2.0795580591490115,0.16477027960336632,0.08549337153100423,2.017911494298307
0.1,4,s5,-0.38846646118413375,2.2290939315896203,0.18990283152469134,0.10023215404376562,1.9405494830223802
0.1,4,s6,-0.27252059238353965,1.631683632923588,0.13921228378384054,0.05138196401582373,1.8704489177622925
0.1,4,s7,-0.295018506623169,1.6094743953251154,0.1440407707000706,0.05367283462939376,1.9995091696673803
0.1,4,s8,-0.07399785746657983,1.5979597401279833,0.15086326691873597,0.06252970620826437,2.082220715036229
0.1,4,s9,-0.14349551384860249,1.77526392782522,0.15861656029062954,0.06592838929554645,1.9986337758903545
0.1,4,s10,-0.25088561757760175,1.520102374153442,0.15465007258625318,0.051930444389942876,1.9491039456025234
0.1,8,s1,0.08190074423608351,1.5416363828289157,0.16442904356540544,0.09530822818575069,1.986161420102306
0.1,8,s2,0.10398479964799279,1.536500431153641,0.18316458742922892,0.09848644244297189,1.9936642832580667
0.1,8,s3,0.06679077072480055,1.5313316615946704,0.16772981627976025,0.0960706007451877,1.9988643780746607
0.1,8,s4,0.1325663188139501,1.8872315654187695,0.1965450995468252,0.09463150431279299,1.9903157019085924
0.1,8,s5,-0.13779905875337306,1.5470774984530777,0.15816742590362454,0.0878823741482686,1.9146968927888501
0.1,8,s6,-0.02917273005029486,1.5609060216332011,0.15260369708219668,0.08547606860096257,1.8460049661343874
0.1,8,s7,-0.04922653898971063,1.4819869921478777,0.17018328193961407,0.094402514476005,1.972424085821011
0.1,8,s8,0.16873343294478715,1.4847560247357237,0.17707825338301153,0.10236011112346421,2.052821993379329
0.1,8,s9,0.10083835183045764,1.4627775699087007,0.17683645617983723,0.09770063712682653,1.972460608677551
0.1,8,s10,-0.0029416238575663556,3.2429107633101033,0.35781144169080537,0.2752488251712688,1.923647040238727
0.15,0,s1,-0.2212519750876858,2.269299363205878,0.3218461971746007,0.10370534856171565,3.0031223618149703
0.15,0,s2,-0.18943458887750353,2.5402038539705796,0.3137663324623374,0.11738755026238135,3.013758154524737
0.15,0,s3,-0.2461290657420605,2.189390662202495,0.26597970582474884,0.0818808985573718,3.0220840718891537
0.15,0,s4,-0.13533636872777777,2.8382584733835152,0.30721679753137554,0.1408039832132446,3.0130051702089276
0.15,0,s5,-0.5508488781790248,3.053119860569753,0.3660906408940414,0.17457359705701836,2.8930807726341925
0.15,0,s6,-0.3856388412751599,2.088066133370802,0.2785812810269579,0.11060720591060447,2.790685981215656
0.15,0,s7,-0.41438232901058925,2.0486684516458062,0.2875464943770687,0.056042374129364525,2.985416395972873
0.15,0,s8,-0.08280894632013158,1.9741008661563466,0.292773655788618,0.07466756946779807,3.104600856348384
0.15,0,s9,-0.18792023687053216,2.6631374535654793,0.340694528613144,0.14156417858347603,2.983736954274452
0.15,0,s10,-0.34632160614538066,2.3472105100039062,0.3816724446551305,0.11492876029947041,2.9064449963106753
0.15,4,s1,-0.2574350299489261,2.374322931498906,0.22855459805820533,0.08221381671772776,3.0063942588629544
0.15,4,s2,-0.22997396598827535,2.4763713902103213,0.21507172698437094,0.08369839544817692,3.0165792278354466
0.15,4,s3,-0.2833178328983692,2.6033954132084887,0.21877130825035573,0.09211112780143793,3.0253382492315026
0.15,4,s4,-0.18458244961916392,3.005162793719963,0.2508266401529575,0.12034034309736685,3.0136726532487224
0.15,4,s5,-0.5950131325126442,3.1420094500919316,0.2807498164328408,0.13297475005901793,2.896251939996187
0.15,4,s6,-0.4207618877237529,2.4500396466112146,0.21970329369796726,0.07545590871897767,2.7933062618247924
0.15,4,s7,-0.4543299853961429,2.415749093563278,0.22711080267334327,0.07850265328306016,2.984927203222121
0.15,4,s8,-0.12399081429537162,2.398858835898297,0.23780756498458722,0.09262727286671035,3.1090195380413235
0.15,4,s9,-0.22771564641812247,2.587219780688697,0.24244104966169466,0.08972139569097615,2.9846186995527795
0.15,4,s10,-0.3880002241464027,2.2813869026064406,0.2440006040793612,0.0749801838713613,2.910468913582907
0.15,8,s1,0.11085405211723653,2.319867654636443,0.26053129334283454,0.14798131504354384,2.9679695419732255
0.15,8,s2,0.14323896989560936,2.2778268472944276,0.28618002982838986,0.15264795985434132,2.979148684185919
0.15,8,s3,0.08729569318659713,2.303902792164747,0.26571069936176417,0.14905882962066186,2.986271452157286
0.15,8,s4,0.18672045373102364,2.835598877346925,0.3150167456778987,0.14710014467833554,2.9747409810088037
0.15,8,s5,-0.21903906785050253,2.327989876625992,0.25062811539095997,0.1360981528187768,2.8598064651753177
0.15,8,s6,-0.05553969411644388,2.3492327424966195,0.24179574803100135,0.13255986053682944,2.7588138376859277
0.15,8,s7,-0.08544939423187259,2.229747496313795,0.26972816403062594,0.1461683295886027,2.9466918950776595
0.15,8,s8,0.24051664781534754,2.2338962318134925,0.2805425489057116,0.158865383407089,3.067538750198743
0.15,8,s9,0.13902254007773962,2.1967917437824447,0.27973246565991006,0.15137077764038898,2.9476829205540085
0.15,8,s10,-0.016084771855261693,3.8889189032142664,0.45000019363937294,0.31510263593767185,2.874547649120583
0.2,0,s1,-0.3106096901428934,2.9178096105307976,0.43489304904080694,0.14588874971328636,3.985996464439154
0.2,0,s2,-0.26920281288591497,3.2265303286354907,0.4184105124289812,0.12728045449690506,4.000079475836895
0.2,0,s3,-0.3450284272731956,2.9196725539529123,0.3740693674846103,0.10220930727557365,4.010186552101679
0.2,0,s4,-0.1968497207809996,3.6952789394891,0.42476631931909803,0.17864012751628722,3.999639838515126
0.2,0,s5,-0.7504923607921441,4.0793953468273525,0.5301353948748935,0.24626786530489309,3.8381272576910384
0.2,0,s6,-0.5294764344066607,2.763843951069733,0.3886521041236646,0.15255613125922896,3.7044742125108563
0.2,0,s7,-0.5679484188810591,2.7108524722767697,0.4006246992211564,0.061279032703069,3.961167944037161
0.2,0,s8,-0.12725742800722983,2.630771782730335,0.41098918665877715,0.08798907617043694,4.120580459246618
0.2,0,s9,-0.26678335400458764,3.5570303760681377,0.48823404023321215,0.19284376322705432,3.960439214265854
0.2,0,s10,-0.4769160570502251,2.371547512637928,0.37505371004502175,0.047519260762078464,3.8578054696420736
0.2,4,s1,-0.3595048505582241,3.167901946220585,0.32100929779197807,0.10555243116411428,3.990129964481536
0.2,4,s2,-0.3236907819648138,3.30458481825149,0.3018562879803961,0.10870827722778209,4.003688762469885
0.2,4,s3,-0.39517897052930095,3.4758594978521753,0.3078873733445693,0.12166410727956745,4.014347035496545
0.2,4,s4,-0.2624684016592873,3.8573547288333305,0.33852587792675903,0.1461458951378869,4.000535259638106
0.2,4,s5,-0.809721494874438,3.9507731264890253,0.36872783804844467,0.1505340200704126,3.842152612623238
0.2,4,s6,-0.576955631884271,3.269956146914211,0.3091562349947674,0.09696677642706053,3.7078155839353357
0.2,4,s7,-0.621483293497672,3.2229146683990777,0.319237591544828,0.10034668492025789,3.96068208858593
0.2,4,s8,-0.18263480941018528,3.2009190016259783,0.33419041291060525,0.1204675766311527,4.1261688066236
0.2,4,s9,-0.32022246120340014,3.400881247571073,0.33549906185018563,0.11320812460179153,3.961616034110225
0.2,4,s10,-0.5328713063910797,3.043388835371351,0.34323583412318137,0.09401687859107866,3.8629443975696027
0.2,8,s1,0.1318014930610225,3.1030697173208956,0.3682564892729132,0.2043623579521625,3.9421354027518802
0.2,8,s2,0.1739789962913001,3.0233369615787815,0.4016316332945684,0.21033373777102793,3.9569213242994117
0.2,8,s3,0.09919706970349296,3.0811004871181726,0.3755057120548093,0.20567498499665127,3.965530472404467
0.2,8,s4,0.23277716758014222,3.7869861208164615,0.4510882791225388,0.20301227991975868,3.9518855942985525
0.2,8,s5,-0.30849482864714517,3.1138457386327385,0.35428552282688197,0.1873892655980114,3.7966441689679655
0.2,8,s6,-0.08975902720673545,3.1428419714088154,0.3417763374788867,0.1828155522621806,3.664704470905324
0.2,8,s7,-0.12941637559449148,2.982042768525128,0.38137102434381376,0.20117855289588782,3.9128727237283343
0.2,8,s8,0.30389062830895597,2.9875680928300614,0.3964991491806651,0.2192681653913302,4.074326477371184
0.2,8,s9,0.16904437114246917,2.935054295369042,0.3950736098985621,0.2084735559293982,3.9154464959085367
0.2,8,s10,-0.03701258091197701,3.9901131378846664,0.46379765724939004,0.26650785057976445,3.818047162907412
0.25,0,s1,-0.40775171334714955,3.565358960353093,0.5605279937302352,0.18603875398685732,4.959666938769679
0.25,0,s2,-0.3572738120979366,3.9120347544995813,0.5345235041862262,0.12536064149389237,4.977127570287408
0.25,0,s3,-0.4523298564391922,3.65005863079001,0.49487299360113024,0.11465041685694954,4.9885388306280625
0.25,0,s4,-0.2665360014137299,3.588101908029852,0.40332016520571234,0.058499927409881636,4.977307441923752
0.25,0,s5,-0.9580992944198137,4.950999042558179,0.6899924183932529,0.29123772490236854,4.773418599184499
0.25,0,s6,-0.6809251144346931,2.842047484966203,0.3904849103915289,0.07233071778980182,4.6099239905605955
0.25,0,s7,-0.72919807123262,3.371892602828707,0.5265092181472573,0.05295991989992377,4.927117736766792
0.25,0,s8,-0.1801197931890144,3.2866261274585806,0.5425790416656491,0.11566617715389604,5.126989491811962
0.25,0,s9,-0.35372850118338306,4.396444005549682,0.6475494211899,0.23209875574901329,4.928091196656979
0.25,0,s10,-0.6150549135157881,2.3786792481316983,0.36412278251631847,-0.012034203535659316,4.80033185706521
0.25,4,s1,-0.4696725379071083,3.9624029163186396,0.42404549200089314,0.1239043759022993,4.964542161991581
0.25,4,s2,-0.4259224097431087,4.134018544904629,0.3984327374299135,0.12985708701303533,4.9814370037527524
0.25,4,s3,-0.5157199925476732,4.350510093802587,0.4076393794959621,0.14872639823779665,4.993503968240454
0.25,4,s4,-0.3485067726983324,4.712004595208477,0.43651908586053567,0.1681454018363302,4.97842391262202
0.25,4,s5,-1.0325558369860701,4.76030456726113,0.46680017111760064,0.1618562757935389,4.7781879536666025
0.25,4,s6,-0.7410754921989948,4.091345038694341,0.40924844520945336,0.11393280194300948,4.613900786847427
0.25,4,s7,-0.7964582117589991,4.030869106290313,0.42207422213136714,0.1170245977669675,4.926696693919855
0.25,4,s8,-0.2499207241833048,4.004050179617224,0.4417368005713491,0.14405291267677423,5.133588528808541
0.25,4,s9,-0.4209947974576522,4.216170589969813,0.4395029040337004,0.13529850742074867,4.92955215250095
0.25,4,s10,-0.685480040133001,3.806028665524474,0.45418921758518227,0.11272692003646911,4.806458211420495
0.25,8,s1,0.14473732459068245,3.891264195823819,0.48998071890882944,0.26463305635686907,4.908564489039179
0.25,8,s2,0.1961888020931326,3.773045599692681,0.5320638488674145,0.2715679848742045,4.9268734242390515
0.25,8,s3,0.10248748156791265,3.8629420585542533,0.49953023526289675,0.26605469591810316,4.936543698854123
0.25,8,s4,0.27072805442620407,4.407382439473075,0.5520927558807054,0.204833829110719,4.921656065127731
0.25,8,s5,-0.40615765377389934,3.904665945156772,0.4714295066330283,0.24179622026777792,4.725126619953965
0.25,8,s6,-0.13182955090951154,3.5108674921609726,0.3902988346061189,0.17189593084072108,4.563585833366535
