test,cagr_med,cagr_min,cagr_max,dd_med,dd_worst,calmar,trades,win,mean_tr,streak,note,ret_med
adopted 25bps,23.45,21.74,25.37,-25.28,-28.15,0.93,1929.0,45.1,3.777,16.0,,
cost 40bps,20.39,19.37,21.65,-26.01,-28.53,0.78,,,,,,
cost 60bps,16.9,15.86,18.2,-27.42,-30.56,0.62,,,,,,
drop top-10 trades,,,,,,,,,3.161,,base mean/trade 3.777%,
cap winners +50%,,,,,,,,,3.164,,base mean/trade 3.777%,
cap winners +100%,,,,,,,,,3.652,,base mean/trade 3.777%,
window 2015-16,,,,-9.0,,,,,,,,-6.0
window 2018,,,,-16.2,,,,,,,,1.6
window 2020crash,,,,-1.5,,,,,,,,2.5
window 2022H1,,,,-18.4,,,,,,,,-12.6
