cell,n_years,level,athvar,age_m,window,start,end,signals,seeds,cagr_med,cagr_min,cagr_max,dd_med,dd_worst,calmar_med,x_med,trades_med,trades_yr,win_med,mean_tr,avg_win,avg_loss,streak,avg_hold,bench_cagr,elapsed_s
N2_close_incl_age0,2,close,incl,0,W2,2010-01-01,2026-09-04,19963,10,22.0,19.52,25.33,-35.07,-39.9,0.64,27.52,1296,77.8,42.6,6.089,23.34,-6.74,23,60.1,10.42,5.0
N2_close_incl_age0,2,close,incl,0,W1,2020-01-01,2025-12-31,12525,10,32.32,26.79,35.44,-30.75,-32.28,1.07,5.37,562,93.7,43.9,6.965,25.43,-7.2,27,52.1,14.74,2.2
N2_close_incl_age6,2,close,incl,6,W2,2010-01-01,2026-09-04,877,10,20.78,19.58,21.87,-26.67,-26.67,0.78,23.28,550,33.0,48.8,10.891,29.77,-7.16,10,66.6,10.42,1.9
N2_close_incl_age6,2,close,incl,6,W1,2020-01-01,2025-12-31,500,10,29.98,27.99,34.55,-20.8,-23.93,1.45,4.82,288,48.0,51.2,10.685,27.45,-7.03,7,61.5,14.74,0.9
N2_close_incl_age12,2,close,incl,12,W2,2010-01-01,2026-09-04,530,10,14.9,14.74,16.29,-24.64,-24.64,0.6,10.12,403,24.2,50.4,9.428,26.03,-7.48,10,64.9,10.42,1.6
N2_close_incl_age12,2,close,incl,12,W1,2020-01-01,2025-12-31,284,10,24.72,24.19,28.87,-19.21,-20.97,1.37,3.76,221,36.8,52.5,11.003,27.29,-6.99,9,61.4,14.74,0.7
N2_close_excl_age0,2,close,excl,0,W2,2010-01-01,2026-09-04,4875,10,20.89,19.33,23.14,-39.25,-39.63,0.53,23.6,1094,65.7,40.5,6.82,27.7,-7.22,26,56.0,10.42,3.3
N2_close_excl_age0,2,close,excl,0,W1,2020-01-01,2025-12-31,3248,10,26.45,21.53,31.98,-33.09,-36.62,0.8,4.09,537,89.6,41.8,6.405,25.82,-7.53,26,47.7,14.74,1.8
N2_close_excl_age6,2,close,excl,6,W2,2010-01-01,2026-09-04,392,10,16.38,16.15,16.63,-26.98,-26.98,0.61,12.54,329,19.7,48.9,13.527,35.89,-7.84,7,65.2,10.42,1.4
N2_close_excl_age6,2,close,excl,6,W1,2020-01-01,2025-12-31,250,10,23.48,22.6,24.05,-17.54,-17.65,1.36,3.54,192,32.0,51.8,13.139,32.58,-7.69,7,61.7,14.74,0.7
N2_close_excl_age12,2,close,excl,12,W2,2010-01-01,2026-09-04,299,10,12.72,12.71,12.73,-23.01,-23.01,0.55,7.36,270,16.2,49.3,11.31,31.1,-7.9,11,62.5,10.42,1.1
N2_close_excl_age12,2,close,excl,12,W1,2020-01-01,2025-12-31,182,10,19.55,19.53,19.57,-16.26,-16.26,1.2,2.92,154,25.7,53.9,12.738,30.31,-7.8,11,61.5,14.74,0.6
N2_close_athonly_age0,2,close,athonly,0,W2,2010-01-01,2026-09-04,14893,10,23.27,21.04,24.84,-32.89,-35.58,0.71,32.67,1225,73.5,43.2,6.667,24.03,-6.52,27,62.2,10.42,4.7
N2_close_athonly_age0,2,close,athonly,0,W1,2020-01-01,2025-12-31,9144,10,32.66,28.0,39.92,-29.14,-32.85,1.1,5.46,543,90.5,44.9,7.115,25.4,-7.15,26,53.8,14.74,2.0
N2_close_athonly_age6,2,close,athonly,6,W2,2010-01-01,2026-09-04,473,10,12.64,12.37,12.74,-15.1,-15.6,0.83,7.27,342,20.6,50.5,8.451,23.16,-6.7,9,64.2,10.42,1.6
N2_close_athonly_age6,2,close,athonly,6,W1,2020-01-01,2025-12-31,243,10,20.42,19.79,20.95,-14.74,-14.99,1.37,3.05,175,29.2,53.7,10.749,25.42,-6.55,6,63.7,14.74,0.8
N2_close_athonly_age12,2,close,athonly,12,W2,2010-01-01,2026-09-04,222,10,9.28,9.1,9.32,-13.45,-13.45,0.69,4.39,197,11.8,53.8,8.144,21.05,-6.85,15,62.2,10.42,1.1
N2_close_athonly_age12,2,close,athonly,12,W1,2020-01-01,2025-12-31,97,10,15.1,15.1,15.1,-10.24,-10.24,1.47,2.33,96,16.0,56.2,12.717,27.55,-6.36,8,65.7,14.74,0.6
N2_high_incl_age0,2,high,incl,0,W2,2010-01-01,2026-09-04,17905,10,21.39,19.51,24.27,-35.92,-38.61,0.6,25.27,1244,74.7,41.5,6.109,24.65,-7.13,35,61.1,10.42,5.3
N2_high_incl_age0,2,high,incl,0,W1,2020-01-01,2025-12-31,11272,10,38.76,27.47,43.91,-32.27,-37.97,1.12,7.14,534,89.0,43.1,8.405,28.4,-7.62,32,53.6,14.74,2.1
N2_high_incl_age6,2,high,incl,6,W2,2010-01-01,2026-09-04,409,10,11.75,11.62,12.19,-15.06,-15.07,0.78,6.37,348,20.9,46.8,7.822,25.11,-7.5,7,60.9,10.42,1.6
N2_high_incl_age6,2,high,incl,6,W1,2020-01-01,2025-12-31,240,10,18.47,18.34,18.49,-15.04,-15.05,1.23,2.76,212,35.3,46.7,8.412,26.79,-7.68,7,56.0,14.74,0.8
N2_high_incl_age12,2,high,incl,12,W2,2010-01-01,2026-09-04,245,10,9.8,9.8,9.8,-14.32,-14.32,0.68,4.75,220,13.2,50.0,8.47,25.01,-8.07,7,60.7,10.42,1.2
