family,arm,axis,value,window,signals,seeds,cagr_med,cagr_min,cagr_max,dd_med,dd_worst,calmar_med,x_med,trades_med,trades_yr,win_med,mean_tr,avg_win,avg_loss,streak,avg_hold,bench_cagr,elapsed_s
N5_close_excl_age0,base,base,base,W2,1993,10,22.79,21.94,23.22,-32.57,-34.93,0.7,30.65,667,40.1,43.2,11.52,36.52,-7.73,17,57.0,10.42,2.4
N5_close_excl_age0,base,base,base,W1,1360,10,38.81,36.54,41.13,-31.48,-31.51,1.23,7.15,370,61.8,41.8,13.351,42.81,-7.84,17,52.3,14.74,1.3
N5_close_excl_age0,stop7,stop,0.07,W2,1993,10,22.8,22.58,23.78,-34.84,-35.06,0.67,30.67,671,40.3,42.8,11.397,36.47,-7.38,17,55.8,10.42,2.5
N5_close_excl_age0,stop7,stop,0.07,W1,1360,10,39.63,36.99,40.93,-31.6,-31.76,1.25,7.41,374,62.4,41.6,13.423,43.0,-7.51,17,51.2,14.74,1.3
N5_close_excl_age0,stop10,stop,0.1,W2,1993,10,23.1,22.65,24.07,-33.16,-34.48,0.71,31.92,648,38.9,45.9,12.132,36.33,-8.51,17,59.9,10.42,2.3
N5_close_excl_age0,stop10,stop,0.1,W1,1360,10,40.2,37.77,43.15,-33.14,-33.14,1.21,7.59,356,59.3,44.4,14.443,42.64,-8.52,17,55.7,14.74,1.2
N5_close_excl_age0,trail15,exit,trail15,W2,1993,10,20.94,20.66,21.64,-26.29,-27.43,0.8,23.79,1290,77.4,46.4,4.672,15.54,-4.75,15,18.0,10.42,2.7
N5_close_excl_age0,trail15,exit,trail15,W1,1360,10,42.23,40.61,45.37,-26.23,-28.35,1.61,8.27,751,125.3,48.6,5.838,17.31,-4.92,15,18.1,14.74,1.1
N5_close_excl_age0,trail30,exit,trail30,W2,1993,10,21.65,20.96,22.5,-37.21,-37.21,0.58,26.2,926,55.6,44.0,7.313,25.04,-6.57,19,34.5,10.42,2.9
N5_close_excl_age0,trail30,exit,trail30,W1,1360,10,38.3,37.71,39.76,-37.2,-37.2,1.03,7.0,528,88.0,45.0,8.406,27.18,-6.7,19,33.3,14.74,1.3
N5_close_excl_age0,trail150,exit,trail150,W2,1993,10,23.48,23.34,24.0,-49.55,-49.55,0.47,33.61,318,19.1,37.0,28.201,91.65,-9.13,32,155.1,10.42,3.3
N5_close_excl_age0,trail150,exit,trail150,W1,1360,10,42.55,41.55,45.14,-37.67,-38.22,1.14,8.39,171,28.5,40.7,35.787,103.16,-9.31,30,132.5,14.74,1.2
N5_close_excl_age0,tp25_notrail,exit,tp25,W2,1993,10,17.94,16.52,18.76,-29.66,-35.72,0.6,15.63,857,51.5,43.5,6.279,27.68,-10.21,26,49.2,10.42,2.2
N5_close_excl_age0,tp25_notrail,exit,tp25,W1,1360,10,29.6,26.73,31.15,-30.88,-35.88,0.98,4.74,508,84.8,44.6,6.591,27.76,-10.59,23,42.7,14.74,1.3
N5_close_excl_age0,tp25_trail50,exit,tp25+trail50,W2,1993,10,18.84,18.2,19.39,-28.85,-30.78,0.65,17.76,1043,62.6,44.5,5.328,21.94,-7.99,19,32.4,10.42,2.4
N5_close_excl_age0,tp25_trail50,exit,tp25+trail50,W1,1360,10,31.53,28.6,34.93,-29.69,-33.17,1.06,5.17,628,104.7,43.9,5.548,22.9,-8.04,19,29.0,14.74,1.4
N5_close_excl_age0,fixed3x30,sizing,3x0.3,W2,1993,10,20.87,19.67,22.24,-52.22,-53.23,0.4,23.53,199,11.9,38.3,9.37,37.33,-7.94,12,54.3,10.42,1.0
N5_close_excl_age0,fixed3x30,sizing,3x0.3,W1,1360,10,32.78,28.72,40.76,-36.09,-39.67,0.91,5.48,100,16.8,39.3,10.423,39.76,-8.04,12,49.1,14.74,0.6
N5_close_excl_age0,fixed5x20,sizing,5x0.2,W2,1993,10,22.56,21.19,24.0,-41.87,-41.87,0.54,29.68,256,15.4,39.8,10.682,38.75,-7.94,16,56.7,10.42,1.2
N5_close_excl_age0,fixed5x20,sizing,5x0.2,W1,1360,10,38.81,34.4,42.19,-32.1,-36.67,1.2,7.15,131,21.8,41.7,12.94,43.21,-8.06,16,52.5,14.74,0.6
N5_close_excl_age0,fixed8x18,sizing,8x0.1875,W2,1993,10,23.86,22.42,25.18,-40.28,-40.88,0.59,35.39,280,16.8,41.5,11.007,37.42,-7.93,16,57.8,10.42,1.4
N5_close_excl_age0,fixed8x18,sizing,8x0.1875,W1,1360,10,41.4,39.77,44.75,-32.04,-33.83,1.33,7.99,143,23.9,43.6,13.364,41.52,-8.09,10,53.1,14.74,0.6
N5_close_excl_age0,fixed10x10,sizing,10x0.1,W2,1993,10,23.61,22.35,24.88,-32.86,-35.92,0.72,34.2,470,28.2,42.9,11.271,36.51,-7.86,16,58.0,10.42,1.9
N5_close_excl_age0,fixed10x10,sizing,10x0.1,W1,1360,10,41.92,38.25,48.61,-32.28,-33.92,1.29,8.17,252,42.0,42.3,13.676,43.97,-7.98,15,52.8,14.74,0.9
N5_close_excl_age0,risk1pct,sizing,risk1%,W2,1993,10,23.84,22.99,24.9,-33.28,-36.01,0.72,35.31,390,23.4,42.8,11.29,37.38,-7.97,16,58.5,10.42,1.5
N5_close_excl_age0,risk1pct,sizing,risk1%,W1,1360,10,42.87,39.88,45.37,-33.27,-39.04,1.28,8.5,205,34.2,43.4,14.029,42.43,-8.09,14,53.8,14.74,0.8
N5_close_excl_age0,risk1.5pct,sizing,risk1.5%,W2,1993,10,23.86,22.42,25.18,-40.28,-40.88,0.59,35.39,280,16.8,41.5,11.007,37.42,-7.93,16,57.8,10.42,1.3
N5_close_excl_age0,risk1.5pct,sizing,risk1.5%,W1,1360,10,41.4,39.77,44.75,-32.04,-33.83,1.33,7.99,143,23.9,43.6,13.364,41.52,-8.09,10,53.1,14.74,0.6
N5_close_excl_age0,risk2pct,sizing,risk2%,W2,1993,10,18.97,18.18,20.27,-47.52,-47.52,0.4,18.09,210,12.6,37.7,9.087,37.24,-7.85,12,54.2,10.42,1.0
N5_close_excl_age0,risk2pct,sizing,risk2%,W1,1360,10,32.32,29.54,35.5,-34.63,-37.23,0.94,5.37,106,17.8,39.9,10.745,38.62,-7.94,12,49.5,14.74,0.5
N5_close_excl_age0,gateON,gate,on,W2,1993,10,21.05,19.92,22.47,-35.29,-36.65,0.6,24.14,551,33.1,42.0,12.805,40.68,-7.72,16,59.5,10.42,2.1
N5_close_excl_age0,gateON,gate,on,W1,1360,10,36.04,34.01,37.79,-35.54,-36.25,1.01,6.34,351,58.5,40.6,13.519,44.54,-7.75,16,52.5,14.74,1.3
