label,max_age_m,min_bars,L,max_depth,rs_policy,rs_min,tight_max,pivot_mode,stop,trail,target,slots,size_pct,risk_pct,stop_mode,cost,gate,fill_close,n_signals,w1_cagr,w1_cagr_lo,w1_cagr_hi,w1_cagr_worst,w1_dd,w1_dd_worst,w1_calmar,w1_n,w1_tpy,w1_win,w1_mean,w1_netexp,w1_avg_win,w1_avg_loss,w1_hold,w1_inv,w1_streak,w2_cagr,w2_cagr_lo,w2_cagr_hi,w2_cagr_worst,w2_dd,w2_dd_worst,w2_calmar,w2_n,w2_tpy,w2_win,w2_mean,w2_netexp,w2_avg_win,w2_avg_loss,w2_hold,w2_inv,w2_streak,secs
g1a_a3_L15_d20_off,3,25,15,0.2,off,70.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,774,33.82,32.63,37.98,32.63,-21.29,-22.57,1.588,137,22.8,46.7,9.596,9.096,27.22,-5.77,48.0,62.8,7,23.9,22.71,24.91,22.71,-40.09,-40.09,0.596,246,11.9,49.8,12.918,12.418,32.21,-6.14,57.0,37.9,10,2.4
g1a_a3_L15_d20_relaxed,3,25,15,0.2,relaxed,70.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,774,33.82,32.63,37.98,32.63,-21.29,-22.57,1.588,137,22.8,46.7,9.596,9.096,27.22,-5.77,48.0,62.8,7,23.9,22.71,24.91,22.71,-40.09,-40.09,0.596,246,11.9,49.8,12.918,12.418,32.21,-6.14,57.0,37.9,10,2.3
g1a_a3_L15_d20_short70,3,25,15,0.2,short,70.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,2,8.82,8.82,8.82,8.82,-6.89,-6.89,1.281,1,0.2,100.0,168.651,168.151,168.65,0.0,287.0,3.7,0,6.04,6.04,6.04,6.04,-6.7,-6.7,0.901,2,0.1,50.0,79.616,79.116,168.65,-9.42,161.0,1.2,1,0.8
g1a_a3_L15_d20_short80,3,25,15,0.2,short,80.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,1,8.82,8.82,8.82,8.82,-6.89,-6.89,1.281,1,0.2,100.0,168.651,168.151,168.65,0.0,287.0,3.7,0,6.13,6.13,6.13,6.13,-6.91,-6.91,0.887,1,0.0,100.0,168.651,168.151,168.65,0.0,287.0,1.1,0,0.8
g1a_a3_L15_d30_off,3,25,15,0.3,off,70.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,927,32.99,24.75,38.9,24.75,-19.62,-25.03,1.681,141,23.6,48.0,8.968,8.468,24.72,-5.64,48.0,64.5,8,21.49,20.37,22.05,20.37,-40.09,-40.09,0.536,268,13.0,48.2,10.901,10.401,29.37,-6.41,54.0,39.3,10,1.9
g1a_a3_L15_d30_relaxed,3,25,15,0.3,relaxed,70.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,927,32.99,24.75,38.9,24.75,-19.62,-25.03,1.681,141,23.6,48.0,8.968,8.468,24.72,-5.64,48.0,64.5,8,21.49,20.37,22.05,20.37,-40.09,-40.09,0.536,268,13.0,48.2,10.901,10.401,29.37,-6.41,54.0,39.3,10,2.2
g1a_a3_L15_d30_short70,3,25,15,0.3,short,70.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,2,8.82,8.82,8.82,8.82,-6.89,-6.89,1.281,1,0.2,100.0,168.651,168.151,168.65,0.0,287.0,3.7,0,6.04,6.04,6.04,6.04,-6.7,-6.7,0.901,2,0.1,50.0,79.616,79.116,168.65,-9.42,161.0,1.2,1,0.9
g1a_a3_L15_d30_short80,3,25,15,0.3,short,80.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,1,8.82,8.82,8.82,8.82,-6.89,-6.89,1.281,1,0.2,100.0,168.651,168.151,168.65,0.0,287.0,3.7,0,6.13,6.13,6.13,6.13,-6.91,-6.91,0.887,1,0.0,100.0,168.651,168.151,168.65,0.0,287.0,1.1,0,0.9
g1a_a3_L15_d40_off,3,25,15,0.4,off,70.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,963,30.47,23.61,34.13,23.61,-22.11,-22.19,1.378,144,24.0,47.0,8.405,7.905,24.28,-5.76,47.0,64.4,8,20.33,18.91,21.14,18.91,-40.09,-40.09,0.507,276,13.4,47.3,10.145,9.645,28.77,-6.7,53.0,39.8,10,2.3
g1a_a3_L15_d40_relaxed,3,25,15,0.4,relaxed,70.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,963,30.47,23.61,34.13,23.61,-22.11,-22.19,1.378,144,24.0,47.0,8.405,7.905,24.28,-5.76,47.0,64.4,8,20.33,18.91,21.14,18.91,-40.09,-40.09,0.507,276,13.4,47.3,10.145,9.645,28.77,-6.7,53.0,39.8,10,2.7
g1a_a3_L15_d40_short70,3,25,15,0.4,short,70.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,2,8.82,8.82,8.82,8.82,-6.89,-6.89,1.281,1,0.2,100.0,168.651,168.151,168.65,0.0,287.0,3.7,0,6.04,6.04,6.04,6.04,-6.7,-6.7,0.901,2,0.1,50.0,79.616,79.116,168.65,-9.42,161.0,1.2,1,0.8
g1a_a3_L15_d40_short80,3,25,15,0.4,short,80.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,1,8.82,8.82,8.82,8.82,-6.89,-6.89,1.281,1,0.2,100.0,168.651,168.151,168.65,0.0,287.0,3.7,0,6.13,6.13,6.13,6.13,-6.91,-6.91,0.887,1,0.0,100.0,168.651,168.151,168.65,0.0,287.0,1.1,0,0.9
g1a_a3_L15_d60_off,3,25,15,0.6,off,70.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,971,31.14,25.06,34.13,25.06,-22.11,-22.2,1.408,144,24.0,47.0,8.516,8.016,24.6,-5.76,47.0,64.7,9,19.43,18.81,21.2,18.81,-40.09,-40.09,0.485,277,13.4,47.2,9.752,9.252,28.54,-6.7,53.0,39.9,10,2.2
g1a_a3_L15_d60_relaxed,3,25,15,0.6,relaxed,70.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,971,31.14,25.06,34.13,25.06,-22.11,-22.2,1.408,144,24.0,47.0,8.516,8.016,24.6,-5.76,47.0,64.7,9,19.43,18.81,21.2,18.81,-40.09,-40.09,0.485,277,13.4,47.2,9.752,9.252,28.54,-6.7,53.0,39.9,10,2.2
g1a_a3_L15_d60_short70,3,25,15,0.6,short,70.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,2,8.82,8.82,8.82,8.82,-6.89,-6.89,1.281,1,0.2,100.0,168.651,168.151,168.65,0.0,287.0,3.7,0,6.04,6.04,6.04,6.04,-6.7,-6.7,0.901,2,0.1,50.0,79.616,79.116,168.65,-9.42,161.0,1.2,1,0.9
g1a_a3_L15_d60_short80,3,25,15,0.6,short,80.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,1,8.82,8.82,8.82,8.82,-6.89,-6.89,1.281,1,0.2,100.0,168.651,168.151,168.65,0.0,287.0,3.7,0,6.13,6.13,6.13,6.13,-6.91,-6.91,0.887,1,0.0,100.0,168.651,168.151,168.65,0.0,287.0,1.1,0,0.8
g1a_a3_L25_d20_off,3,25,25,0.2,off,70.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,385,36.76,33.89,39.7,33.89,-18.57,-20.66,1.979,93,15.6,54.8,14.259,13.759,31.1,-6.39,64.0,57.1,8,23.13,22.39,24.81,22.39,-35.84,-35.84,0.645,166,8.1,56.5,16.769,16.269,34.81,-6.34,69.0,31.8,8,2.1
g1a_a3_L25_d20_relaxed,3,25,25,0.2,relaxed,70.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,385,36.76,33.89,39.7,33.89,-18.57,-20.66,1.979,93,15.6,54.8,14.259,13.759,31.1,-6.39,64.0,57.1,8,23.13,22.39,24.81,22.39,-35.84,-35.84,0.645,166,8.1,56.5,16.769,16.269,34.81,-6.34,69.0,31.8,8,2.1
g1a_a3_L25_d20_short70,3,25,25,0.2,short,70.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,2,8.82,8.82,8.82,8.82,-6.89,-6.89,1.281,1,0.2,100.0,168.651,168.151,168.65,0.0,287.0,3.7,0,6.04,6.04,6.04,6.04,-6.7,-6.7,0.901,2,0.1,50.0,79.616,79.116,168.65,-9.42,161.0,1.2,1,1.0
g1a_a3_L25_d20_short80,3,25,25,0.2,short,80.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,1,8.82,8.82,8.82,8.82,-6.89,-6.89,1.281,1,0.2,100.0,168.651,168.151,168.65,0.0,287.0,3.7,0,6.13,6.13,6.13,6.13,-6.91,-6.91,0.887,1,0.0,100.0,168.651,168.151,168.65,0.0,287.0,1.1,0,0.9
g1a_a3_L25_d30_off,3,25,25,0.3,off,70.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,612,44.82,40.37,47.89,40.37,-18.62,-21.88,2.407,104,17.3,52.7,14.645,14.145,33.13,-6.56,60.0,60.6,7,26.27,24.96,26.99,24.96,-35.84,-35.84,0.733,196,9.5,55.5,16.618,16.118,35.37,-6.54,65.0,35.4,7,1.9
g1a_a3_L25_d30_relaxed,3,25,25,0.3,relaxed,70.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,612,44.82,40.37,47.89,40.37,-18.62,-21.88,2.407,104,17.3,52.7,14.645,14.145,33.13,-6.56,60.0,60.6,7,26.27,24.96,26.99,24.96,-35.84,-35.84,0.733,196,9.5,55.5,16.618,16.118,35.37,-6.54,65.0,35.4,7,2.2
g1a_a3_L25_d30_short70,3,25,25,0.3,short,70.0,,close,0.08,50,,8,0.1875,,pct,0.0025,False,False,2,8.82,8.82,8.82,8.82,-6.89,-6.89,1.281,1,0.2,100.0,168.651,168.151,168.65,0.0,287.0,3.7,0,6.04,6.04,6.04,6.04,-6.7,-6.7,0.901,2,0.1,50.0,79.616,79.116,168.65,-9.42,161.0,1.2,1,0.8
