label,max_age_m,min_bars,L,max_depth,rs_policy,rs_min,tight_max,pivot_mode,stop,trail,target,slots,size_pct,risk_pct,stop_mode,cost,gate,fill_close,n_signals,w1_cagr,w1_cagr_lo,w1_cagr_hi,w1_cagr_worst,w1_dd,w1_dd_worst,w1_calmar,w1_n,w1_tpy,w1_win,w1_mean,w1_netexp,w1_avg_win,w1_avg_loss,w1_hold,w1_inv,w1_streak,w2_cagr,w2_cagr_lo,w2_cagr_hi,w2_cagr_worst,w2_dd,w2_dd_worst,w2_calmar,w2_n,w2_tpy,w2_win,w2_mean,w2_netexp,w2_avg_win,w2_avg_loss,w2_hold,w2_inv,w2_streak,secs
g1b_a3_L25_d30_s7_t20_notp_n5,3,25,25,0.3,off,70.0,,close,0.07,20,,5,0.3,,pct,0.0025,False,False,612,49.77,44.07,55.8,44.07,-22.43,-23.69,2.219,135,22.5,54.1,7.63,7.13,18.15,-4.23,25.0,49.0,8,29.16,27.82,29.98,27.82,-33.08,-33.08,0.882,237,11.5,59.1,9.082,8.582,18.33,-4.41,28.0,27.9,8,1.6
g1b_a3_L25_d30_s7_t20_notp_n8,3,25,25,0.3,off,70.0,,close,0.07,20,,8,0.1875,,pct,0.0025,False,False,612,43.62,38.69,48.13,38.69,-17.29,-19.22,2.522,199,33.3,50.4,7.341,6.841,18.85,-4.19,24.0,43.9,8,24.69,23.41,25.7,23.41,-22.86,-22.86,1.08,336,16.3,57.4,8.288,7.788,17.6,-4.23,27.0,24.1,8,1.6
g1b_a3_L25_d30_s7_t20_notp_n10,3,25,25,0.3,off,70.0,,close,0.07,20,,10,0.15,,pct,0.0025,False,False,612,37.07,35.86,37.89,35.86,-14.74,-15.27,2.514,241,40.2,46.6,6.5,6.0,18.76,-4.34,23.0,41.1,8,21.65,20.84,22.04,20.84,-20.13,-20.13,1.075,398,19.3,54.7,7.497,6.997,17.25,-4.28,26.0,22.0,8,1.8
g1b_a3_L25_d30_s7_t20_notp_n16,3,25,25,0.3,off,70.0,,close,0.07,20,,16,0.0625,,pct,0.0025,False,False,612,22.79,22.6,22.98,22.6,-9.6,-9.6,2.374,363,60.6,45.4,5.948,5.448,18.11,-4.21,22.0,25.4,8,13.75,13.69,13.82,13.69,-11.78,-11.78,1.167,579,28.0,51.7,6.647,6.147,16.68,-4.12,25.0,13.1,8,2.1
g1b_a3_L25_d30_s7_t20_tp25_n5,3,25,25,0.3,off,70.0,,close,0.07,20,0.25,5,0.3,,pct,0.0025,False,False,612,45.55,40.44,50.54,40.44,-18.81,-22.3,2.422,169,28.2,50.0,5.507,5.007,15.15,-4.18,17.0,41.4,9,29.48,28.25,31.37,28.25,-18.98,-22.89,1.553,286,13.9,56.7,7.241,6.741,16.06,-4.22,20.0,23.0,9,1.4
g1b_a3_L25_d30_s7_t20_tp25_n8,3,25,25,0.3,off,70.0,,close,0.07,20,0.25,8,0.1875,,pct,0.0025,False,False,612,38.07,35.81,39.72,35.81,-13.25,-17.55,2.873,244,40.7,48.1,5.164,4.664,15.18,-4.2,17.0,36.6,9,24.59,23.69,25.2,23.69,-13.32,-17.46,1.846,402,19.4,55.6,6.662,6.162,15.32,-4.14,19.0,19.6,9,1.6
g1b_a3_L25_d30_s7_t20_tp25_n10,3,25,25,0.3,off,70.0,,close,0.07,20,0.25,10,0.15,,pct,0.0025,False,False,612,30.54,29.96,32.18,29.96,-11.87,-12.2,2.573,274,45.7,46.2,4.66,4.16,15.11,-4.21,17.0,32.6,9,21.02,20.14,21.21,20.14,-12.09,-12.09,1.739,446,21.6,53.6,6.26,5.76,15.2,-4.14,19.0,17.3,9,1.5
g1b_a3_L25_d30_s7_t20_tp25_n16,3,25,25,0.3,off,70.0,,close,0.07,20,0.25,16,0.0625,,pct,0.0025,False,False,612,17.76,17.62,17.89,17.62,-6.58,-6.58,2.699,378,63.0,44.3,4.258,3.758,14.96,-4.26,16.0,18.7,12,12.91,12.83,12.92,12.83,-7.9,-7.93,1.633,603,29.2,51.1,5.653,5.153,15.0,-4.1,19.0,9.7,11,1.8
g1b_a3_L25_d30_s7_t30_notp_n5,3,25,25,0.3,off,70.0,,close,0.07,30,,5,0.3,,pct,0.0025,False,False,612,36.44,32.88,41.94,32.88,-26.23,-29.67,1.389,112,18.7,49.8,7.167,6.667,19.53,-5.37,33.0,54.8,9,23.81,22.88,24.87,22.88,-33.08,-33.08,0.72,199,9.7,53.9,8.887,8.387,20.76,-5.19,38.0,31.8,8,1.6
g1b_a3_L25_d30_s7_t30_notp_n8,3,25,25,0.3,off,70.0,,close,0.07,30,,8,0.1875,,pct,0.0025,False,False,612,35.13,32.48,40.11,32.48,-22.53,-23.51,1.559,162,27.1,49.2,7.433,6.933,20.59,-5.53,34.0,51.2,10,21.46,20.43,22.63,20.43,-29.12,-29.12,0.737,285,13.8,53.2,8.52,8.02,20.56,-5.14,38.0,28.8,10,1.6
g1b_a3_L25_d30_s7_t30_notp_n10,3,25,25,0.3,off,70.0,,close,0.07,30,,10,0.15,,pct,0.0025,False,False,612,32.86,31.07,34.86,31.07,-23.93,-23.93,1.373,195,32.5,49.2,7.06,6.56,20.25,-5.52,33.0,48.6,11,19.72,19.53,20.31,19.53,-27.49,-27.49,0.717,334,16.2,53.0,8.109,7.609,20.02,-5.24,37.0,26.8,11,1.9
g1b_a3_L25_d30_s7_t30_notp_n16,3,25,25,0.3,off,70.0,,close,0.07,30,,16,0.0625,,pct,0.0025,False,False,612,24.22,23.6,24.63,23.6,-12.73,-12.73,1.902,331,55.2,49.2,7.018,6.518,19.85,-5.38,33.0,35.1,16,13.9,13.78,13.98,13.78,-19.06,-19.06,0.729,538,26.0,51.7,7.402,6.902,18.97,-4.97,36.0,18.1,16,2.4
g1b_a3_L25_d30_s7_t30_tp25_n5,3,25,25,0.3,off,70.0,,close,0.07,30,0.25,5,0.3,,pct,0.0025,False,False,612,46.72,41.95,53.14,41.95,-18.73,-24.86,2.495,140,23.3,52.5,6.755,6.255,17.43,-5.08,24.0,46.8,9,27.87,27.04,29.71,27.04,-20.81,-24.53,1.34,250,12.1,55.1,7.813,7.313,18.41,-4.98,26.0,26.1,9,1.4
g1b_a3_L25_d30_s7_t30_tp25_n8,3,25,25,0.3,off,70.0,,close,0.07,30,0.25,8,0.1875,,pct,0.0025,False,False,612,38.52,36.23,43.28,36.23,-15.84,-19.19,2.433,209,34.9,51.1,6.082,5.582,16.88,-5.2,23.0,42.9,11,24.1,23.23,25.01,23.23,-15.85,-19.33,1.521,356,17.2,55.0,7.436,6.936,17.55,-4.93,26.0,23.2,11,1.6
