,ret_med,ret_min,ret_max,intra_dd_med
2006,52.2,52.2,52.2,-11.411605933940871
2007,97.25,85.22,97.25,-12.134611680000196
2008,4.15,4.15,4.89,-12.468171520992499
2009,3.08,3.08,3.08,-3.767738115988195
2010,33.2,33.2,33.2,-8.951766565041574
2011,13.31,13.31,13.31,-6.9134265500603975
2012,2.52,2.52,2.52,-3.925985407658117
2013,5.08,5.08,5.08,0.0
2014,5.0,5.0,5.0,0.0
2015,13.88,13.87,13.88,-6.684580495113346
2016,48.67,47.96,53.98,-9.273048665164325
2017,60.03,55.63,67.99,-7.512269307747427
2018,0.010000000000000002,-2.63,2.55,-18.282050638044794
2019,14.26,14.26,14.26,-8.041903767495374
2020,88.1,88.09,88.1,-7.285154479627131
2021,40.745,34.72,57.47,-12.220801612638006
2022,14.955,10.93,22.6,-15.102388089698437
2023,71.32,46.32,99.19,-16.292006814718448
2024,77.83,61.63,98.01,-13.750735984893897
2025,-1.4100000000000001,-9.11,11.34,-20.16715887507172
2026,66.515,40.3,102.66,-9.235554460756113
