,ret_med,ret_min,ret_max,intra_dd_med
2006,19.1,19.1,19.1,-11.411605933940871
2007,53.25,53.25,53.25,-7.831570110792152
2008,2.71,2.71,2.71,-5.716471935732326
2009,4.53,4.53,4.53,-3.285837672359193
2010,24.1,24.1,24.1,-3.9368648272572915
2011,2.22,2.22,2.22,-2.197684506571751
2012,5.11,5.11,5.11,0.0
2013,5.08,5.08,5.08,0.0
2014,5.0,5.0,5.0,0.0
2015,15.99,15.99,15.99,-5.944923723322814
2016,77.22,77.22,77.22,-7.210263130227778
2017,34.38,34.38,34.38,-11.434050887951875
2018,-7.08,-7.08,-3.79,-13.799046983261231
2019,15.92,15.91,15.92,-4.492550192948008
2020,32.47,32.46,32.47,-3.688215373014314
2021,24.94,23.72,29.55,-7.5474960093452665
2022,8.94,8.33,9.11,-11.69341592522305
2023,109.485,96.19,125.05,-7.684313284120781
2024,38.15,22.93,46.11,-12.887422551193527
2025,37.72,29.59,39.44,-9.99590326258955
2026,40.1,33.1,48.54,-11.220008664162917
