,ret_med,ret_min,ret_max,intra_dd_med
2006,27.57,25.89,28.55,-18.708188698100024
2007,100.15,78.7,127.76,-12.948386482698826
2008,-9.265,-13.19,-4.25,-27.9427655676623
2009,106.22999999999999,97.52,113.11,-9.003274371719417
2010,25.939999999999998,22.21,26.98,-14.667803178036086
2011,3.7350000000000003,3.7,3.77,-15.196072314066612
2012,36.18,34.33,36.18,-7.4969415295983834
2013,-2.48,-2.48,-2.25,-5.52275305744933
2014,70.59,65.83,70.6,-10.967149677772708
2015,9.52,7.76,10.51,-18.562365290147365
2016,48.120000000000005,41.11,57.26,-11.220479223367551
2017,85.84,68.08,109.15,-10.084179555844297
2018,-11.775,-18.76,-4.06,-29.531995092535126
2019,39.86,30.67,48.08,-11.472593323462693
2020,99.14500000000001,77.49,116.97,-14.347631777095245
2021,89.915,45.25,166.03,-13.623802879494518
2022,-14.5,-26.52,5.73,-31.339467015782756
2023,58.79,20.18,89.93,-11.229014614171923
2024,82.61,31.74,131.76,-10.421537843721111
2025,-2.5250000000000004,-23.8,15.62,-22.36351622927234
2026,26.950000000000003,-7.62,74.75,-10.192374693221801
