,IPO,OA,TN,TN+OA 50-50,TN+OA+IPO 45/45/10,TN+OA+IPO 40/40/20
2006,50.34,19.0,9.04,16.14,19.29,22.49
2007,97.21,143.01,53.62,89.68,88.41,87.52
2008,4.24,-9.08,-14.11,0.55,0.8,1.04
2009,3.06,58.01,53.77,55.77,49.75,43.9
2010,28.49,19.96,4.13,21.14,21.34,21.5
2011,13.29,-1.63,-11.71,-0.83,0.5,1.84
2012,2.5,13.21,20.65,15.29,14.0,12.7
2013,5.06,15.02,0.83,10.64,10.04,9.44
2014,4.98,84.28,46.29,61.42,54.91,48.59
2015,13.85,22.53,-6.4,5.22,6.07,6.92
2016,43.75,17.17,31.0,27.68,30.49,33.14
2017,58.17,107.99,32.25,69.9,67.92,66.03
2018,-1.92,-11.49,-5.74,-10.11,-8.63,-7.14
2019,14.24,9.12,-2.1,4.6,5.53,6.46
2020,87.72,123.17,62.33,81.67,80.9,79.99
2021,41.23,178.17,58.61,107.0,101.94,97.09
2022,14.27,11.43,7.4,10.1,11.39,12.74
2023,72.38,54.01,37.41,55.67,57.5,59.55
2024,78.85,77.3,18.49,23.4,27.37,30.75
2025,-1.77,20.08,5.41,19.09,17.75,16.78
2026,67.37,35.19,5.19,16.33,21.19,25.56
