date,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,seed10,seed11,seed12,seed13,seed14,seed15,seed16,seed17,seed18,seed19,seed20,seed21,seed22,seed23,seed24,seed25,seed26,seed27,seed28,seed29,seed30
2006-01-02,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127
2006-01-03,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243
2006-01-04,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458
2006-01-05,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899
2006-01-06,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705
2006-01-09,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035
2006-01-10,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906,1001389.715881906
2006-01-12,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968,1001588.4043175968
2006-01-13,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963,1001787.1321755963
2006-01-16,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264,1001985.8994637264
