symbol,first_row,junk_rows,list_date,last_row,n_rows,bulk_n,vol_ratio,day1_range_pct,accepted
20MICRONS,2008-10-06,0,2008-10-06,2026-09-04,4424,1,83.64885017992077,143.87633769322235,True
21STCENMGM,2018-01-11,60,2018-04-19,2026-09-04,2117,0,6.383638053920049,0.0,True
360ONE,2025-05-26,0,2025-05-26,2026-09-04,320,15,0.5034327299567376,2.7784607819031226,False
3BBLACKBIO,2026-04-20,56,2026-07-10,2026-09-04,97,1,1.3560710924090582,6.433919554239953,False
3IINFOLTD-BE,2021-10-22,10,2021-11-08,2026-09-04,1209,1,0.033952086677460996,0.0,False
3MINDIA,2005-01-03,60,2005-03-31,2026-09-04,5358,0,0.5656970912738215,2.3121387283236996,False
3PLAND,2005-01-03,60,2005-03-31,2026-09-04,5115,0,1.5690737833594977,3.4562211981566904,False
5PAISA,2017-11-16,28,2017-12-27,2026-09-04,2181,0,5.517889823091001,10.346339324857517,True
63MOONS,2007-01-02,54,2007-03-22,2026-09-04,4862,0,0.9942427446833509,1.8815105919086994,False
A2ZINFRA,2010-12-23,0,2010-12-23,2026-09-04,3881,1,45.55600977435359,55.21229645411656,True
AAATECH,2020-10-13,60,2021-01-18,2026-09-04,1321,0,1.5,0.0,True
AADHARHFC,2024-05-15,0,2024-05-15,2026-09-04,575,2,36.16724124830943,15.692821368948245,True
AAKASH,2018-05-15,60,2018-08-07,2026-09-04,2052,0,0.0,0.0,False
AAREYDRUGS,2021-08-06,0,2021-08-06,2026-09-04,1256,1,4.233019326876299,4.267589388696658,True
AARNAV-BE,2026-02-25,52,2026-05-18,2026-09-04,130,0,0.2128618319475737,5.5456171735241595,False
AARON,2018-09-18,59,2018-12-17,2026-09-04,1965,1,1.0,5.631067961165049,False
AARTECH,2023-07-10,0,2023-07-10,2026-05-15,702,3,18.524073306452625,19.149484536082475,True
AARTECH-BE,2023-07-10,0,2023-07-10,2026-09-04,785,3,18.524150867555438,19.161982626469086,True
AARTIDRUGS,2005-01-03,0,2005-01-03,2026-09-04,5358,451,1.0139817424781588,2.5882352941176503,False
AARTIIND,2005-01-03,0,2005-01-03,2026-09-04,5358,451,3.2317041471095003,3.278688524590164,False
AARTIPHARM,2023-01-30,0,2023-01-30,2026-09-04,888,1,1.3416120449749742,9.974325607568675,True
AARTISURF,2020-07-14,29,2020-08-24,2026-05-15,1445,0,0.22714864753081312,0.0,False
AARTISURF-BE,2020-07-14,29,2020-08-24,2026-09-04,1528,0,0.22714238447115914,0.0,False
AARVI,2017-10-06,59,2018-01-01,2026-09-04,2201,0,3.6666666666666665,6.920718353044233,True
AASTHA,2026-07-06,0,2026-07-06,2026-09-04,45,1,7.490400116123799,4.762253644955674,True
AAVAS,2018-10-08,0,2018-10-08,2026-09-04,1961,2,53.64446063476162,9.937366823787698,True
ABAN-BE,2005-01-03,0,2005-01-03,2026-09-04,5308,451,0.1812544223478856,2.1004647836968258,False
ABANSENT,2026-04-20,60,2026-07-16,2026-09-04,97,2,0.12472610820832632,5.377906976744188,False
ABB,2025-05-26,0,2025-05-26,2026-09-04,320,15,1.19425089236031,1.3841407487701158,False
ABBOTINDIA,2005-01-03,60,2005-03-31,2026-09-04,5358,0,0.0,2.911181160763962,False
ABCAPITAL,2017-09-01,0,2017-09-01,2026-09-04,2232,1,0.9713758758989898,7.368421052631579,False
ABCOTS,2022-01-25,59,2022-04-25,2026-09-04,1138,0,1.25,3.044496487119431,False
ABDL,2024-07-02,0,2024-07-02,2026-09-04,541,1,28.118755650141527,5.693532527674688,True
ABFRL,2013-07-17,51,2013-10-01,2026-09-04,3245,0,2.4221662789586054,10.18633540372671,True
ABGSEC,2024-07-10,60,2024-10-09,2026-09-04,501,2,8.629032258064516,0.601066408143471,True
ABINFRA,2019-07-30,55,2019-10-24,2026-05-15,1677,0,2.0,7.189542483660137,True
ABINFRA-BE,2019-07-12,165,2021-05-28,2026-09-04,1054,0,0.4000305308552456,0.0,False
ABLBL,2025-06-23,0,2025-06-23,2026-09-04,298,1,2.3381436549720287,10.305704380712257,True
ABMINTLLTD,2016-06-29,60,2016-09-27,2026-02-17,2380,0,0.0,0.0,False
ABMINTLLTD-BE,2021-09-13,59,2021-12-08,2026-09-04,1195,0,2.650040883074407,10.308788598574818,True
ABMKNO,2026-04-20,59,2026-07-15,2026-09-04,97,1,4.280197206244864,2.857142857142857,True
ABREL,2005-01-03,0,2005-01-03,2026-09-04,5358,451,1.6230499920716315,5.786230913474408,False
ABSL10BANK,2026-03-04,60,2026-06-04,2026-09-04,126,0,0.5228519195612431,1.2126515814476797,False
ABSLAMC,2021-10-11,0,2021-10-11,2026-09-04,1217,1,20.63317101537349,3.9388090642647726,True
ABSLBANETF,2019-10-30,60,2020-02-01,2026-09-04,1688,0,7.555555555555555,3.672787979966616,True
ABSLLIQUID,2017-02-16,67,2023-03-16,2026-09-04,908,0,0.025296442687747035,0.001999980000198179,False
ABSLMSCIN,2026-02-20,60,2026-05-25,2026-09-04,132,1,1.0224719101123596,0.5136986301369815,False
ABSLNN50ET,2018-12-27,60,2019-05-07,2026-09-04,1847,0,1.6962962962962962,8.306709265175712,True
ABSLPSE,2024-05-23,0,2024-05-23,2026-09-04,565,2,0.71164315513357,7.875457875457871,False
ACC,2005-01-03,0,2005-01-03,2026-09-04,5358,451,0.4081667310927314,1.2152269399707107,False
ACCELYA,2005-01-03,0,2005-01-03,2026-09-04,5358,451,0.9907285652304509,6.128550074738428,False
ACCURACY,2018-07-06,57,2018-10-01,2026-02-17,1878,0,2.0,0.0,True
ACCURACY-BE,2020-12-11,5,2020-12-18,2026-09-04,1422,2,3.6636636636636637,6.666666666666667,True
ACE,2006-09-26,0,2006-09-26,2026-09-04,4927,1,4.786182966163869,15.956622773044153,True
ACEINTEG,2017-07-13,59,2017-10-09,2026-09-04,2258,1,9000.0,3.0454545454545534,True
ACI,2022-11-21,0,2022-11-21,2026-09-04,937,2,46.21955556018477,7.814437555358728,True
ACL,2023-05-10,16,2023-06-01,2026-09-04,827,0,1.8835047872744373,4.760250173731754,True
ACMESOLAR,2024-11-13,0,2024-11-13,2026-09-04,448,3,8.575418189321965,10.90268708694447,True
ACSTECH-BE,2026-04-20,5,2026-04-27,2026-09-04,97,0,0.6077399724251596,1.6169154228855684,False
ACUTAAS,2025-05-26,0,2025-05-26,2026-09-04,320,15,1.3372739846682988,3.2824042981867136,False
ADANIENSOL,2015-07-31,0,2015-07-31,2026-09-04,2746,1,1.2676417373123803,5.797101449275367,False
ADANIENT,2005-01-03,0,2005-01-03,2026-09-04,5373,451,1.1766511216809987,1.8018018018018114,False
ADANIGREEN,2018-06-18,0,2018-06-18,2026-09-04,2036,2,9.547820671459954,9.523809523809524,True
ADANIPORTS,2007-11-27,0,2007-11-27,2026-09-04,4636,1,16.971223609818058,29.078824384671304,True
ADANIPOWER,2009-08-20,0,2009-08-20,2026-09-04,4213,1,36.889602209673136,11.750000000000007,True
ADFFOODS,2010-09-15,0,2010-09-15,2026-09-04,3941,1,9.480488610102345,19.953952417498076,True
ADL,2020-10-01,59,2020-12-28,2026-09-04,1465,0,0.9962462462462462,6.873977086743048,False
ADOR,2005-01-03,0,2005-01-03,2026-09-04,5358,451,1.958394749283867,7.9447322970639105,False
ADROITINFO,2015-10-13,47,2015-12-23,2026-09-04,2690,2,0.8067416247039617,8.079498811838414,True
ADSL,2015-01-01,0,2015-01-01,2026-09-04,2890,99,0.19350216713830282,3.5320088300220784,False
ADVAIT,2026-01-20,0,2026-01-20,2026-09-04,156,1,1.5018234639634072,12.365282368156356,True
ADVANCE,2025-10-08,0,2025-10-08,2026-09-04,225,2,18.638072481412504,5.724838411819023,True
ADVANIHOTR,2007-06-25,56,2007-09-12,2026-09-04,4730,0,25.790094590285896,11.016949152542374,True
ADVENTHTL,2025-11-13,0,2025-11-13,2026-09-04,201,3,1.6111831633555385,8.717480602464622,True
ADVENZYMES,2016-08-01,0,2016-08-01,2026-09-04,2500,1,21.146223169696444,6.377986348122862,True
AEGISLOG,2005-01-03,0,2005-01-03,2026-09-04,5358,451,0.969684086211987,4.093567251461992,False
AEGISVOPAK,2025-06-02,0,2025-06-02,2026-09-04,315,2,18.027216613431655,9.090909090909092,True
AEPL,2026-03-12,44,2026-05-20,2026-09-04,120,0,3.2619737809890537,5.811863391252239,True
AEQUS,2025-12-10,0,2025-12-10,2026-09-04,182,3,30.82956298478124,14.277215942891134,True
AEROENTER,2025-06-16,0,2025-06-16,2026-09-04,304,1,0.9619092806984247,3.738214087631714,False
AEROFLEX,2023-08-31,0,2023-08-31,2026-09-04,743,3,34.120772362372854,20.85407066052227,True
AERONEU,2023-01-12,0,2023-01-12,2026-09-04,899,1,14.11425736927975,4.764050005631269,True
AEROPLANE,2026-04-02,0,2026-04-02,2026-09-04,107,3,9.859456205073124,11.11111111111111,True
AETHER,2022-06-03,0,2022-06-03,2026-09-04,1057,1,21.778022069309262,9.478305785123965,True
AFCONS,2024-11-04,0,2024-11-04,2026-09-04,455,1,14.937951356037633,12.483292669990446,True
AFFLE,2019-08-08,0,2019-08-08,2026-09-04,1755,1,146.61129131235205,23.891273247496425,True
AFFORDABLE,2024-10-23,46,2025-01-02,2026-09-04,461,0,3.3662222650045726,2.8232250209268632,True
AFIL,2024-06-26,0,2024-06-26,2026-09-04,544,3,8.22726390455201,4.7976011994003045,True
AFSL,2022-12-23,0,2022-12-23,2026-09-04,913,2,6.868173314645605,24.999999999999996,True
AGARIND,2014-05-26,60,2014-08-20,2026-09-04,3030,0,0.27251732101616627,1.9377080361388606,False
AGARWALEYE,2025-02-04,29,2025-03-19,2026-09-04,391,3,1.107960635685943,9.914980241887195,True
AGI,2005-01-03,0,2005-01-03,2026-09-04,5358,451,2.1862301642205644,4.240766073871421,False
AGIIL,2024-07-15,45,2024-09-18,2026-09-04,532,1,0.8657513348588863,13.324591486786371,True
AGL,2026-07-03,0,2026-07-03,2026-09-04,46,1,0.1477987775240292,5.26315789473685,False
AGRITECH,2014-01-28,60,2014-04-30,2026-09-04,2958,0,0.6988171064604186,8.27067669172932,True
AGROPHOS,2017-03-15,58,2017-06-08,2026-09-04,2342,0,6.0,10.019267822736023,True
AHCL,2025-09-03,0,2025-09-03,2026-09-04,250,2,9.379294399101406,1.8538713195201737,True
AHLADA,2018-10-12,60,2019-01-10,2026-09-04,1949,0,4000.0,0.0,True
AHLEAST,2010-08-11,59,2010-11-03,2026-09-04,3965,0,6.268981954375213,4.267757965507168,True
AHLUCONT,2009-12-14,0,2009-12-14,2026-09-04,4137,2,1.0718295065137524,6.174571989896155,False
AHLWEST-BE,2010-08-05,60,2010-10-29,2026-09-04,2921,2,1.1217168481742472,5.921619293712317,False
AIAENG,2005-12-14,0,2005-12-14,2026-09-04,5122,1,14.199568455553914,23.34122003909063,False
AIIL,2024-04-23,0,2024-04-23,2026-09-04,590,1,15.522099346691485,19.222462203023756,True
AIRAN,2017-07-25,28,2017-09-05,2026-09-04,2252,1,0.3333333333333333,0.0,False
AIROLAM,2017-10-06,43,2017-12-07,2026-09-04,2201,0,0.6875,4.099244875943902,False
AJANTPHARM,2005-01-03,0,2005-01-03,2026-09-04,5358,451,2.4955110572565786,2.3622047244094544,False
AJAXENGG,2025-02-17,20,2025-03-19,2026-09-04,382,3,6.575197694012894,6.476323119777161,True
AJMERA,2005-01-03,60,2005-03-31,2026-09-04,5357,0,0.0,0.0,False
AJOONI,2018-01-02,54,2018-03-22,2026-09-04,2138,1,1.3333333333333333,10.084033613445387,True
AKASH,2017-03-15,60,2017-06-12,2026-09-04,2341,0,69.33333333333333,8.731130150958794,True
AKCAPIT,2026-04-20,57,2026-07-13,2026-09-04,97,0,1.4897286330205428,3.226904100266538,False
