symbol,first,junk_rows,true_start,ratio
COHANCE,2015-01-01,20,2020-03-09,1123.5
DELHIVERY,2016-01-18,8,2022-05-24,93.27826086956522
GVPTECH,2022-09-08,10,2022-09-22,5.479760119940029
HARDWYN,2022-04-12,47,2022-06-21,0.07409698169223157
KOKUYOCMLN,2008-07-28,18,2008-08-22,0.10294117647058824
LATENTVIEW,2019-02-22,16,2021-11-23,7.512296341838303
LIQUIDIETF,2016-01-12,1,2018-09-26,90.9090909090909
MAZDOCK,2017-12-04,8,2020-10-12,86000000000.0
MOM30IETF,2022-08-10,2,2022-08-12,0.1012217340049298
RAINBOW,2019-04-01,39,2022-05-10,600.2666666666667
