list_year,n,dead,dead_pct
2000,2,1,50.0
2003,31,0,0.0
2004,4,0,0.0
2005,490,2,0.40816326530612246
2006,71,1,1.408450704225352
2007,100,0,0.0
2008,38,1,2.6315789473684212
2009,20,0,0.0
2010,81,6,7.407407407407407
2011,66,6,9.090909090909092
2012,27,2,7.407407407407407
2013,19,2,10.526315789473685
2014,19,2,10.526315789473685
2015,182,11,6.043956043956044
2016,94,9,9.574468085106384
2017,140,15,10.714285714285714
2018,104,9,8.653846153846153
2019,58,5,8.620689655172415
2020,66,6,9.090909090909092
2021,137,6,4.37956204379562
2022,137,6,4.37956204379562
2023,150,9,6.0
2024,193,5,2.5906735751295336
2025,280,136,48.57142857142857
2026,162,0,0.0
