panel,window,pair,daily_med,daily_min,daily_max,monthly_med,monthly_min,monthly_max,n_combos,note
A,2010-01 -> 2026-08 (all 6; gold pre-2015 = reconstruction),OA~TN,0.357,0.314,0.391,0.432,0.348,0.543,360,
A,2010-01 -> 2026-08 (all 6; gold pre-2015 = reconstruction),OA~VCP,0.738,0.704,0.771,0.75,0.691,0.8,900,
A,2010-01 -> 2026-08 (all 6; gold pre-2015 = reconstruction),OA~MYB,0.412,0.389,0.441,0.502,0.45,0.57,900,
A,2010-01 -> 2026-08 (all 6; gold pre-2015 = reconstruction),OA~IPO,0.226,0.202,0.259,0.353,0.299,0.451,900,
A,2010-01 -> 2026-08 (all 6; gold pre-2015 = reconstruction),OA~GOLD,0.076,0.046,0.098,-0.08,-0.122,-0.044,30,daily gold = GOLDBEES real 2015+ only
A,2010-01 -> 2026-08 (all 6; gold pre-2015 = reconstruction),TN~VCP,0.434,0.387,0.458,0.466,0.371,0.594,360,
A,2010-01 -> 2026-08 (all 6; gold pre-2015 = reconstruction),TN~MYB,0.371,0.355,0.386,0.409,0.333,0.479,360,
A,2010-01 -> 2026-08 (all 6; gold pre-2015 = reconstruction),TN~IPO,0.21,0.189,0.235,0.271,0.201,0.351,360,
A,2010-01 -> 2026-08 (all 6; gold pre-2015 = reconstruction),TN~GOLD,-0.037,-0.05,-0.029,-0.126,-0.182,-0.067,12,daily gold = GOLDBEES real 2015+ only
A,2010-01 -> 2026-08 (all 6; gold pre-2015 = reconstruction),VCP~MYB,0.583,0.553,0.603,0.612,0.548,0.693,900,
A,2010-01 -> 2026-08 (all 6; gold pre-2015 = reconstruction),VCP~IPO,0.289,0.263,0.323,0.377,0.287,0.469,900,
A,2010-01 -> 2026-08 (all 6; gold pre-2015 = reconstruction),VCP~GOLD,0.041,-0.006,0.075,-0.096,-0.167,-0.074,30,daily gold = GOLDBEES real 2015+ only
A,2010-01 -> 2026-08 (all 6; gold pre-2015 = reconstruction),MYB~IPO,0.29,0.27,0.304,0.408,0.349,0.474,900,
A,2010-01 -> 2026-08 (all 6; gold pre-2015 = reconstruction),MYB~GOLD,-0.027,-0.029,-0.024,-0.067,-0.086,-0.053,30,daily gold = GOLDBEES real 2015+ only
A,2010-01 -> 2026-08 (all 6; gold pre-2015 = reconstruction),IPO~GOLD,-0.003,-0.013,0.013,-0.067,-0.096,-0.033,30,daily gold = GOLDBEES real 2015+ only
B,"2006-04 -> 2026-08 (5 sleeves, contains 2008)",OA~TN,0.421,0.382,0.45,0.512,0.439,0.609,360,
B,"2006-04 -> 2026-08 (5 sleeves, contains 2008)",OA~VCP,0.749,0.719,0.776,0.767,0.727,0.806,900,
B,"2006-04 -> 2026-08 (5 sleeves, contains 2008)",OA~IPO,0.211,0.19,0.238,0.344,0.299,0.423,900,
B,"2006-04 -> 2026-08 (5 sleeves, contains 2008)",OA~GOLD,0.076,0.046,0.098,-0.049,-0.078,-0.022,30,daily gold = GOLDBEES real 2015+ only
B,"2006-04 -> 2026-08 (5 sleeves, contains 2008)",TN~VCP,0.473,0.436,0.495,0.525,0.422,0.623,360,
B,"2006-04 -> 2026-08 (5 sleeves, contains 2008)",TN~IPO,0.22,0.2,0.234,0.268,0.193,0.344,360,
B,"2006-04 -> 2026-08 (5 sleeves, contains 2008)",TN~GOLD,-0.037,-0.05,-0.029,-0.071,-0.125,-0.007,12,daily gold = GOLDBEES real 2015+ only
B,"2006-04 -> 2026-08 (5 sleeves, contains 2008)",VCP~IPO,0.269,0.251,0.299,0.395,0.33,0.464,900,
B,"2006-04 -> 2026-08 (5 sleeves, contains 2008)",VCP~GOLD,0.041,-0.006,0.075,-0.075,-0.13,-0.056,30,daily gold = GOLDBEES real 2015+ only
B,"2006-04 -> 2026-08 (5 sleeves, contains 2008)",IPO~GOLD,-0.003,-0.013,0.013,-0.053,-0.075,-0.023,30,daily gold = GOLDBEES real 2015+ only
C,"2015-01 -> 2026-08 (all 6, real data only)",OA~TN,0.356,0.297,0.394,0.407,0.306,0.532,360,
C,"2015-01 -> 2026-08 (all 6, real data only)",OA~VCP,0.728,0.684,0.768,0.741,0.668,0.808,900,
C,"2015-01 -> 2026-08 (all 6, real data only)",OA~MYB,0.423,0.398,0.457,0.513,0.455,0.585,900,
C,"2015-01 -> 2026-08 (all 6, real data only)",OA~IPO,0.248,0.219,0.284,0.37,0.31,0.478,900,
C,"2015-01 -> 2026-08 (all 6, real data only)",OA~GOLD,0.076,0.046,0.098,-0.089,-0.147,-0.04,30,
C,"2015-01 -> 2026-08 (all 6, real data only)",TN~VCP,0.436,0.38,0.462,0.443,0.32,0.598,360,
C,"2015-01 -> 2026-08 (all 6, real data only)",TN~MYB,0.379,0.362,0.395,0.439,0.342,0.513,360,
C,"2015-01 -> 2026-08 (all 6, real data only)",TN~IPO,0.236,0.208,0.263,0.337,0.252,0.427,360,
C,"2015-01 -> 2026-08 (all 6, real data only)",TN~GOLD,-0.037,-0.05,-0.029,-0.169,-0.22,-0.122,12,
C,"2015-01 -> 2026-08 (all 6, real data only)",VCP~MYB,0.613,0.578,0.637,0.645,0.565,0.737,900,
C,"2015-01 -> 2026-08 (all 6, real data only)",VCP~IPO,0.323,0.288,0.36,0.408,0.301,0.517,900,
C,"2015-01 -> 2026-08 (all 6, real data only)",VCP~GOLD,0.041,-0.006,0.075,-0.098,-0.183,-0.067,30,
C,"2015-01 -> 2026-08 (all 6, real data only)",MYB~IPO,0.305,0.284,0.319,0.405,0.339,0.474,900,
C,"2015-01 -> 2026-08 (all 6, real data only)",MYB~GOLD,-0.027,-0.029,-0.024,-0.083,-0.109,-0.062,30,
C,"2015-01 -> 2026-08 (all 6, real data only)",IPO~GOLD,-0.003,-0.013,0.013,-0.135,-0.176,-0.087,30,
