panel,subset,n,scheme,weights,cagr,cagr_lo,cagr_hi,dd,dd_worst,calmar,calmar_worst,d_cagr,d_dd,d_calmar,calmar_wins,cn_calmar,d_calmar_vs_cash,cash_wins
A,OA+TN,2,TN@10,OA:0.90|TN:0.10,32.35,30.12,35.11,-23.48,-27.11,1.374,1.122,5.92,-7.73,-0.311,26/360,1.374,0.0,0/360
A,OA+TN,2,TN@20,OA:0.80|TN:0.20,31.02,28.41,33.87,-21.27,-25.41,1.446,1.128,4.5,-5.66,-0.247,26/360,1.446,0.0,0/360
A,OA+TN,2,TN@25,OA:0.75|TN:0.25,30.26,27.54,33.23,-20.31,-24.56,1.486,1.131,3.78,-4.62,-0.208,32/360,1.486,0.0,0/360
A,OA+TN,2,TN@33,OA:0.67|TN:0.33,29.14,26.14,32.19,-18.78,-23.18,1.552,1.136,2.6,-3.04,-0.131,45/360,1.552,0.0,0/360
A,OA+TN,2,TN@67,OA:0.33|TN:0.67,24.07,20.02,27.54,-14.1,-18.44,1.723,1.124,-2.7,1.39,-0.031,115/360,1.723,0.0,0/360
A,OA+TN,2,TN@75,OA:0.25|TN:0.75,22.84,18.54,26.39,-14.43,-18.27,1.656,1.097,-4.01,1.21,-0.133,41/360,1.656,0.0,0/360
A,OA+TN,2,TN@80,OA:0.20|TN:0.80,22.05,17.61,25.65,-14.82,-18.33,1.565,1.077,-4.84,0.84,-0.225,7/360,1.565,0.0,0/360
A,OA+TN,2,TN@90,OA:0.10|TN:0.90,20.4,15.74,24.16,-16.79,-19.23,1.275,0.864,-6.51,-0.6,-0.448,0/360,1.275,0.0,0/360
A,OA+VCP,2,VCP@10,OA:0.90|VCP:0.10,33.89,32.04,36.19,-24.7,-27.66,1.359,1.183,7.43,-8.89,-0.309,30/360,1.351,0.012,264/360
A,OA+VCP,2,VCP@20,OA:0.80|VCP:0.20,34.17,32.25,36.22,-23.88,-26.53,1.415,1.255,7.55,-8.04,-0.255,34/360,1.401,0.021,276/360
A,OA+VCP,2,VCP@25,OA:0.75|VCP:0.25,34.27,32.35,36.23,-23.47,-25.97,1.456,1.285,7.64,-7.67,-0.229,44/360,1.425,0.023,264/360
A,OA+VCP,2,VCP@33,OA:0.67|VCP:0.33,34.33,32.49,36.22,-22.88,-25.8,1.519,1.303,7.77,-6.95,-0.179,80/360,1.499,0.023,216/360
A,OA+VCP,2,VCP@67,OA:0.33|VCP:0.67,34.84,32.63,37.11,-20.79,-25.26,1.69,1.364,8.15,-4.89,-0.026,168/360,1.907,-0.191,12/360
A,OA+VCP,2,VCP@75,OA:0.25|VCP:0.75,34.83,32.1,37.27,-20.74,-25.16,1.691,1.37,8.18,-4.99,-0.033,160/360,2.18,-0.478,0/360
A,OA+VCP,2,VCP@80,OA:0.20|VCP:0.80,34.84,31.76,37.37,-20.7,-25.1,1.667,1.353,8.15,-5.14,-0.042,158/360,2.486,-0.805,0/360
A,OA+VCP,2,VCP@90,OA:0.10|VCP:0.90,34.92,31.06,37.53,-21.1,-25.27,1.633,1.308,8.05,-5.61,-0.078,137/360,4.435,-2.863,0/360
A,OA+MYB,2,MYB@10,MYB:0.10|OA:0.90,32.79,31.13,35.27,-22.83,-25.9,1.432,1.216,6.42,-7.13,-0.248,35/360,1.351,0.073,360/360
A,OA+MYB,2,MYB@20,MYB:0.20|OA:0.80,31.9,30.42,34.34,-20.34,-22.93,1.55,1.344,5.49,-4.71,-0.109,115/360,1.401,0.156,360/360
A,OA+MYB,2,MYB@25,MYB:0.25|OA:0.75,31.41,30.04,33.86,-19.15,-21.43,1.628,1.421,5.0,-3.54,-0.041,143/360,1.425,0.202,360/360
A,OA+MYB,2,MYB@33,MYB:0.33|OA:0.67,30.68,29.41,33.07,-17.29,-19.0,1.79,1.573,4.27,-1.66,0.089,238/360,1.499,0.282,360/360
A,OA+MYB,2,MYB@67,MYB:0.67|OA:0.33,27.45,26.25,29.36,-13.85,-16.39,1.987,1.648,0.84,1.82,0.278,310/360,1.907,0.082,228/360
A,OA+MYB,2,MYB@75,MYB:0.75|OA:0.25,26.54,25.31,28.41,-14.28,-16.04,1.875,1.639,-0.03,1.65,0.203,285/360,2.18,-0.286,0/360
A,OA+MYB,2,MYB@80,MYB:0.80|OA:0.20,25.98,24.65,27.86,-14.34,-16.18,1.808,1.612,-0.62,1.41,0.135,254/360,2.486,-0.673,0/360
A,OA+MYB,2,MYB@90,MYB:0.90|OA:0.10,24.82,23.32,26.76,-15.25,-18.37,1.603,1.362,-1.74,0.37,-0.07,135/360,4.435,-2.853,0/360
A,OA+IPO,2,IPO@10,IPO:0.10|OA:0.90,33.58,31.9,36.01,-23.37,-26.1,1.429,1.226,7.17,-7.68,-0.242,34/360,1.351,0.085,360/360
A,OA+IPO,2,IPO@20,IPO:0.20|OA:0.80,33.53,31.79,35.74,-21.76,-23.59,1.553,1.363,7.03,-6.07,-0.143,92/360,1.401,0.11,360/360
A,OA+IPO,2,IPO@25,IPO:0.25|OA:0.75,33.52,31.67,35.6,-21.1,-22.89,1.603,1.442,6.93,-5.39,-0.098,120/360,1.425,0.124,360/360
A,OA+IPO,2,IPO@33,IPO:0.33|OA:0.67,33.46,31.45,35.34,-20.17,-21.84,1.654,1.498,6.71,-4.5,-0.035,161/360,1.499,0.156,360/360
A,OA+IPO,2,IPO@67,IPO:0.67|OA:0.33,32.24,30.05,34.55,-18.09,-19.74,1.785,1.564,5.51,-2.24,0.107,242/360,1.907,-0.066,36/360
A,OA+IPO,2,IPO@75,IPO:0.75|OA:0.25,31.77,29.62,34.25,-17.79,-19.27,1.791,1.566,5.06,-2.04,0.111,237/360,2.18,-0.349,0/360
A,OA+IPO,2,IPO@80,IPO:0.80|OA:0.20,31.45,29.28,34.04,-17.69,-18.99,1.777,1.566,4.82,-1.95,0.107,234/360,2.486,-0.66,0/360
A,OA+IPO,2,IPO@90,IPO:0.90|OA:0.10,30.75,28.54,33.57,-17.61,-19.15,1.771,1.561,4.25,-1.76,0.08,226/360,4.435,-2.658,0/360
A,OA+GOLD,2,GOLD@10,GOLD:0.10|OA:0.90,31.82,30.27,34.31,-21.88,-24.92,1.445,1.226,5.46,-6.13,-0.226,40/360,1.351,0.097,360/360
A,OA+GOLD,2,GOLD@20,GOLD:0.20|OA:0.80,30.0,28.65,32.22,-18.11,-20.89,1.652,1.383,3.53,-2.36,-0.029,157/360,1.401,0.245,360/360
A,OA+GOLD,2,GOLD@25,GOLD:0.25|OA:0.75,29.07,27.82,31.14,-16.28,-18.82,1.774,1.489,2.56,-0.54,0.098,238/360,1.425,0.348,360/360
A,OA+GOLD,2,GOLD@33,GOLD:0.33|OA:0.67,27.53,26.44,29.39,-13.31,-15.44,2.054,1.725,0.98,2.3,0.387,331/360,1.499,0.57,360/360
A,OA+GOLD,2,GOLD@67,GOLD:0.67|OA:0.33,20.55,20.05,21.45,-14.37,-14.84,1.433,1.364,-6.12,1.37,-0.252,44/360,1.907,-0.476,0/360
A,OA+GOLD,2,GOLD@75,GOLD:0.75|OA:0.25,18.8,18.44,19.49,-16.14,-16.48,1.166,1.127,-7.84,-0.4,-0.516,1/360,2.18,-1.007,0/360
A,OA+GOLD,2,GOLD@80,GOLD:0.80|OA:0.20,17.7,17.41,18.24,-17.23,-17.5,1.029,1.001,-8.93,-1.49,-0.657,0/360,2.486,-1.451,0/360
A,OA+GOLD,2,GOLD@90,GOLD:0.90|OA:0.10,15.44,15.3,15.72,-19.38,-19.51,0.798,0.787,-11.19,-3.68,-0.885,0/360,4.435,-3.634,0/360
A,TN+VCP,2,VCP@10,TN:0.90|VCP:0.10,20.42,15.6,24.28,-16.55,-19.53,1.217,0.882,-6.46,-0.83,-0.467,0/360,1.119,0.141,360/360
A,TN+VCP,2,VCP@20,TN:0.80|VCP:0.20,22.13,17.33,25.9,-15.92,-20.01,1.434,1.052,-4.73,0.11,-0.294,6/360,1.211,0.258,358/360
A,TN+VCP,2,VCP@25,TN:0.75|VCP:0.25,22.96,18.18,26.7,-15.73,-20.26,1.493,1.1,-3.93,0.27,-0.226,11/360,1.246,0.29,355/360
A,TN+VCP,2,VCP@33,TN:0.67|VCP:0.33,24.18,19.54,27.96,-15.72,-20.65,1.545,1.134,-2.5,0.15,-0.146,40/360,1.316,0.297,345/360
A,TN+VCP,2,VCP@67,TN:0.33|VCP:0.67,29.54,25.16,33.09,-18.16,-22.37,1.625,1.236,3.02,-2.4,-0.062,126/360,2.099,-0.416,63/360
A,TN+VCP,2,VCP@75,TN:0.25|VCP:0.75,30.77,26.44,34.24,-19.06,-23.12,1.614,1.254,4.25,-3.33,-0.08,130/360,2.538,-0.864,3/360
A,TN+VCP,2,VCP@80,TN:0.20|VCP:0.80,31.64,27.24,34.94,-19.66,-23.7,1.607,1.259,5.01,-3.91,-0.092,129/360,2.985,-1.351,0/360
A,TN+VCP,2,VCP@90,TN:0.10|VCP:0.90,33.34,28.8,36.32,-20.93,-24.88,1.587,1.262,6.54,-5.05,-0.114,118/360,6.125,-4.524,0/360
A,TN+MYB,2,MYB@10,MYB:0.10|TN:0.90,19.41,14.8,23.12,-17.09,-19.08,1.177,0.785,-7.51,-0.94,-0.533,0/360,1.119,0.075,360/360
A,TN+MYB,2,MYB@20,MYB:0.20|TN:0.80,20.04,15.72,23.58,-15.32,-19.18,1.362,0.839,-6.85,0.66,-0.379,0/360,1.211,0.171,360/360
A,TN+MYB,2,MYB@25,MYB:0.25|TN:0.75,20.34,16.17,23.79,-14.51,-19.24,1.455,0.865,-6.54,1.32,-0.29,18/360,1.246,0.229,360/360
A,TN+MYB,2,MYB@33,MYB:0.33|TN:0.67,20.75,16.87,24.1,-13.44,-19.34,1.569,0.905,-6.01,2.45,-0.138,84/360,1.316,0.292,360/360
A,TN+MYB,2,MYB@67,MYB:0.67|TN:0.33,22.39,19.63,25.11,-14.69,-19.87,1.519,1.053,-4.15,1.16,-0.152,64/360,2.099,-0.471,12/360
A,TN+MYB,2,MYB@75,MYB:0.75|TN:0.25,22.72,20.22,25.28,-15.28,-20.02,1.473,1.083,-3.82,0.55,-0.189,46/360,2.538,-0.993,0/360
A,TN+MYB,2,MYB@80,MYB:0.80|TN:0.20,22.88,20.58,25.37,-15.67,-20.12,1.446,1.101,-3.64,0.21,-0.212,43/360,2.985,-1.525,0/360
A,TN+MYB,2,MYB@90,MYB:0.90|TN:0.10,23.22,21.28,25.51,-16.48,-20.32,1.391,1.134,-3.23,-0.6,-0.258,35/360,6.125,-4.678,0/360
A,TN+IPO,2,IPO@10,IPO:0.10|TN:0.90,20.06,15.4,23.9,-16.23,-18.11,1.311,0.874,-6.81,-0.17,-0.443,0/360,1.119,0.174,360/360
A,TN+IPO,2,IPO@20,IPO:0.20|TN:0.80,21.4,16.92,25.13,-14.34,-16.78,1.56,1.039,-5.5,1.65,-0.203,31/360,1.211,0.37,360/360
A,TN+IPO,2,IPO@25,IPO:0.25|TN:0.75,22.01,17.66,25.72,-13.66,-16.24,1.668,1.131,-4.86,2.48,-0.07,123/360,1.246,0.446,360/360
A,TN+IPO,2,IPO@33,IPO:0.33|TN:0.67,23.0,18.84,26.65,-12.53,-15.37,1.863,1.286,-3.82,3.25,0.124,285/360,1.316,0.547,360/360
A,TN+IPO,2,IPO@67,IPO:0.67|TN:0.33,26.81,23.58,30.2,-12.93,-14.68,2.071,1.721,0.24,3.04,0.412,335/360,2.099,0.097,200/360
A,TN+IPO,2,IPO@75,IPO:0.75|TN:0.25,27.63,24.63,30.94,-13.77,-15.67,1.998,1.754,1.13,2.05,0.339,316/360,2.538,-0.483,75/360
A,TN+IPO,2,IPO@80,IPO:0.80|TN:0.20,28.19,25.27,31.39,-14.46,-16.28,1.945,1.709,1.69,1.36,0.274,302/360,2.985,-1.006,4/360
A,TN+IPO,2,IPO@90,IPO:0.90|TN:0.10,29.21,26.53,32.24,-15.97,-18.17,1.845,1.626,2.7,-0.14,0.156,256/360,6.125,-4.289,0/360
A,TN+GOLD,2,GOLD@10,GOLD:0.10|TN:0.90,18.47,14.09,21.98,-16.51,-18.87,1.244,0.782,-8.44,0.37,-0.487,0/360,1.119,0.1,330/360
A,TN+GOLD,2,GOLD@20,GOLD:0.20|TN:0.80,18.15,14.26,21.26,-14.17,-17.86,1.381,0.833,-8.73,2.13,-0.35,1/360,1.211,0.174,330/360
A,TN+GOLD,2,GOLD@25,GOLD:0.25|TN:0.75,17.97,14.32,20.88,-12.72,-17.37,1.441,0.858,-8.9,2.92,-0.301,5/360,1.246,0.162,330/360
A,TN+GOLD,2,GOLD@33,GOLD:0.33|TN:0.67,17.63,14.38,20.23,-12.44,-16.6,1.394,0.898,-9.16,3.26,-0.316,45/360,1.316,0.1,210/360
A,TN+GOLD,2,GOLD@67,GOLD:0.67|TN:0.33,15.73,14.14,16.99,-16.78,-18.27,0.916,0.835,-10.9,-0.91,-0.744,0/360,2.099,-1.175,0/360
A,TN+GOLD,2,GOLD@75,GOLD:0.75|TN:0.25,15.17,13.96,16.12,-17.94,-19.05,0.832,0.777,-11.47,-2.11,-0.834,0/360,2.538,-1.699,0/360
A,TN+GOLD,2,GOLD@80,GOLD:0.80|TN:0.20,14.8,13.83,15.55,-18.66,-19.54,0.784,0.743,-11.83,-2.89,-0.886,0/360,2.985,-2.196,0/360
A,TN+GOLD,2,GOLD@90,GOLD:0.90|TN:0.10,14.0,13.52,14.38,-20.32,-21.26,0.681,0.662,-12.62,-4.63,-1.003,0/360,6.125,-5.449,0/360
A,VCP+MYB,2,MYB@10,MYB:0.10|VCP:0.90,34.05,29.76,36.39,-20.41,-23.8,1.656,1.359,7.07,-4.43,-0.037,162/360,,,n/a
A,VCP+MYB,2,MYB@20,MYB:0.20|VCP:0.80,33.04,29.16,35.09,-18.51,-21.53,1.761,1.473,6.06,-2.56,0.081,231/360,,,n/a
A,VCP+MYB,2,MYB@25,MYB:0.25|VCP:0.75,32.48,28.85,34.42,-17.51,-20.4,1.82,1.542,5.56,-1.7,0.137,257/360,,,n/a
