cell,phase,arm,asset,settle,reserve,cadence,sell,tax,cost_bps,gateN,frictionless,path,oacol,tncol,seed,s_cagr,s_dd,s_calmar,s_invested,s_parked_pct,s_trades,s_final_x,b_cagr,b_dd,b_calmar,b_dd_0809,b_dd_1214,b_dd_1314,b_dd_2126,b_ret_0809,b_ret_1214,b_ret_1314,b_ret_2126,n_pull,pull_val_x,pull_cost_x,pull_tax_x,n_park,park_cost_x,n_missed,park_days_pct,corr_d_oa,corr_d_tn,corr_m_oa,corr_m_tn,secs
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,0,s1,off0,1,29.1449,-23.0637,1.2637,32.906,0.0,669,185.5151,28.0684,-12.3404,2.2745,-12.34,-4.266,-3.799,-11.412,45.032,87.061,66.742,499.777,0,0.0,0.0,0.0,0,0.0,0,0.0,0.2079,0.2087,0.3352,0.2876,0.16
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,1,s2,off1,2,31.5545,-22.0617,1.4303,32.701,0.0,677,270.6033,29.9749,-14.1899,2.1124,-13.044,-4.214,-4.214,-14.19,49.479,90.205,63.56,624.563,0,0.0,0.0,0.0,0,0.0,0,0.0,0.2181,0.2169,0.3465,0.3121,0.14
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,2,s3,off2,3,32.4429,-20.8022,1.5596,32.922,0.0,667,310.4757,30.5101,-13.0724,2.3339,-13.072,-4.438,-3.077,-12.097,43.737,100.782,73.384,601.045,0,0.0,0.0,0.0,0,0.0,0,0.0,0.2154,0.2267,0.3622,0.2957,0.15
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,3,s4,off3,4,29.7316,-22.0514,1.3483,32.77,0.0,680,203.5057,28.6629,-14.3715,1.9944,-12.729,-4.931,-3.485,-12.759,45.742,93.143,69.269,547.554,0,0.0,0.0,0.0,0,0.0,0,0.0,0.2144,0.2271,0.3748,0.3158,0.15
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,4,s5,off4,5,31.5389,-23.2283,1.3578,32.926,0.0,674,269.9465,29.586,-14.4912,2.0417,-12.755,-3.72,-3.701,-13.291,43.563,79.513,59.52,656.666,0,0.0,0.0,0.0,0,0.0,0,0.0,0.2056,0.2088,0.3523,0.3124,0.15
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,5,s6,off5,6,30.4223,-21.3499,1.4249,32.739,0.0,673,226.8139,28.8276,-14.6511,1.9676,-12.247,-3.956,-3.663,-14.651,49.852,82.336,63.72,605.705,0,0.0,0.0,0.0,0,0.0,0,0.0,0.2116,0.2183,0.3629,0.2682,0.16
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,6,s7,off6,7,31.27,-20.6061,1.5175,32.693,0.0,682,258.9011,29.2201,-12.3964,2.3571,-11.145,-4.629,-4.629,-12.396,56.461,82.288,61.118,619.877,0,0.0,0.0,0.0,0,0.0,0,0.0,0.2013,0.214,0.3373,0.2523,0.15
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,7,s8,off7,8,31.3631,-20.194,1.5531,32.706,0.0,685,262.6738,27.7718,-13.068,2.1252,-11.794,-4.796,-4.796,-13.068,52.273,74.035,62.624,545.423,0,0.0,0.0,0.0,0,0.0,0,0.0,0.2104,0.2206,0.3357,0.2335,0.15
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,8,s9,off8,9,31.5019,-21.5819,1.4596,32.705,0.0,684,268.4041,26.5166,-12.1049,2.1906,-11.613,-5.269,-4.13,-12.105,50.699,79.875,66.325,460.165,0,0.0,0.0,0.0,0,0.0,0,0.0,0.2169,0.2167,0.3252,0.2756,0.14
A_incumbent,R,A,cash,1,0,daily,prorata,full,25,,0,9,s10,off9,10,30.3723,-19.4785,1.5593,32.644,0.0,670,225.0477,26.3774,-14.3986,1.832,-14.399,-3.908,-3.908,-12.982,53.214,81.941,67.846,459.288,0,0.0,0.0,0.0,0,0.0,0,0.0,0.1983,0.2183,0.3343,0.2305,0.15
