,A_incumbent,A_incumbent,A_incumbent,A_incumbent,A_incumbent,A_incumbent,E_gate_OA,E_gate_OA,E_gate_OA,E_gate_OA,E_gate_OA,E_gate_OA,CONT_OA_best_T1,CONT_OA_best_T1,CONT_OA_best_T1,CONT_OA_best_T1,CONT_OA_best_T1,CONT_OA_best_T1,CONT_OA_T0,CONT_OA_T0,CONT_OA_T0,CONT_OA_T0,CONT_OA_T0,CONT_OA_T0,E_gate_NB_null,E_gate_NB_null,E_gate_NB_null,E_gate_NB_null,E_gate_NB_null,E_gate_NB_null
,ret,dd,parked_pct,pull,pcost_x,miss,ret,dd,parked_pct,pull,pcost_x,miss,ret,dd,parked_pct,pull,pcost_x,miss,ret,dd,parked_pct,pull,pcost_x,miss,ret,dd,parked_pct,pull,pcost_x,miss
2006,21.492,-4.002,0.0,0.0,0.0,0.0,19.38,-5.437,21.297,4.0,0.029,0.0,21.469,-3.782,61.8,7.0,0.013,7.0,24.125,-4.132,72.126,12.0,0.049,0.0,19.832,-4.941,28.236,5.0,0.038,0.0
2007,90.745,-5.227,0.0,0.0,0.0,0.0,91.071,-5.227,0.0,0.0,0.0,0.0,94.457,-5.262,41.679,33.0,0.095,33.0,102.569,-6.097,46.719,40.0,0.22,0.0,91.015,-5.227,0.0,0.0,0.0,0.0
2008,0.802,-12.55,0.0,0.0,0.0,0.0,0.607,-12.55,2.439,2.0,0.016,0.0,-0.587,-14.927,57.959,10.5,0.004,10.5,-0.862,-15.474,68.162,14.0,0.057,0.0,2.757,-12.55,5.935,4.0,0.115,0.0
2009,49.368,-11.385,0.0,0.0,0.0,0.0,53.35,-11.556,50.254,4.0,0.149,0.0,57.781,-13.952,67.444,2.0,0.058,2.0,60.071,-14.47,82.673,5.0,0.188,0.0,60.626,-9.476,67.172,5.0,0.439,0.0
2010,22.33,-8.945,0.0,0.0,0.0,0.0,21.371,-8.405,4.865,2.0,0.022,0.0,23.508,-11.623,51.506,12.0,0.059,12.0,24.574,-12.405,62.444,19.0,0.169,0.0,22.201,-9.096,14.925,6.0,0.268,0.0
2011,2.16,-6.898,0.0,0.0,0.0,0.0,1.823,-6.911,7.287,1.0,0.013,0.0,0.525,-8.943,59.803,7.0,0.023,7.0,1.041,-9.069,72.31,11.0,0.118,0.0,-1.03,-8.605,12.955,1.0,0.017,0.0
2012,12.784,-4.23,0.0,0.0,0.0,0.0,12.622,-4.589,49.42,3.0,0.103,0.0,13.785,-6.794,62.135,1.0,0.0,1.0,13.625,-6.747,79.486,4.0,0.026,0.0,12.561,-5.356,58.167,3.0,0.245,0.0
2013,8.647,-3.378,0.0,0.0,0.0,0.0,8.63,-3.476,46.8,4.0,0.097,0.0,10.038,-3.869,63.287,0.0,0.0,0.0,10.468,-4.04,81.423,0.0,0.0,0.0,7.324,-3.59,66.8,7.0,0.375,0.0
2014,51.97,-3.977,0.0,0.0,0.0,0.0,59.683,-4.702,64.348,3.0,0.465,0.0,63.802,-4.283,70.076,0.0,0.0,0.0,66.514,-4.362,85.542,0.0,0.0,0.0,60.523,-3.683,67.099,3.0,0.599,0.0
