,TN,OA,IPO (cash),IPO (E_gate_OA),IPO (CONT_OA_best_T1),Blend 40/40/20 (incumbent),Blend 40/40/20 (E_gate_OA),Blend 40/40/20 (CONT_OA_best_T1),NIFTYBEES (bench)
2006,-13.19,-12.29,-11.41,-16.86,-11.33,-4.0,-5.44,-3.78,-29.92
2007,-16.09,-14.05,-12.13,-11.27,-13.0,-5.23,-5.23,-5.26,-14.86
2008,-19.69,-17.77,-12.47,-12.47,-13.07,-12.55,-12.55,-14.93,-59.71
2009,-18.45,-17.65,-6.48,-8.14,-10.66,-11.38,-11.56,-13.95,-59.13
2010,-16.63,-22.9,-8.95,-9.02,-7.78,-8.94,-8.4,-11.62,-24.98
2011,-18.68,-14.23,-6.91,-7.01,-9.96,-6.9,-6.91,-8.94,-27.27
2012,-15.24,-12.59,-3.93,-10.61,-7.35,-4.23,-4.59,-6.79,-26.03
2013,-13.11,-7.65,-2.29,-9.02,-4.5,-3.38,-3.48,-3.87,-15.99
2014,-11.36,-10.21,0.0,-6.97,-7.6,-3.98,-4.7,-4.28,-6.22
2015,-13.65,-13.57,-6.68,-12.62,-10.16,-6.59,-8.17,-8.27,-15.02
2016,-11.91,-15.94,-9.27,-11.09,-11.98,-6.35,-6.47,-7.82,-21.56
2017,-9.02,-18.57,-7.79,-8.91,-11.97,-0.31,-0.6,-1.14,-8.49
2018,-22.79,-20.64,-18.28,-18.28,-22.07,-11.38,-11.37,-12.74,-14.08
2019,-23.06,-26.13,-8.04,-9.81,-23.98,-11.97,-12.58,-15.57,-10.49
2020,-23.74,-15.12,-8.79,-8.79,-13.36,-2.18,-2.16,-5.05,-36.34
2021,-12.48,-10.01,-12.42,-12.42,-12.94,-4.22,-4.22,-3.81,-9.54
2022,-14.72,-19.69,-19.33,-19.33,-29.87,-10.52,-10.52,-12.89,-16.11
2023,-11.16,-19.24,-17.94,-17.94,-24.02,-9.09,-9.09,-10.63,-9.66
2024,-18.38,-12.28,-13.75,-13.75,-11.95,-6.91,-6.91,-6.81,-10.51
2025,-19.14,-25.71,-20.52,-20.52,-22.28,-12.83,-12.83,-13.21,-15.23
2026,-14.83,-20.93,-10.83,-10.83,-11.09,-3.35,-3.35,-3.35,-14.82
