assets,signal,horizon,window,n_obs,ic_mean,ic_t,ic_hit,top_ann,mid_ann,bot_ann,spread_ann,monotone
SECT9,ABSMOM21,1m,full,138,0.012,0.34,51.4,12.68,14.01,12.28,0.39,False
SECT9,ABSMOM21,1m,half1,69,-0.0213,-0.43,47.8,3.86,9.87,5.71,-1.85,False
SECT9,ABSMOM21,1m,half2,69,0.0452,0.91,55.1,21.5,18.16,18.86,2.64,False
SECT9,ABSMOM21,3m,full,136,0.0109,0.33,52.9,13.56,13.08,13.94,-0.39,False
SECT9,ABSMOM21,3m,half1,69,0.0457,0.9,56.5,7.29,11.41,6.36,0.93,False
SECT9,ABSMOM21,3m,half2,67,-0.0249,-0.58,49.3,20.01,14.8,21.75,-1.74,False
SECT9,ABSMOM42,1m,full,137,-0.0036,-0.11,50.4,14.27,14.26,12.07,2.2,True
SECT9,ABSMOM42,1m,half1,68,0.027,0.54,55.9,6.93,13.55,1.95,4.98,False
SECT9,ABSMOM42,1m,half2,69,-0.0338,-0.75,44.9,21.51,14.97,22.04,-0.53,False
SECT9,ABSMOM42,3m,full,135,0.0235,0.72,53.3,14.51,15.39,11.5,3.01,False
SECT9,ABSMOM42,3m,half1,68,0.0407,0.79,58.8,7.84,14.94,3.67,4.18,False
SECT9,ABSMOM42,3m,half2,67,0.006,0.15,47.8,21.28,15.84,19.44,1.83,False
SECT9,ABSMOM63,1m,full,136,0.049,1.46,55.1,18.77,12.27,10.54,8.22,True
SECT9,ABSMOM63,1m,half1,67,0.0617,1.3,56.7,11.41,8.43,4.29,7.13,True
SECT9,ABSMOM63,1m,half2,69,0.0367,0.76,53.6,25.91,15.99,16.62,9.29,False
SECT9,ABSMOM63,3m,full,134,0.0553,1.65,59.7,15.64,14.88,11.49,4.15,True
SECT9,ABSMOM63,3m,half1,67,0.0502,0.97,58.2,7.75,12.26,7.45,0.29,False
SECT9,ABSMOM63,3m,half2,67,0.0604,1.39,61.2,23.53,17.51,15.52,8.01,True
