assets,signal,horizon,window,n_obs,ic_mean,ic_t,ic_hit,top_ann,mid_ann,bot_ann,spread_ann,monotone
IND20_raw,ABSMOM63,1m,full,232,0.0841,4.18,60.3,29.87,22.15,17.91,11.96,True
IND20_raw,ABSMOM63,3m,full,230,0.1309,6.38,67.4,30.39,23.81,19.54,10.84,True
IND20_raw,ABSMOM126,1m,full,229,0.1094,5.22,64.2,29.77,22.62,16.14,13.63,True
IND20_raw,ABSMOM126,3m,full,227,0.1623,7.57,70.5,30.91,23.2,18.61,12.3,True
IND20_raw,ABSMOM252,1m,full,223,0.0854,3.59,61.4,27.48,20.93,19.4,8.08,True
IND20_raw,ABSMOM252,3m,full,221,0.1085,4.6,64.7,27.12,24.82,20.7,6.42,True
IND20_raw,MOMSKIP126,1m,full,229,0.0892,4.24,59.8,28.44,22.19,17.99,10.45,True
IND20_raw,MOMSKIP126,3m,full,227,0.1327,6.35,68.7,29.9,23.25,19.62,10.28,True
IND20_raw,RISKADJ63,1m,full,232,0.096,4.99,63.4,31.22,21.01,17.74,13.48,True
IND20_raw,RISKADJ63,3m,full,230,0.1426,7.67,69.6,30.91,23.64,19.06,11.84,True
IND20_raw,RISKADJ126,1m,full,229,0.1105,5.59,65.5,30.63,21.11,16.64,13.99,True
IND20_raw,RISKADJ126,3m,full,227,0.1674,8.48,70.5,30.99,23.19,18.33,12.66,True
IND20_raw,MADIST200,1m,full,231,0.0984,4.55,64.9,30.41,20.67,18.37,12.04,True
IND20_raw,MADIST200,3m,full,229,0.1547,7.02,72.1,30.71,22.4,20.21,10.51,True
IND20_raw,ACCEL,1m,full,223,0.0043,0.22,53.4,24.06,21.06,22.34,1.72,False
IND20_raw,ACCEL,3m,full,221,0.0358,1.72,57.5,25.34,23.61,23.26,2.08,True
IND20_driftstripped,ABSMOM63,1m,full,232,0.0704,3.51,61.6,8.34,0.29,-2.7,11.04,True
IND20_driftstripped,ABSMOM63,3m,full,230,0.1115,5.37,64.8,7.78,2.25,-1.92,9.7,True
IND20_driftstripped,ABSMOM126,1m,full,229,0.0887,4.31,59.4,7.24,1.56,-4.14,11.37,True
IND20_driftstripped,ABSMOM126,3m,full,227,0.1369,6.5,69.2,7.67,2.12,-2.49,10.16,True
IND20_driftstripped,ABSMOM252,1m,full,223,0.065,2.78,58.3,4.0,2.37,-2.42,6.43,True
IND20_driftstripped,ABSMOM252,3m,full,221,0.0808,3.44,60.6,3.9,3.92,-0.44,4.34,False
IND20_driftstripped,MOMSKIP126,1m,full,229,0.072,3.46,60.3,5.71,1.86,-2.84,8.55,True
IND20_driftstripped,MOMSKIP126,3m,full,227,0.106,5.17,65.2,6.75,1.96,-1.37,8.12,True
IND20_driftstripped,RISKADJ63,1m,full,232,0.0825,4.48,63.4,9.63,-0.81,-2.78,12.41,True
IND20_driftstripped,RISKADJ63,3m,full,230,0.1194,6.33,65.2,8.3,2.05,-2.26,10.56,True
IND20_driftstripped,RISKADJ126,1m,full,229,0.0852,4.6,62.4,7.51,2.2,-5.34,12.85,True
IND20_driftstripped,RISKADJ126,3m,full,227,0.1325,7.09,65.2,7.24,3.29,-3.51,10.75,True
IND20_driftstripped,MADIST200,1m,full,231,0.0853,4.03,63.6,7.81,0.27,-2.62,10.43,True
IND20_driftstripped,MADIST200,3m,full,229,0.1312,6.0,67.7,7.71,1.48,-1.36,9.07,True
IND20_driftstripped,ACCEL,1m,full,223,0.019,0.93,54.7,4.5,-1.97,1.05,3.45,False
IND20_driftstripped,ACCEL,3m,full,221,0.0575,2.72,62.0,4.42,1.59,0.81,3.61,True
