src,K,slots,stocksig,clock,cagr_med,cagr_min,dd_med,calmar_med
synth20,5,10,riskadj126,Q,32.512,32.127,-39.361999999999995,0.839
synth20,4,10,riskadj126,Q,32.98950000000001,32.149,-40.227000000000004,0.8235
synth20,3,10,riskadj126,Q,31.057499999999997,28.065,-37.0215,0.8005
synth20,5,10,mom126,Q,29.721,27.776,-39.479,0.7555000000000001
synth20,4,10,mom126,Q,31.063499999999998,30.6,-42.042500000000004,0.748
synth20,5,15,riskadj126,Q,27.3375,25.839,-36.412000000000006,0.744
synth20,5,10,momskip126,Q,28.529,28.181,-38.5895,0.7435
synth20,3,10,mom126,Q,31.707,30.254,-42.033,0.737
synth20,5,15,mom126,Q,27.235500000000002,25.86,-39.376,0.6950000000000001
synth20,5,15,momskip126,Q,28.009,25.172,-39.738,0.69
real8,5,20,momskip126,Q,21.985,20.137,-34.625,0.636
synth20,5,20,momskip126,Q,25.066499999999998,24.793,-41.402,0.6245
synth20,4,15,riskadj126,Q,25.558,24.627,-40.744,0.624
synth20,3,10,momskip126,Q,29.5655,28.238,-47.548,0.6214999999999999
synth20,4,20,mom126,M,24.384999999999998,22.018,-38.3575,0.6185
synth20,3,20,disthigh252,M,19.474,18.781,-32.218500000000006,0.612
synth20,4,15,mom126,Q,25.8495,25.786,-42.1845,0.612
synth20,4,15,momskip126,Q,26.691499999999998,25.335,-43.9835,0.6074999999999999
synth20,3,15,mom126,M,23.145000000000003,21.346,-37.329499999999996,0.6065
synth20,3,20,riskadj126,M,19.6815,18.983,-33.038,0.6025
real8,5,20,riskadj126,Q,20.377,19.207,-33.577,0.6025
synth20,3,20,mom126,M,22.228,20.52,-37.378,0.602
synth20,3,15,momskip126,Q,27.204500000000003,26.067,-45.405,0.596
real8,5,15,riskadj126,Q,20.622500000000002,19.341,-34.8645,0.5935
synth20,3,15,mom126,Q,25.506,24.185,-43.394,0.589
synth20,4,10,momskip126,Q,27.6605,26.876,-46.677,0.5885
synth20,4,20,momskip126,Q,24.197499999999998,23.61,-41.658,0.5825
real8,5,15,momskip126,Q,21.0125,19.829,-36.088499999999996,0.5825
real8,5,10,riskadj126,Q,21.741500000000002,20.078,-37.2615,0.5814999999999999
synth20,3,20,momskip126,M,20.7335,18.768,-35.406499999999994,0.5814999999999999
synth20,5,20,mom126,M,24.2805,23.115,-40.5845,0.5805
synth20,5,20,riskadj126,M,20.998,20.772,-36.286,0.5785
synth20,5,20,riskadj126,Q,23.4405,23.123,-40.575500000000005,0.575
synth20,4,20,disthigh252,M,19.835,19.235,-36.917,0.5740000000000001
synth20,3,15,riskadj126,Q,24.651000000000003,23.879,-42.611000000000004,0.574
synth20,2,10,mom126,Q,26.6035,22.355,-46.536500000000004,0.5695
synth20,3,20,momskip126,Q,24.45,23.644,-42.3555,0.563
synth20,5,15,mom126,M,22.831,21.779,-40.5625,0.5609999999999999
synth20,5,15,momskip126,M,23.079,22.574,-41.979,0.558
synth20,5,15,riskadj126,M,21.116500000000002,19.673,-37.107,0.5555
synth20,4,15,mom126,M,22.3985,20.861,-40.488,0.5535000000000001
synth20,3,20,disthigh252,Q,22.4055,21.925,-40.248999999999995,0.552
real8,5,10,momskip126,Q,22.8015,21.941,-40.2745,0.5509999999999999
synth20,4,20,momskip126,M,23.28,20.632,-40.439,0.5505
synth20,5,10,momskip126,M,24.354,23.547,-43.8005,0.55
synth20,3,15,momskip126,M,20.796,19.489,-38.2075,0.5475000000000001
real8,5,20,mom126,Q,21.0,19.954,-38.5955,0.5469999999999999
synth20,2,20,mom126,Q,25.243000000000002,22.718,-47.2605,0.546
synth20,4,10,momskip126,M,24.073500000000003,22.306,-44.1405,0.5449999999999999
synth20,3,20,mom126,Q,25.195,24.242,-46.1785,0.5415000000000001
real8,4,10,riskadj126,Q,22.2705,17.805,-40.9675,0.5415
synth20,3,15,riskadj126,M,19.8735,17.473,-36.706,0.541
synth20,4,15,riskadj126,M,20.110999999999997,18.42,-37.162499999999994,0.5409999999999999
synth20,2,20,momskip126,Q,24.7025,21.656,-46.7335,0.536
synth20,4,15,momskip126,M,21.9795,20.298,-41.2145,0.5355000000000001
synth20,5,20,mom126,Q,24.624000000000002,24.5,-46.1695,0.5335000000000001
real8,5,10,mom126,Q,21.926499999999997,21.375,-41.218500000000006,0.5325
synth20,4,20,riskadj126,M,20.748,18.172,-37.876,0.532
synth20,4,20,riskadj126,Q,22.6685,20.13,-42.0165,0.531
synth20,3,10,mom126,M,21.896,21.462,-40.908,0.5295000000000001
synth20,5,20,disthigh252,M,18.1595,16.96,-33.0565,0.527
synth20,4,10,riskadj126,M,20.5225,18.665,-40.5955,0.5265
synth20,4,15,disthigh252,M,18.489,15.554,-35.370999999999995,0.526
real8,5,15,mom126,Q,21.1405,20.731,-40.3545,0.521
synth20,4,10,mom126,M,23.385,18.658,-44.2855,0.5205
real8,4,10,momskip126,Q,22.771,18.427,-43.82299999999999,0.5195000000000001
synth20,5,20,momskip126,M,22.4575,21.145,-42.175,0.519
synth20,2,10,riskadj126,Q,24.090000000000003,21.258,-46.7545,0.518
synth20,3,20,riskadj126,Q,22.7825,22.418,-43.888999999999996,0.5175000000000001
synth20,5,10,riskadj126,M,22.270000000000003,19.681,-42.185500000000005,0.5165
synth20,5,15,disthigh252,M,18.803,17.92,-37.260000000000005,0.509
synth20,4,20,mom126,Q,23.722,22.938,-45.331500000000005,0.509
synth20,2,20,disthigh252,Q,23.274,20.486,-46.245999999999995,0.508
synth20,3,10,momskip126,M,20.6785,19.531,-40.593,0.504
synth20,2,20,riskadj126,Q,23.2045,21.042,-46.8005,0.49950000000000006
synth20,2,15,momskip126,Q,23.582500000000003,20.731,-47.9935,0.497
synth20,2,15,mom126,Q,23.917,22.37,-48.6265,0.49650000000000005
synth20,2,15,riskadj126,Q,22.834000000000003,19.742,-48.25,0.49150000000000005
synth20,2,10,momskip126,Q,24.1685,22.422,-49.9795,0.487
synth20,3,10,riskadj126,M,19.735,17.546,-40.6335,0.486
real8,4,15,riskadj126,Q,19.957,16.889,-40.4405,0.48450000000000004
synth20,2,15,mom126,M,20.630499999999998,17.808,-43.332499999999996,0.482
synth20,5,10,mom126,M,21.0295,19.563,-44.814,0.481
synth20,2,10,momskip126,M,20.6785,19.492,-44.204,0.47650000000000003
synth20,2,20,mom126,M,20.8895,18.104,-43.4195,0.476
synth20,3,15,disthigh252,M,16.372500000000002,15.073,-34.6875,0.474
real8,4,15,momskip126,Q,20.217,18.505,-42.8865,0.466
real8,4,20,momskip126,Q,19.4105,18.392,-43.54,0.447
synth20,2,20,riskadj126,M,19.541,17.212,-43.486,0.4455
synth20,2,15,disthigh252,Q,21.38,18.499,-48.328500000000005,0.4435
real8,4,15,mom126,Q,19.6295,18.211,-43.834,0.4435
real8,4,10,mom126,Q,20.7575,18.834,-46.043499999999995,0.4395
synth20,2,20,momskip126,M,19.364,17.735,-43.929500000000004,0.4395
synth20,4,20,disthigh252,Q,18.058,16.115,-42.009,0.4375
synth20,2,10,disthigh252,Q,19.958,16.112,-47.424,0.4375
synth20,5,20,disthigh252,Q,17.927,17.612,-41.753,0.4355
synth20,2,10,mom126,M,19.23,16.382,-43.4565,0.4345
real8,4,20,riskadj126,Q,17.825499999999998,15.891,-40.923,0.434
synth20,3,15,disthigh252,Q,19.3875,17.066,-43.215,0.433
synth20,4,10,disthigh252,M,16.7105,16.142,-40.6635,0.4305
synth20,5,10,disthigh252,M,16.8955,15.378,-42.19,0.423
synth20,3,10,disthigh252,M,16.076,14.733,-39.377,0.4225
synth20,2,15,momskip126,M,18.197499999999998,15.949,-43.426,0.42100000000000004
real8,2,20,riskadj126,Q,19.0875,17.781,-45.7575,0.41400000000000003
synth20,5,10,disthigh252,Q,19.932000000000002,15.76,-49.4565,0.4135
synth20,2,15,riskadj126,M,18.0505,15.419,-43.4895,0.4125
real8,3,10,momskip126,Q,19.012999999999998,16.633,-46.2945,0.4115
real8,4,20,mom126,Q,17.798000000000002,17.242,-43.3695,0.40800000000000003
real8,3,10,mom126,Q,18.7675,16.523,-45.127,0.4075
real8,5,20,disthigh252,Q,16.375999999999998,13.368,-40.2845,0.40700000000000003
real8,2,15,mom126,Q,19.081,16.886,-45.704,0.404
synth20,2,10,riskadj126,M,16.799,13.287,-42.531,0.40349999999999997
synth20,5,15,disthigh252,Q,17.7035,17.115,-46.1935,0.3975
real8,2,20,mom126,Q,19.7305,17.746,-48.249,0.3965
synth20,4,15,disthigh252,Q,17.932000000000002,15.771,-45.230999999999995,0.3955
real8,3,10,riskadj126,Q,17.8295,16.116,-44.965,0.395
synth20,2,20,disthigh252,M,17.0195,14.817,-43.5205,0.391
real8,2,10,momskip126,Q,18.7645,16.122,-48.783,0.391
real8,2,20,riskadj126,M,19.351,17.211,-50.557,0.39049999999999996
real8,2,20,mom126,M,20.0385,18.136,-53.635999999999996,0.38749999999999996
real8,2,20,disthigh252,Q,19.5465,19.099,-50.7735,0.385
real8,2,15,riskadj126,Q,18.132,16.651,-46.816500000000005,0.381
synth20,4,10,disthigh252,Q,17.951999999999998,17.232,-49.598,0.3705
synth20,3,10,disthigh252,Q,17.311500000000002,16.287,-50.0375,0.368
real8,3,15,riskadj126,Q,16.1705,14.08,-44.315,0.363
real8,5,15,disthigh252,Q,15.3505,13.838,-45.1015,0.36250000000000004
real8,2,10,riskadj126,Q,17.5695,15.665,-48.6415,0.361
real8,2,20,momskip126,Q,17.936500000000002,16.378,-48.4935,0.36
real8,2,15,momskip126,Q,17.177500000000002,15.008,-47.798,0.35950000000000004
real8,3,15,mom126,Q,16.6455,15.909,-45.7945,0.358
