tag,cost_bps,tax,cagr_med,dd_med,calmar_med
BEST_CALMAR,25,True,13.33,-23.96,0.56
BEST_CALMAR,25,False,16.54,-19.0,0.88
BEST_CALMAR,40,True,11.91,-25.21,0.47
BEST_CALMAR,40,False,15.13,-20.72,0.74
BEST_CALMAR,60,True,10.05,-27.5,0.37
BEST_CALMAR,60,False,13.27,-23.42,0.57
BEST_CAGR,25,True,16.31,-37.04,0.44
BEST_CAGR,25,False,19.02,-37.01,0.51
BEST_CAGR,40,True,15.42,-37.81,0.4
BEST_CAGR,40,False,18.13,-37.27,0.48
BEST_CAGR,60,True,14.23,-39.03,0.36
BEST_CAGR,60,False,16.96,-37.62,0.45
R147_SECROT,25,True,9.2,-56.11,0.16
R147_SECROT,25,False,11.23,-55.61,0.2
R147_SECROT,40,True,7.93,-57.31,0.14
R147_SECROT,40,False,9.95,-56.7,0.18
R147_SECROT,60,True,6.25,-58.86,0.11
R147_SECROT,60,False,8.27,-58.12,0.14
