tag,signal,n,weight,clock,gate,offset,turnover_yr,cagr,maxdd,calmar,sharpe,vol
BEST_CALMAR,ABSMOM63,3.0,invvol,M,mkt,0,8.32,12.712,-24.157,0.526,0.541,15.517
BEST_CALMAR,ABSMOM63,3.0,invvol,M,mkt,1,8.24,14.075,-23.77,0.592,0.614,15.701
BEST_CALMAR,ABSMOM63,3.0,invvol,M,mkt,2,8.03,13.942,-21.593,0.646,0.609,15.622
BEST_CALMAR,ABSMOM63,3.0,invvol,M,mkt,3,8.38,9.64,-29.787,0.324,0.357,15.754
BEST_CAGR,MADIST200,5.0,eq,F,none,0,5.22,15.832,-36.853,0.43,0.642,18.11
BEST_CAGR,MADIST200,5.0,eq,F,none,1,5.08,16.22,-36.796,0.441,0.659,18.186
BEST_CAGR,MADIST200,5.0,eq,F,none,2,5.01,17.212,-37.217,0.462,0.707,18.179
BEST_CAGR,MADIST200,5.0,eq,F,none,3,5.14,16.402,-38.368,0.427,0.67,18.102
R147_SECROT,ABSMOM126,2.0,eq,M,none,0,7.74,9.909,-52.266,0.19,0.32,22.284
R147_SECROT,ABSMOM126,2.0,eq,M,none,1,7.83,8.98,-56.244,0.16,0.281,22.205
R147_SECROT,ABSMOM126,2.0,eq,M,none,2,7.75,8.321,-59.655,0.139,0.254,22.161
R147_SECROT,ABSMOM126,2.0,eq,M,none,3,7.75,9.429,-55.978,0.168,0.301,21.937
EW_ALL,,,,M,,0,0.55,14.073,-43.227,0.326,0.573,17.309
EW_ALL,,,,M,,1,0.55,14.122,-43.263,0.326,0.576,17.288
EW_ALL,,,,M,,2,0.55,14.297,-43.418,0.329,0.585,17.289
EW_ALL,,,,M,,3,0.55,14.458,-43.52,0.332,0.593,17.291
BRANCHB,synth20/K5/riskadj126,5.0,eq,Q,none,0,6.38,32.533,-41.98,0.775,0.904,31.67
NOSECT,fulluniv/riskadj126,,eq,Q,none,0,6.37,26.769,-40.107,0.667,0.769,31.309
BRANCHB,synth20/K5/riskadj126,5.0,eq,Q,none,1,6.43,33.927,-40.278,0.842,1.009,28.614
NOSECT,fulluniv/riskadj126,,eq,Q,none,1,6.52,34.447,-40.48,0.851,0.955,31.559
BRANCHB,synth20/K5/riskadj126,5.0,eq,Q,none,2,6.51,32.491,-38.222,0.85,0.975,28.416
NOSECT,fulluniv/riskadj126,,eq,Q,none,2,6.43,32.136,-42.648,0.754,0.9,31.508
BRANCHB,synth20/K5/riskadj126,5.0,eq,Q,none,3,6.49,32.127,-38.446,0.836,0.896,31.59
NOSECT,fulluniv/riskadj126,,eq,Q,none,3,6.46,33.652,-38.436,0.876,1.024,27.759
