series,year,ret,dd
BEST_CALMAR_off0,2016,19.51,-10.33
BEST_CALMAR_off0,2017,26.94,-6.69
BEST_CALMAR_off0,2018,-11.97,-21.79
BEST_CALMAR_off0,2019,1.64,-20.15
BEST_CALMAR_off0,2020,25.1,-21.78
BEST_CALMAR_off0,2021,29.06,-14.6
BEST_CALMAR_off0,2022,5.01,-24.16
BEST_CALMAR_off0,2023,22.22,-19.79
BEST_CALMAR_off0,2024,26.29,-9.3
BEST_CALMAR_off0,2025,-5.17,-19.01
BEST_CALMAR_off0,2026,5.29,-10.58
BEST_CALMAR_off1,2016,23.03,-7.02
BEST_CALMAR_off1,2017,21.88,-6.37
BEST_CALMAR_off1,2018,-3.51,-16.72
BEST_CALMAR_off1,2019,0.67,-13.08
BEST_CALMAR_off1,2020,23.43,-16.32
BEST_CALMAR_off1,2021,40.75,-14.3
BEST_CALMAR_off1,2022,-1.05,-23.53
BEST_CALMAR_off1,2023,28.52,-23.77
BEST_CALMAR_off1,2024,24.45,-9.31
BEST_CALMAR_off1,2025,-2.39,-20.28
BEST_CALMAR_off1,2026,2.91,-8.94
BEST_CALMAR_off2,2016,13.9,-10.0
BEST_CALMAR_off2,2017,36.24,-6.34
BEST_CALMAR_off2,2018,-9.2,-20.08
BEST_CALMAR_off2,2019,-0.69,-19.34
BEST_CALMAR_off2,2020,28.3,-21.42
BEST_CALMAR_off2,2021,36.42,-14.93
BEST_CALMAR_off2,2022,6.26,-21.59
BEST_CALMAR_off2,2023,24.37,-17.14
BEST_CALMAR_off2,2024,20.52,-9.3
BEST_CALMAR_off2,2025,-1.77,-19.32
BEST_CALMAR_off2,2026,3.66,-8.24
BEST_CALMAR_off3,2016,13.55,-10.11
BEST_CALMAR_off3,2017,35.37,-6.33
BEST_CALMAR_off3,2018,-21.51,-25.44
BEST_CALMAR_off3,2019,3.3,-26.91
BEST_CALMAR_off3,2020,21.04,-29.79
BEST_CALMAR_off3,2021,33.84,-14.82
BEST_CALMAR_off3,2022,-5.0,-27.09
BEST_CALMAR_off3,2023,21.53,-24.91
BEST_CALMAR_off3,2024,14.43,-12.38
BEST_CALMAR_off3,2025,0.57,-22.33
BEST_CALMAR_off3,2026,-1.43,-15.36
BEST_CAGR_off0,2016,16.5,-14.22
BEST_CAGR_off0,2017,36.67,-11.22
BEST_CAGR_off0,2018,-5.29,-15.14
BEST_CAGR_off0,2019,6.55,-14.83
BEST_CAGR_off0,2020,25.66,-36.85
BEST_CAGR_off0,2021,25.49,-14.04
BEST_CAGR_off0,2022,13.76,-22.31
BEST_CAGR_off0,2023,35.49,-12.67
BEST_CAGR_off0,2024,15.93,-12.94
BEST_CAGR_off0,2025,0.76,-25.83
BEST_CAGR_off0,2026,4.16,-19.69
BEST_CAGR_off1,2016,15.56,-13.48
BEST_CAGR_off1,2017,38.22,-10.45
BEST_CAGR_off1,2018,-3.37,-14.1
BEST_CAGR_off1,2019,6.25,-13.8
BEST_CAGR_off1,2020,27.11,-36.8
BEST_CAGR_off1,2021,27.74,-14.76
BEST_CAGR_off1,2022,12.83,-21.92
BEST_CAGR_off1,2023,36.05,-12.64
BEST_CAGR_off1,2024,16.04,-12.67
BEST_CAGR_off1,2025,-1.44,-27.23
BEST_CAGR_off1,2026,5.27,-20.36
BEST_CAGR_off2,2016,17.1,-10.72
BEST_CAGR_off2,2017,38.9,-7.58
BEST_CAGR_off2,2018,-5.3,-15.36
BEST_CAGR_off2,2019,6.57,-14.0
BEST_CAGR_off2,2020,29.55,-37.22
BEST_CAGR_off2,2021,33.41,-14.61
BEST_CAGR_off2,2022,10.98,-21.85
BEST_CAGR_off2,2023,36.45,-12.83
BEST_CAGR_off2,2024,20.53,-11.5
BEST_CAGR_off2,2025,-1.21,-26.28
BEST_CAGR_off2,2026,5.21,-18.55
BEST_CAGR_off3,2016,19.07,-10.62
BEST_CAGR_off3,2017,36.83,-7.54
BEST_CAGR_off3,2018,-5.74,-15.88
BEST_CAGR_off3,2019,5.94,-14.5
BEST_CAGR_off3,2020,22.77,-38.37
BEST_CAGR_off3,2021,32.18,-14.23
BEST_CAGR_off3,2022,10.0,-21.94
BEST_CAGR_off3,2023,37.45,-12.89
BEST_CAGR_off3,2024,19.9,-11.91
BEST_CAGR_off3,2025,-2.25,-26.35
BEST_CAGR_off3,2026,6.75,-19.35
R147_SECROT_off0,2016,27.7,-13.03
R147_SECROT_off0,2017,33.0,-10.13
R147_SECROT_off0,2018,-5.78,-18.11
R147_SECROT_off0,2019,2.72,-21.02
R147_SECROT_off0,2020,-11.53,-52.27
R147_SECROT_off0,2021,31.79,-23.91
R147_SECROT_off0,2022,-1.83,-34.79
R147_SECROT_off0,2023,15.05,-32.21
R147_SECROT_off0,2024,15.12,-14.54
R147_SECROT_off0,2025,12.59,-19.57
R147_SECROT_off0,2026,-3.17,-15.4
R147_SECROT_off1,2016,20.9,-13.07
R147_SECROT_off1,2017,30.88,-10.37
R147_SECROT_off1,2018,-6.07,-17.8
R147_SECROT_off1,2019,-5.81,-26.06
R147_SECROT_off1,2020,-11.92,-56.24
R147_SECROT_off1,2021,28.56,-29.77
R147_SECROT_off1,2022,4.0,-30.62
R147_SECROT_off1,2023,15.8,-26.11
R147_SECROT_off1,2024,21.02,-14.11
R147_SECROT_off1,2025,10.75,-19.15
R147_SECROT_off1,2026,-3.01,-15.46
R147_SECROT_off2,2016,24.81,-13.1
R147_SECROT_off2,2017,23.21,-10.38
R147_SECROT_off2,2018,-15.81,-22.54
R147_SECROT_off2,2019,-4.8,-31.92
R147_SECROT_off2,2020,-5.78,-59.65
R147_SECROT_off2,2021,19.5,-30.51
R147_SECROT_off2,2022,2.56,-34.43
R147_SECROT_off2,2023,18.47,-29.77
R147_SECROT_off2,2024,29.09,-12.35
R147_SECROT_off2,2025,8.71,-16.39
R147_SECROT_off2,2026,-1.63,-15.44
R147_SECROT_off3,2016,27.53,-13.1
R147_SECROT_off3,2017,21.13,-11.28
R147_SECROT_off3,2018,-8.84,-20.23
R147_SECROT_off3,2019,-5.05,-26.59
R147_SECROT_off3,2020,-6.39,-55.98
R147_SECROT_off3,2021,18.44,-31.31
R147_SECROT_off3,2022,2.57,-30.29
R147_SECROT_off3,2023,21.55,-25.03
R147_SECROT_off3,2024,33.66,-11.04
R147_SECROT_off3,2025,1.55,-16.88
R147_SECROT_off3,2026,3.28,-15.5
EW_ALL_off0,2016,14.89,-11.6
EW_ALL_off0,2017,34.41,-7.71
EW_ALL_off0,2018,-7.06,-17.05
EW_ALL_off0,2019,1.83,-20.26
EW_ALL_off0,2020,15.05,-43.23
EW_ALL_off0,2021,35.75,-11.62
EW_ALL_off0,2022,8.36,-19.33
EW_ALL_off0,2023,32.49,-12.35
EW_ALL_off0,2024,16.19,-11.16
EW_ALL_off0,2025,4.93,-21.79
EW_ALL_off0,2026,0.79,-16.04
EW_ALL_off1,2016,15.52,-11.6
EW_ALL_off1,2017,34.57,-7.71
EW_ALL_off1,2018,-7.17,-17.15
EW_ALL_off1,2019,1.92,-20.36
