window_of,candidate,weight,start,cagr_med,cagr_min,dd_med,dd_worst,calmar_med,calmar_min
BEST_CAGR,BASELINE,0.0,2016-01-20,35.45,33.06,-18.45,-20.12,1.99,1.66
BEST_CAGR,BEST_CAGR,0.05,2016-01-20,34.58,32.23,-18.01,-19.7,1.99,1.66
BEST_CAGR,CASHNULL,0.05,2016-01-20,33.84,31.58,-17.39,-19.11,2.01,1.67
BEST_CAGR,BEST_CAGR,0.1,2016-01-20,33.67,31.41,-17.6,-19.27,1.99,1.65
BEST_CAGR,CASHNULL,0.1,2016-01-20,32.23,30.11,-16.33,-18.09,2.04,1.68
BEST_CAGR,BEST_CAGR,0.15,2016-01-20,32.76,30.57,-17.2,-18.84,1.96,1.65
BEST_CAGR,CASHNULL,0.15,2016-01-20,30.63,28.64,-15.13,-17.06,2.08,1.7
BEST_CAGR,BEST_CAGR,0.2,2016-01-20,31.84,29.74,-16.8,-18.41,1.93,1.64
BEST_CAGR,CASHNULL,0.2,2016-01-20,29.04,27.18,-13.95,-16.02,2.11,1.72
BEST_CAGR,BEST_CAGR,0.25,2016-01-20,30.93,28.9,-16.56,-17.98,1.88,1.63
BEST_CAGR,CASHNULL,0.25,2016-01-20,27.45,25.73,-12.98,-14.96,2.14,1.74
BEST_CAGR,BEST_CAGR,0.3,2016-01-20,30.0,28.05,-16.79,-17.56,1.8,1.63
BEST_CAGR,CASHNULL,0.3,2016-01-20,25.88,24.29,-12.04,-13.89,2.18,1.77
BEST_CALMAR,BASELINE,0.0,2016-01-29,35.54,33.13,-18.45,-20.12,1.99,1.67
BEST_CALMAR,BEST_CALMAR,0.05,2016-01-29,34.36,32.11,-18.3,-20.03,1.94,1.62
BEST_CALMAR,CASHNULL,0.05,2016-01-29,33.92,31.65,-17.39,-19.11,2.02,1.68
BEST_CALMAR,BEST_CALMAR,0.1,2016-01-29,33.15,31.08,-18.28,-19.94,1.87,1.56
BEST_CALMAR,CASHNULL,0.1,2016-01-29,32.3,30.17,-16.33,-18.09,2.05,1.69
BEST_CALMAR,BEST_CALMAR,0.15,2016-01-29,31.94,29.91,-18.15,-19.87,1.79,1.51
BEST_CALMAR,CASHNULL,0.15,2016-01-29,30.7,28.7,-15.13,-17.06,2.09,1.7
BEST_CALMAR,BEST_CALMAR,0.2,2016-01-29,30.77,28.69,-18.0,-20.15,1.73,1.42
BEST_CALMAR,CASHNULL,0.2,2016-01-29,29.1,27.24,-13.95,-16.02,2.12,1.72
BEST_CALMAR,BEST_CALMAR,0.25,2016-01-29,29.67,27.48,-17.78,-20.43,1.67,1.34
BEST_CALMAR,CASHNULL,0.25,2016-01-29,27.51,25.79,-12.98,-14.96,2.15,1.74
BEST_CALMAR,BEST_CALMAR,0.3,2016-01-29,28.57,26.27,-17.97,-20.72,1.62,1.27
BEST_CALMAR,CASHNULL,0.3,2016-01-29,25.94,24.34,-12.04,-13.89,2.19,1.77
BRANCHB,BASELINE,0.0,2016-03-31,36.15,33.72,-18.45,-20.12,2.03,1.69
BRANCHB,BRANCHB,0.05,2016-03-31,36.07,33.8,-18.22,-19.81,2.04,1.72
BRANCHB,CASHNULL,0.05,2016-03-31,34.49,32.2,-17.39,-19.11,2.05,1.7
BRANCHB,BRANCHB,0.1,2016-03-31,35.99,33.87,-18.01,-19.5,2.04,1.75
BRANCHB,CASHNULL,0.1,2016-03-31,32.84,30.69,-16.33,-18.09,2.08,1.72
BRANCHB,BRANCHB,0.15,2016-03-31,35.9,33.92,-17.84,-19.58,2.01,1.74
BRANCHB,CASHNULL,0.15,2016-03-31,31.2,29.19,-15.13,-17.06,2.12,1.73
BRANCHB,BRANCHB,0.2,2016-03-31,35.79,33.96,-18.21,-19.82,1.97,1.73
BRANCHB,CASHNULL,0.2,2016-03-31,29.57,27.69,-13.95,-16.02,2.15,1.75
BRANCHB,BRANCHB,0.25,2016-03-31,35.67,33.98,-19.43,-21.25,1.83,1.66
BRANCHB,CASHNULL,0.25,2016-03-31,27.95,26.21,-12.98,-14.96,2.18,1.77
BRANCHB,BRANCHB,0.3,2016-03-31,35.54,33.99,-20.82,-22.65,1.7,1.56
BRANCHB,CASHNULL,0.3,2016-03-31,26.34,24.73,-12.04,-13.89,2.22,1.8
EW_ALL,BASELINE,0.0,2016-01-29,35.54,33.13,-18.45,-20.12,1.99,1.67
EW_ALL,EW_ALL,0.05,2016-01-29,34.53,32.2,-18.1,-19.59,1.97,1.67
EW_ALL,CASHNULL,0.05,2016-01-29,33.92,31.65,-17.39,-19.11,2.02,1.68
EW_ALL,EW_ALL,0.1,2016-01-29,33.48,31.27,-17.78,-19.21,1.92,1.65
EW_ALL,CASHNULL,0.1,2016-01-29,32.3,30.17,-16.33,-18.09,2.05,1.69
EW_ALL,EW_ALL,0.15,2016-01-29,32.42,30.33,-17.36,-18.97,1.89,1.62
EW_ALL,CASHNULL,0.15,2016-01-29,30.7,28.7,-15.13,-17.06,2.09,1.7
EW_ALL,EW_ALL,0.2,2016-01-29,31.37,29.4,-17.02,-18.73,1.85,1.59
EW_ALL,CASHNULL,0.2,2016-01-29,29.1,27.24,-13.95,-16.02,2.12,1.72
EW_ALL,EW_ALL,0.25,2016-01-29,30.31,28.45,-16.93,-18.63,1.79,1.55
EW_ALL,CASHNULL,0.25,2016-01-29,27.51,25.79,-12.98,-14.96,2.15,1.74
EW_ALL,EW_ALL,0.3,2016-01-29,29.25,27.51,-17.04,-18.57,1.7,1.5
EW_ALL,CASHNULL,0.3,2016-01-29,25.94,24.34,-12.04,-13.89,2.19,1.77
NOSECT,BASELINE,0.0,2016-03-31,36.15,33.72,-18.45,-20.12,2.03,1.69
NOSECT,NOSECT,0.05,2016-03-31,36.12,33.51,-18.0,-19.44,2.04,1.76
NOSECT,CASHNULL,0.05,2016-03-31,34.49,32.2,-17.39,-19.11,2.05,1.7
NOSECT,NOSECT,0.1,2016-03-31,36.09,33.28,-17.55,-19.18,2.07,1.79
NOSECT,CASHNULL,0.1,2016-03-31,32.84,30.69,-16.33,-18.09,2.08,1.72
NOSECT,NOSECT,0.15,2016-03-31,36.04,33.04,-17.9,-18.99,2.04,1.81
NOSECT,CASHNULL,0.15,2016-03-31,31.2,29.19,-15.13,-17.06,2.12,1.73
NOSECT,NOSECT,0.2,2016-03-31,36.0,32.79,-18.45,-19.82,1.99,1.79
NOSECT,CASHNULL,0.2,2016-03-31,29.57,27.69,-13.95,-16.02,2.15,1.75
NOSECT,NOSECT,0.25,2016-03-31,35.98,32.52,-19.34,-21.26,1.84,1.65
NOSECT,CASHNULL,0.25,2016-03-31,27.95,26.21,-12.98,-14.96,2.18,1.77
NOSECT,NOSECT,0.3,2016-03-31,35.88,32.24,-20.54,-22.67,1.72,1.53
NOSECT,CASHNULL,0.3,2016-03-31,26.34,24.73,-12.04,-13.89,2.22,1.8
R147_SECROT,BASELINE,0.0,2016-01-29,35.54,33.13,-18.45,-20.12,1.99,1.67
R147_SECROT,R147_SECROT,0.05,2016-01-29,34.25,32.02,-18.22,-19.73,1.93,1.64
R147_SECROT,CASHNULL,0.05,2016-01-29,33.92,31.65,-17.39,-19.11,2.02,1.68
R147_SECROT,R147_SECROT,0.1,2016-01-29,32.91,30.91,-18.14,-19.75,1.85,1.58
R147_SECROT,CASHNULL,0.1,2016-01-29,32.3,30.17,-16.33,-18.09,2.05,1.69
R147_SECROT,R147_SECROT,0.15,2016-01-29,31.62,29.79,-17.99,-19.78,1.76,1.52
R147_SECROT,CASHNULL,0.15,2016-01-29,30.7,28.7,-15.13,-17.06,2.09,1.7
R147_SECROT,R147_SECROT,0.2,2016-01-29,30.34,28.66,-18.16,-20.37,1.63,1.45
R147_SECROT,CASHNULL,0.2,2016-01-29,29.1,27.24,-13.95,-16.02,2.12,1.72
R147_SECROT,R147_SECROT,0.25,2016-01-29,29.07,27.52,-19.02,-21.36,1.47,1.35
R147_SECROT,CASHNULL,0.25,2016-01-29,27.51,25.79,-12.98,-14.96,2.15,1.74
R147_SECROT,R147_SECROT,0.3,2016-01-29,27.79,26.35,-22.0,-24.4,1.24,1.14
R147_SECROT,CASHNULL,0.3,2016-01-29,25.94,24.34,-12.04,-13.89,2.19,1.77
