candidate,vs,n_days,start,end,corr_daily,corr_monthly
BEST_CAGR,TN,2624,2016-01-20,2026-08-28,0.435,0.33
BEST_CAGR,OA,2624,2016-01-20,2026-08-28,0.462,0.55
BEST_CAGR,IPO,2624,2016-01-20,2026-08-28,0.288,0.306
BEST_CALMAR,TN,2618,2016-01-29,2026-08-28,0.495,0.382
BEST_CALMAR,OA,2618,2016-01-29,2026-08-28,0.428,0.471
BEST_CALMAR,IPO,2618,2016-01-29,2026-08-28,0.284,0.299
BRANCHB,TN,2577,2016-03-31,2026-08-28,0.413,0.443
BRANCHB,OA,2577,2016-03-31,2026-08-28,0.539,0.619
BRANCHB,IPO,2577,2016-03-31,2026-08-28,0.329,0.235
EW_ALL,TN,2618,2016-01-29,2026-08-28,0.372,0.326
EW_ALL,OA,2618,2016-01-29,2026-08-28,0.436,0.559
EW_ALL,IPO,2618,2016-01-29,2026-08-28,0.252,0.295
NOSECT,TN,2577,2016-03-31,2026-08-28,0.417,0.426
NOSECT,OA,2577,2016-03-31,2026-08-28,0.506,0.62
NOSECT,IPO,2577,2016-03-31,2026-08-28,0.321,0.285
R147_SECROT,TN,2618,2016-01-29,2026-08-28,0.414,0.298
R147_SECROT,OA,2618,2016-01-29,2026-08-28,0.433,0.519
R147_SECROT,IPO,2618,2016-01-29,2026-08-28,0.252,0.247
