Year,Sector rotation (best Calmar),Sector rotation (best CAGR),r/147 SECROT cell,Equal-weight all 9 sectors,Sector-gated stock book,"Same stocks, NO sector filter",True North (LIVE),Open Alpha (LIVE),Deployed TN40/OA40/IPO20,NIFTY 500,NIFTY 50,Midcap 150,Smallcap 250,BEST CAGR,LEAST DD,BEST OVERALL
2016,+15.8 (-9.1),+12.1 (-12.4),+21.4 (-13.1),+11.5 (-11.6),+11.5 (-18.5),+20.7 (-21.1),+32.2 (-6.8),+27.7 (-8.0),+34.0 (-6.3),+8.2 (-12.0),+5.8 (-11.7),+13.2 (-14.5),+14.6 (-15.8),Deployed TN40/OA40/IPO20,Deployed TN40/OA40/IPO20,Deployed TN40/OA40/IPO20
2017,+30.8 (-6.4),+38.0 (-9.4),+23.9 (-10.4),+34.5 (-7.7),+58.3 (-13.8),+99.1 (-14.7),+39.2 (-8.7),+104.4 (-18.1),+68.2 (-8.0),+35.9 (-8.4),+28.6 (-8.6),+54.3 (-9.9),+57.3 (-10.3),Open Alpha (LIVE),Sector rotation (best Calmar),Open Alpha (LIVE)
2018,-10.1 (-18.5),-4.6 (-14.9),-7.4 (-19.0),-7.2 (-17.2),-10.9 (-24.6),-7.1 (-24.6),-5.6 (-23.1),-18.5 (-19.3),-9.3 (-17.4),-3.4 (-15.8),+3.2 (-14.6),-13.3 (-24.0),-26.8 (-36.2),Sector rotation (best CAGR),Sector rotation (best CAGR),Sector rotation (best CAGR)
2019,+0.4 (-19.1),+6.2 (-13.3),-5.4 (-26.1),+1.9 (-20.5),+13.7 (-22.5),+36.5 (-22.8),-0.7 (-21.2),+4.7 (-24.5),+4.5 (-16.4),+7.7 (-12.7),+12.0 (-11.4),-0.3 (-25.6),-8.3 (-43.0),"Same stocks, NO sector filter",Sector rotation (best CAGR),"Same stocks, NO sector filter"
2020,+26.7 (-20.9),+25.6 (-36.9),-9.2 (-56.0),+14.7 (-43.3),+54.8 (-30.3),+45.9 (-32.1),+57.4 (-23.5),+117.4 (-14.9),+87.9 (-11.3),+16.7 (-38.3),+14.9 (-38.4),+24.4 (-44.2),+25.1 (-60.8),Open Alpha (LIVE),Deployed TN40/OA40/IPO20,Open Alpha (LIVE)
2021,+32.8 (-14.8),+29.2 (-14.5),+23.5 (-28.2),+35.5 (-11.6),+230.6 (-9.6),+114.0 (-15.7),+59.9 (-13.6),+151.3 (-9.5),+88.6 (-6.4),+30.2 (-10.0),+24.1 (-10.1),+46.8 (-10.5),+61.9 (-18.9),Sector-gated stock book,Deployed TN40/OA40/IPO20,Sector-gated stock book
2022,+3.5 (-21.5),+11.4 (-21.9),+3.3 (-29.6),+8.4 (-19.3),-0.7 (-38.3),-1.0 (-39.3),+12.0 (-17.8),+4.4 (-20.3),+10.7 (-12.9),+3.0 (-18.5),+4.3 (-17.2),+3.0 (-21.6),-3.6 (-26.9),True North (LIVE),Deployed TN40/OA40/IPO20,Deployed TN40/OA40/IPO20
2023,+25.5 (-20.9),+36.7 (-12.8),+18.6 (-24.7),+32.4 (-12.3),+107.1 (-26.9),+90.1 (-26.8),+41.0 (-11.0),+44.6 (-19.9),+48.9 (-13.7),+25.8 (-11.2),+20.0 (-9.9),+43.7 (-10.4),+48.1 (-18.7),Sector-gated stock book,True North (LIVE),Sector-gated stock book
2024,+23.6 (-9.3),+18.0 (-12.3),+27.2 (-11.7),+16.4 (-11.2),-7.4 (-28.7),+14.2 (-22.0),+24.6 (-17.3),+63.9 (-11.3),+50.8 (-10.9),+15.2 (-10.9),+8.8 (-10.9),+23.8 (-11.0),+26.4 (-12.5),Open Alpha (LIVE),Sector rotation (best Calmar),Open Alpha (LIVE)
2025,-3.4 (-19.2),-1.8 (-26.8),+6.0 (-17.4),+5.0 (-21.7),+10.1 (-33.2),-8.1 (-31.6),+5.1 (-18.0),+11.4 (-25.1),+7.5 (-14.8),+6.7 (-18.8),+10.5 (-15.8),+5.4 (-21.1),-6.0 (-26.1),Open Alpha (LIVE),Deployed TN40/OA40/IPO20,Deployed TN40/OA40/IPO20
2026,+4.4 (-9.3),+6.0 (-19.9),+0.1 (-15.5),+0.8 (-16.0),-2.4 (-20.7),+2.5 (-24.1),+5.9 (-10.9),+37.1 (-21.7),+30.4 (-9.0),-1.4 (-16.2),-7.5 (-15.2),+5.5 (-14.0),+10.9 (-23.6),Open Alpha (LIVE),Deployed TN40/OA40/IPO20,Deployed TN40/OA40/IPO20
FULL PERIOD,13.5% / -21.5% / 0.63,16.2% / -36.9% / 0.44,8.9% / -56.0% / 0.16,14.0% / -43.3% / 0.32,32.5% / -38.3% / 0.85,32.9% / -39.3% / 0.84,24.1% / -23.5% / 1.03,44.4% / -25.1% / 1.77,36.9% / -17.4% / 2.12,13.2% / -38.3% / 0.35,11.6% / -38.4% / 0.30,18.0% / -44.2% / 0.41,15.8% / -60.8% / 0.26,,,
