system,exit,hard_stop,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,trades,win_rate,expectancy,seeds
V3,ST_7_3,0,10.82,10.82,10.83,-20.89,-20.89,0.518,583.0,41.2,5.703999996185303,30
CTRL_ATH,ST_7_3,0,15.985,14.69,18.16,-39.269999999999996,-42.47,0.411,1477.0,39.1,4.953000068664551,30
CTRL_DM,ST_7_3,0,8.415,6.27,12.28,-22.395,-29.13,0.3695,569.5,39.05,3.884500026702881,30
CTRL_RND,ST_7_3,0,6.73,3.84,9.68,-22.035,-31.25,0.3045,722.0,35.8,2.004499912261963,30
V3,ST_7_3,1,10.06,10.04,10.06,-18.5,-18.5,0.544,648.0,36.1,4.448999881744385,30
CTRL_ATH,ST_7_3,1,14.935,12.86,17.0,-40.375,-49.64,0.3625,1725.0,35.150000000000006,3.7800002098083496,30
CTRL_DM,ST_7_3,1,8.43,6.59,11.97,-19.54,-36.25,0.424,604.0,34.9,3.5355000495910645,30
CTRL_RND,ST_7_3,1,6.74,3.72,9.43,-20.83,-33.15,0.334,738.5,34.400000000000006,1.8539999723434448,30
V3,ST_10_3,0,10.8,10.69,10.86,-21.33,-21.33,0.506,594.0,40.9,5.574999809265137,30
CTRL_ATH,ST_10_3,0,16.42,14.49,18.68,-40.62,-44.59,0.4005,1515.0,39.650000000000006,4.8389997482299805,30
CTRL_DM,ST_10_3,0,8.225000000000001,6.39,11.81,-21.755000000000003,-31.04,0.3855,574.0,38.7,3.9699997901916504,30
CTRL_RND,ST_10_3,0,6.890000000000001,4.45,9.89,-22.005,-31.22,0.324,735.0,36.05,1.9684998989105225,30
V3,ST_10_3,1,10.22,10.2,10.28,-19.88,-19.9,0.515,649.0,35.3,4.630000114440918,30
CTRL_ATH,ST_10_3,1,15.29,13.85,16.99,-39.42,-47.68,0.3825,1769.5,35.25,3.7890000343322754,30
CTRL_DM,ST_10_3,1,8.614999999999998,7.15,11.69,-21.03,-34.2,0.4295,608.0,35.05,3.6440000534057617,30
CTRL_RND,ST_10_3,1,6.925000000000001,4.16,9.98,-20.125,-33.25,0.34550000000000003,750.0,34.349999999999994,1.86899995803833,30
V3,ST_14_4,0,14.6,14.57,14.75,-24.94,-24.94,0.585,472.0,46.3,11.449999809265137,30
CTRL_ATH,ST_14_4,0,17.66,16.03,19.49,-44.525000000000006,-47.13,0.394,1005.5,41.9,8.152000427246094,30
CTRL_DM,ST_14_4,0,9.87,7.63,13.03,-25.049999999999997,-28.84,0.3935,457.0,42.5,6.729499816894531,30
CTRL_RND,ST_14_4,0,8.195,6.14,10.65,-25.465,-33.5,0.3275,618.0,37.45,3.6440000534057617,30
V3,ST_14_4,1,13.33,13.3,13.41,-21.95,-21.95,0.607,558.0,37.3,8.37399959564209,30
CTRL_ATH,ST_14_4,1,14.469999999999999,13.12,16.51,-43.295,-52.28,0.345,1297.5,34.0,5.115499973297119,30
CTRL_DM,ST_14_4,1,9.635,7.57,13.1,-20.46,-32.1,0.456,519.5,34.3,5.5355000495910645,30
CTRL_RND,ST_14_4,1,8.205,5.67,10.63,-23.485,-35.21,0.339,657.5,34.25,3.177500009536743,30
V3,DON20,0,8.99,8.89,9.09,-18.33,-20.5,0.489,667.0,38.5,3.7730000019073486,30
CTRL_ATH,DON20,0,14.780000000000001,12.73,16.89,-41.855000000000004,-48.14,0.351,1799.0,38.650000000000006,3.692500114440918,30
CTRL_DM,DON20,0,8.629999999999999,6.27,11.06,-20.880000000000003,-36.27,0.4245,627.5,38.349999999999994,3.5374999046325684,30
CTRL_RND,DON20,0,6.395,4.43,8.72,-21.82,-32.93,0.3025,749.5,29.65,1.628999948501587,30
V3,DON20,1,8.83,8.71,8.89,-16.19,-17.47,0.548,693.0,35.849999999999994,3.4155001640319824,30
CTRL_ATH,DON20,1,15.2,13.08,17.03,-41.805,-50.45,0.364,1998.0,35.4,3.579500198364258,30
CTRL_DM,DON20,1,8.120000000000001,4.8,10.22,-21.975,-40.16,0.3825,650.5,35.25,2.9679999351501465,30
CTRL_RND,DON20,1,6.43,4.09,8.19,-21.075000000000003,-34.36,0.321,754.0,28.9,1.4704999923706055,30
V3,DON10,0,5.34,5.25,5.42,-17.13,-17.15,0.312,811.0,35.8,0.7200000286102295,30
CTRL_ATH,DON10,0,10.15,8.47,12.71,-40.945,-48.12,0.2455,3335.0,37.6,1.441499948501587,30
CTRL_DM,DON10,0,6.23,3.91,8.4,-16.9,-34.74,0.3735,762.5,36.650000000000006,1.246999979019165,30
CTRL_RND,DON10,0,5.095,3.35,6.0,-16.97,-24.78,0.299,859.0,28.049999999999997,0.3479999899864197,30
V3,DON10,1,5.26,5.22,5.37,-16.9,-17.01,0.312,816.0,34.7,0.6620000004768372,30
CTRL_ATH,DON10,1,9.045,7.69,11.37,-40.485,-46.02,0.2235,3489.0,36.2,1.2354999780654907,30
CTRL_DM,DON10,1,6.045,4.1,7.8,-16.05,-35.31,0.3755,767.5,34.7,1.0850000381469727,30
CTRL_RND,DON10,1,4.98,2.74,6.06,-17.505000000000003,-24.2,0.2845,860.5,27.7,0.2840000092983246,30
V3,SMA15,0,5.23,5.23,5.29,-12.36,-12.36,0.423,863.0,35.6,0.375,30
CTRL_ATH,SMA15,0,5.955,3.6,7.79,-41.620000000000005,-55.48,0.14100000000000001,4599.5,35.25,0.6035000085830688,30
CTRL_DM,SMA15,0,5.535,3.9,7.63,-13.21,-19.76,0.4,811.0,34.55,0.6334999799728394,30
CTRL_RND,SMA15,0,4.595000000000001,3.05,5.6,-9.155000000000001,-16.12,0.477,889.0,29.85,-0.09649999439716339,30
V3,SMA15,1,5.11,5.11,5.16,-12.55,-12.72,0.407,865.0,34.9,0.31700000166893005,30
