symbol,entry_date,exit_date,entry_px,exit_px,shares,pnl,ret_pct,bars,reason
INDUSINDBK,2005-03-09,2005-10-11,59.5,68.0,1057,8647.582,13.715708,150,ST_14_4
ZEEL,2005-08-31,2005-10-20,55.52000045776367,49.150001525878906,1174,-7785.586,-11.914873,34,ST_14_4
IDBI,2005-09-16,2005-10-20,117.0,105.0,569,-7143.801,-10.704017,23,ST_14_4
TVSMOTOR,2005-07-05,2005-10-31,40.45000076293945,41.0,1600,554.1953,0.8541584,80,ST_14_4
POLYPLEX,2005-08-18,2005-10-31,120.0,100.5,546,-10947.988,-16.667711,50,ST_14_4
NATCOPHARM,2006-01-16,2006-02-14,32.650001525878906,28.139999389648438,2000,-9323.957,-14.243036,19,ST_14_4
PNB,2005-12-19,2006-02-20,90.19000244140625,83.30999755859375,720,-5265.9062,-8.089054,42,ST_14_4
BIOCON,2005-09-01,2006-02-21,39.400001525878906,38.0,1662,-2648.3984,-4.034334,116,ST_14_4
CHENNPETRO,2005-09-02,2006-03-01,239.0,228.0,273,-3321.7305,-5.07831,121,ST_14_4
FDC,2006-01-06,2006-03-14,60.0,48.5,1099,-12936.605,-19.569826,44,ST_14_4
DWARKESH,2005-12-15,2006-05-12,20.600000381469727,22.100000381469727,3127,4356.6914,6.746483,99,ST_14_4
NATIONALUM,2005-12-01,2006-05-19,49.25,69.5199966430664,1309,26144.738,40.453304,114,ST_14_4
GRASIM,2006-02-02,2006-05-19,254.6999969482422,339.6499938964844,256,21366.812,32.687855,71,ST_14_4
MTNL,2006-02-15,2006-05-19,153.0,180.0,436,11409.023,17.06028,63,ST_14_4
NECLIFE,2006-03-07,2006-05-19,26.5,22.5,2550,-10512.375,-15.517807,49,ST_14_4
PRSMJOHNSN,2006-03-13,2006-05-19,26.5,37.0,2537,26235.75,38.92627,45,ST_14_4
HINDUNILVR,2006-02-13,2006-05-22,207.0,245.0,320,11798.398,17.76718,66,ST_14_4
JINDALSTEL,2005-12-14,2006-05-23,51.0,56.33000183105469,1263,6392.8945,9.9001045,107,ST_14_4
SAIL,2006-02-24,2006-05-23,65.0,65.0,1008,-327.60547,-0.49875975,58,ST_14_4
JAYSREETEA,2006-05-11,2006-05-25,101.0,77.44999694824219,769,-18453.031,-23.6993,10,ST_14_4
USHAMART,2006-04-04,2006-06-02,40.29999923706055,37.209999084472656,1803,-5920.6562,-8.128017,40,ST_14_4
PTC,2005-12-05,2006-06-07,62.0,56.45000076293945,1040,-6079.9727,-9.405726,125,ST_14_4
BSOFT,2006-04-19,2006-06-09,25.200000762939453,20.649999618530273,2973,-13867.9375,-18.464262,37,ST_14_4
