symbol,mode,ipo_short_window,base_qualify_date,rim_date,rim_level,trough_date,trough_close,depth_pct,base_len_bars,trough_pos,fit_r2,fit_curvature,vertex_frac,flat_frac,r2_ge_060,r2_ge_080,vol_ratio,obv_gain,obv_slope_norm,obv_filter_pass,tv20_cr_at_q,tv20_cr_at_breakout,breakout_date,breakout_close,breakout_day_move_pct,days_q_to_breakout,fill_a_nextopen_date,fill_a_nextopen,fill_b_buystop,gap_pct_a_vs_rim,pattern_quality,info_fwd60_pct,info_fwd120_pct,info_fwd250_pct,info_st73_exit_date,info_st73_exit_close,info_st73_ret_pct,info_st73_bars_held,info_st73_still_open,info_mfe_250_pct,info_mae_250_pct
5PAISA,L120,0,2021-06-21,2021-01-12,377.3,2021-02-23,243.25,35.53,120,0.345,0.703,7.775e-05,0.339,0.417,1,0,1.63,0.2955,0.2952,1,2.75,2.75,2021-06-21,415.8,-0.42,0,2021-06-22,422.6,422.6,12.01,0.291,12.97,1.57,-31.97,2021-08-18,471.85,11.65,41,0,37.25,-36.68
63MOONS,L120,0,2009-05-06,2008-11-06,721.5,2009-03-02,420.05,41.78,120,0.672,0.715,1.253e-04,0.486,0.5,1,0,2.382,0.4282,0.6191,1,21.37,21.37,2009-05-06,745.5,-3.82,0,2009-05-07,754.8,754.8,4.62,0.408,75.98,56.05,84.9,2009-07-08,1146.9,51.95,45,0,128.27,-6.3
63MOONS,L120,0,2021-12-22,2021-07-23,111.15,2021-08-23,88.3,20.56,120,0.303,0.716,1.021e-04,0.347,0.433,1,0,1.06,0.1661,0.1637,0,2.02,2.02,2021-12-22,195.3,5.0,0,2021-12-23,205.05,205.05,84.48,0.134,7.1,-22.9,-27.38,2021-12-23,205.05,0.0,1,0,81.71,-31.46
63MOONS,L120,0,2023-07-28,2023-02-14,213.1,2023-05-29,162.2,23.89,120,0.639,0.716,1.016e-04,0.43,0.558,1,0,1.06,0.6821,0.9987,0,4.94,4.94,2023-07-28,243.55,4.35,0,2023-07-31,244.35,244.35,14.66,0.3833,8.45,77.76,63.68,2023-09-21,286.1,17.09,37,0,182.69,-8.74
63MOONS,VAR,0,2025-07-03,2024-12-19,1031.65,2025-02-17,613.95,40.49,134,0.316,0.704,7.842e-05,0.478,0.41,1,0,0.819,0.3066,0.2288,0,40.38,37.73,2025-07-09,1085.1,9.98,4,2025-07-10,1096.0,1096.0,6.24,0.2232,-18.95,-33.49,-34.33,2025-08-08,913.3,-16.67,22,0,3.1,-57.39
AARTIDRUGS,L250,0,2016-11-02,2015-12-31,148.8,2016-06-24,111.1,25.34,250,0.655,0.703,1.924e-05,0.492,0.508,1,0,2.006,0.2709,0.3036,1,2.15,2.15,2016-11-02,163.7,-2.53,0,2016-11-03,163.5,163.5,9.88,0.3201,-5.29,-10.49,-17.77,2016-11-15,147.85,-9.57,8,0,1.74,-31.53
AARTIIND,L250,0,2026-05-14,2025-05-19,486.75,2026-01-21,340.0,30.15,250,0.699,0.709,1.840e-05,0.515,0.416,1,0,1.333,0.3772,0.3059,1,54.48,49.98,2026-05-26,491.0,1.74,8,2026-05-27,491.95,491.95,1.07,0.2229,5.4,2.7,2.7,2026-05-27,500.75,1.79,1,0,12.16,-13.81
ABAN-BE,L120,0,2013-11-20,2013-05-29,312.55,2013-09-03,209.95,32.83,120,0.571,0.863,7.156e-05,0.585,0.625,1,1,2.053,0.6303,0.3298,1,13.51,17.53,2013-11-25,360.2,19.99,3,2013-11-26,368.9,368.9,18.03,0.7482,38.86,81.31,49.12,2014-01-27,375.9,1.9,44,0,154.81,-9.7
ABAN-BE,L180,0,2014-01-03,2013-05-07,330.4,2013-09-03,209.95,36.46,180,0.542,0.703,6.173e-05,0.477,0.494,1,0,2.989,0.4331,0.5729,1,30.24,30.24,2014-01-03,368.55,-0.86,0,2014-01-06,369.9,369.9,11.96,0.5698,44.09,105.54,26.66,2014-01-27,375.9,1.62,16,0,154.12,-0.42
ABAN-BE,L250,0,2018-01-10,2017-01-19,254.65,2017-08-11,162.7,36.11,250,0.59,0.789,1.485e-05,0.636,0.444,1,0,1.541,0.4705,0.377,1,28.24,28.24,2018-01-11,268.1,6.62,1,2018-01-12,269.3,269.3,5.75,0.5163,-32.71,-58.23,-72.84,2018-01-30,213.5,-20.72,12,0,3.51,-75.27
