cell,exit,hard_stop,time_stop,shelf_S,vol_K,ath,obv_filter,market_gate,n_events,seeds,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,sharpe_med,trades,win_rate,avg_win,avg_loss,expectancy,max_loss_streak,trades_per_yr,final_med
ST_7_3|h0|t0|s15|k2|a0.90|o0|g0,ST_7_3,0,0,15,2,0.9,0,0,1020,10,11.07,11.01,11.12,-22.69,-22.69,0.487,0.954,647,40.6,26.55,-9.13,5.373,14,29.8,9740458.0
ST_7_3|h0|t0|s15|k2|a0.90|o1|g1,ST_7_3,0,0,15,2,0.9,1,1,361,10,8.57,8.57,8.57,-15.56,-15.56,0.551,1.095,298,39.6,29.72,-9.29,6.159,9,13.7,5950712.0
ST_7_3|h0|t0|s15|k2|a0.95|o1|g0,ST_7_3,0,0,15,2,0.95,1,0,279,10,8.06,8.06,8.06,-16.99,-16.99,0.474,1.141,269,39.4,29.98,-9.62,5.984,14,12.4,5370582.0
ST_7_3|h0|t0|s15|k2|a1.00|o0|g1,ST_7_3,0,0,15,2,1.0,0,1,559,10,8.66,8.66,8.72,-15.34,-15.34,0.564,0.885,411,38.9,27.46,-9.31,5.004,13,19.0,6056286.0
ST_7_3|h0|t0|s15|k3|a0.90|o0|g0,ST_7_3,0,0,15,3,0.9,0,0,889,10,10.82,10.82,10.83,-20.89,-20.89,0.518,0.902,583,41.2,27.25,-9.37,5.704,11,26.9,9291030.0
ST_7_3|h0|t0|s15|k3|a0.90|o1|g1,ST_7_3,0,0,15,3,0.9,1,1,312,10,7.77,7.77,7.77,-17.07,-17.07,0.455,1.07,266,39.1,29.15,-9.62,5.539,9,12.3,5067415.0
ST_7_3|h0|t0|s15|k3|a0.95|o1|g0,ST_7_3,0,0,15,3,0.95,1,0,238,10,7.75,7.75,7.75,-15.83,-15.83,0.49,1.181,235,40.9,29.34,-10.13,5.994,11,10.8,5049000.0
ST_7_3|h0|t0|s15|k3|a1.00|o0|g1,ST_7_3,0,0,15,3,1.0,0,1,473,10,8.05,8.05,8.05,-16.97,-16.97,0.474,0.918,365,39.2,27.38,-9.77,4.788,11,16.8,5359467.0
ST_7_3|h0|t0|s15|k5|a0.90|o0|g0,ST_7_3,0,0,15,5,0.9,0,0,628,10,9.64,9.58,9.69,-25.24,-25.95,0.383,0.871,471,40.0,29.6,-10.14,5.81,11,21.7,7358455.0
ST_7_3|h0|t0|s15|k5|a0.90|o1|g1,ST_7_3,0,0,15,5,0.9,1,1,227,10,7.47,7.47,7.47,-14.66,-14.66,0.509,1.178,202,41.6,29.68,-10.76,6.053,12,9.3,4768332.0
ST_7_3|h0|t0|s15|k5|a0.95|o1|g0,ST_7_3,0,0,15,5,0.95,1,0,179,10,7.81,7.81,7.81,-11.67,-11.67,0.669,1.406,179,43.6,31.47,-11.15,7.423,8,8.3,5109721.0
ST_7_3|h0|t0|s15|k5|a1.00|o0|g1,ST_7_3,0,0,15,5,1.0,0,1,343,10,7.65,7.65,7.65,-16.4,-16.4,0.466,0.985,291,40.9,28.11,-10.62,5.219,12,13.4,4948024.0
ST_7_3|h0|t0|s20|k2|a0.90|o0|g0,ST_7_3,0,0,20,2,0.9,0,0,881,10,10.34,10.28,10.38,-23.91,-24.91,0.432,0.935,577,40.4,26.41,-8.78,5.415,14,26.6,8435557.0
ST_7_3|h0|t0|s20|k2|a0.90|o1|g1,ST_7_3,0,0,20,2,0.9,1,1,289,10,8.79,8.79,8.79,-16.85,-16.85,0.521,1.215,246,41.1,31.59,-8.94,7.702,7,11.3,6211581.0
ST_7_3|h0|t0|s20|k2|a0.95|o1|g0,ST_7_3,0,0,20,2,0.95,1,0,228,10,8.64,8.64,8.64,-13.91,-13.91,0.621,1.298,224,41.1,33.86,-9.94,8.049,13,10.3,6034185.0
ST_7_3|h0|t0|s20|k2|a1.00|o0|g1,ST_7_3,0,0,20,2,1.0,0,1,462,10,8.16,8.16,8.16,-20.02,-20.02,0.407,0.966,352,37.2,29.79,-9.0,5.436,14,16.2,5478916.0
ST_7_3|h0|t0|s20|k3|a0.90|o0|g0,ST_7_3,0,0,20,3,0.9,0,0,772,10,9.59,9.5,9.64,-28.11,-28.88,0.341,0.888,536,39.0,27.51,-9.05,5.207,11,24.7,7286058.0
ST_7_3|h0|t0|s20|k3|a0.90|o1|g1,ST_7_3,0,0,20,3,0.9,1,1,254,10,7.9,7.9,7.9,-15.67,-15.67,0.504,1.192,223,39.5,31.21,-9.49,6.57,10,10.3,5200882.0
ST_7_3|h0|t0|s20|k3|a0.95|o1|g0,ST_7_3,0,0,20,3,0.95,1,0,197,10,8.16,8.16,8.16,-13.49,-13.49,0.605,1.362,196,41.3,33.9,-10.63,7.775,10,9.0,5478354.0
ST_7_3|h0|t0|s20|k3|a1.00|o0|g1,ST_7_3,0,0,20,3,1.0,0,1,389,10,7.9,7.9,7.9,-22.44,-22.44,0.352,0.967,313,36.1,32.52,-9.48,5.685,12,14.4,5198832.0
ST_7_3|h0|t0|s20|k5|a0.90|o0|g0,ST_7_3,0,0,20,5,0.9,0,0,541,10,10.23,10.23,10.23,-25.07,-25.08,0.408,1.023,423,40.9,31.1,-9.59,7.051,13,19.5,8272496.0
ST_7_3|h0|t0|s20|k5|a0.90|o1|g1,ST_7_3,0,0,20,5,0.9,1,1,188,10,8.57,8.57,8.57,-12.02,-12.02,0.713,1.426,169,46.2,32.35,-9.99,9.551,8,7.8,5949234.0
ST_7_3|h0|t0|s20|k5|a0.95|o1|g0,ST_7_3,0,0,20,5,0.95,1,0,150,10,8.51,8.51,8.51,-9.87,-9.87,0.862,1.62,150,46.7,34.88,-10.69,10.579,7,6.9,5873897.0
ST_7_3|h0|t0|s20|k5|a1.00|o0|g1,ST_7_3,0,0,20,5,1.0,0,1,280,10,7.52,7.52,7.52,-19.64,-19.64,0.383,1.124,237,40.1,29.88,-10.09,5.927,10,10.9,4815468.0
ST_7_3|h0|t120|s15|k2|a0.90|o0|g0,ST_7_3,0,120,15,2,0.9,0,0,1020,10,10.81,10.72,10.82,-22.64,-22.64,0.478,0.965,662,40.9,25.33,-9.09,4.998,15,30.6,9269601.0
ST_7_3|h0|t120|s15|k2|a0.90|o1|g1,ST_7_3,0,120,15,2,0.9,1,1,361,10,8.24,8.24,8.24,-15.72,-15.72,0.524,1.088,301,40.9,27.06,-9.3,5.558,9,13.9,5571983.0
ST_7_3|h0|t120|s15|k2|a0.95|o1|g0,ST_7_3,0,120,15,2,0.95,1,0,279,10,7.43,7.43,7.43,-17.62,-17.62,0.422,1.106,272,39.3,27.18,-9.73,4.791,14,12.5,4730869.0
ST_7_3|h0|t120|s15|k2|a1.00|o0|g1,ST_7_3,0,120,15,2,1.0,0,1,559,10,8.16,8.16,8.16,-15.1,-15.1,0.54,0.857,412,38.8,25.83,-9.26,4.366,13,19.0,5480400.0
ST_7_3|h0|t120|s15|k3|a0.90|o0|g0,ST_7_3,0,120,15,3,0.9,0,0,889,10,11.07,11.07,11.07,-21.72,-21.72,0.51,0.952,595,41.2,26.94,-9.23,5.662,13,27.4,9756978.0
ST_7_3|h0|t120|s15|k3|a0.90|o1|g1,ST_7_3,0,120,15,3,0.9,1,1,312,10,7.38,7.38,7.38,-18.54,-18.54,0.398,1.049,271,39.5,26.98,-9.71,4.775,9,12.5,4685151.0
ST_7_3|h0|t120|s15|k3|a0.95|o1|g0,ST_7_3,0,120,15,3,0.95,1,0,238,10,7.35,7.35,7.35,-16.51,-16.51,0.445,1.171,238,40.8,27.5,-10.33,5.086,11,11.0,4654950.0
ST_7_3|h0|t120|s15|k3|a1.00|o0|g1,ST_7_3,0,120,15,3,1.0,0,1,473,10,7.68,7.68,7.73,-16.95,-16.95,0.453,0.899,370,38.9,26.11,-9.78,4.189,12,17.1,4977378.0
ST_7_3|h0|t120|s15|k5|a0.90|o0|g0,ST_7_3,0,120,15,5,0.9,0,0,628,10,9.32,9.31,9.37,-20.42,-20.42,0.456,0.941,482,40.0,27.95,-9.98,5.211,11,22.2,6908154.0
ST_7_3|h0|t120|s15|k5|a0.90|o1|g1,ST_7_3,0,120,15,5,0.9,1,1,227,10,7.17,7.17,7.17,-14.03,-14.03,0.511,1.182,203,41.4,27.92,-10.74,5.255,11,9.4,4488460.0
ST_7_3|h0|t120|s15|k5|a0.95|o1|g0,ST_7_3,0,120,15,5,0.95,1,0,179,10,7.47,7.47,7.47,-11.46,-11.46,0.652,1.426,179,43.6,29.2,-11.15,6.435,8,8.3,4771134.0
ST_7_3|h0|t120|s15|k5|a1.00|o0|g1,ST_7_3,0,120,15,5,1.0,0,1,343,10,7.1,7.1,7.1,-15.49,-15.49,0.458,0.941,294,40.1,26.56,-10.68,4.27,12,13.6,4427254.0
ST_7_3|h0|t120|s20|k2|a0.90|o0|g0,ST_7_3,0,120,20,2,0.9,0,0,881,10,10.29,10.17,10.4,-21.89,-23.62,0.469,0.998,596,40.6,25.46,-8.76,5.137,14,27.5,8352756.0
ST_7_3|h0|t120|s20|k2|a0.90|o1|g1,ST_7_3,0,120,20,2,0.9,1,1,289,10,8.34,8.34,8.34,-16.74,-16.74,0.498,1.204,252,40.5,29.69,-9.04,6.637,7,11.6,5687684.0
ST_7_3|h0|t120|s20|k2|a0.95|o1|g0,ST_7_3,0,120,20,2,0.95,1,0,228,10,8.07,8.07,8.07,-13.92,-13.92,0.58,1.29,228,40.4,31.32,-10.07,6.629,12,10.5,5383751.0
ST_7_3|h0|t120|s20|k2|a1.00|o0|g1,ST_7_3,0,120,20,2,1.0,0,1,462,10,7.82,7.82,7.82,-19.64,-19.64,0.398,0.958,359,36.5,28.8,-8.99,4.8,14,16.6,5123808.0
ST_7_3|h0|t120|s20|k3|a0.90|o0|g0,ST_7_3,0,120,20,3,0.9,0,0,772,10,9.77,9.69,9.81,-29.38,-30.27,0.332,0.918,552,39.9,26.28,-8.99,5.075,11,25.5,7552212.0
ST_7_3|h0|t120|s20|k3|a0.90|o1|g1,ST_7_3,0,120,20,3,0.9,1,1,254,10,7.59,7.59,7.59,-15.33,-15.33,0.495,1.202,227,38.8,29.78,-9.37,5.808,10,10.5,4892515.0
ST_7_3|h0|t120|s20|k3|a0.95|o1|g0,ST_7_3,0,120,20,3,0.95,1,0,197,10,7.78,7.78,7.78,-12.25,-12.25,0.635,1.39,197,41.1,31.56,-10.59,6.738,9,9.1,5077557.0
