Symbol,PriorHigh_Date,PriorHigh_Level,Trough_Date,Trough_Close,Depth_%,BaseCeiling_Level,Breakout_Close_Date,Breakout_Close,ATH_Before_Breakout,DistToATH_%,Entry_Date,Entry_Price_NextOpen,VolMultiple,History_Bars,Pattern_Score,Info_Fwd250_%,Info_ST73_Ret_%
CENTURYPLY,19-Oct-2016,262.55,22-Dec-2016,155.1,40.93,250.15,30-Mar-2017,257.3,262.55,-2.0,31-Mar-2017,258.0,3.55,2715,0.82,35.37,-6.57
PARACABLES,07-Jan-2021,10.65,31-Mar-2021,8.2,23.0,17.9,12-Jul-2021,20.1,18.95,6.07,13-Jul-2021,20.5,3.83,1610,0.75,-45.37,-16.1
ZIMLAB,23-Dec-2022,110.25,29-Mar-2023,68.9,37.51,120.6,18-Jul-2023,122.95,120.6,1.95,19-Jul-2023,123.9,3.89,159,0.74,-6.54,-9.73
RBZJEWEL,12-Jan-2024,232.15,05-Jun-2024,123.1,46.97,218.7,06-Jan-2025,228.29,232.15,-1.66,07-Jan-2025,235.01,3.74,251,0.74,-34.02,-15.23
SAPPHIRE,31-Mar-2022,296.45,08-Jun-2022,186.75,37.0,297.75,06-Oct-2022,300.3,297.75,0.86,07-Oct-2022,300.0,3.37,219,0.73,-6.23,-10.23
JAYSREETEA,24-Sep-2008,83.9,25-Feb-2009,34.23,59.2,102.75,12-Aug-2009,102.97,106.08,-2.93,13-Aug-2009,104.7,6.1,1139,0.73,55.64,65.33
AEROPLANE,02-Apr-2026,180.0,11-Jun-2026,117.45,34.75,201.39,10-Sep-2026,207.23,201.39,2.9,,,5.15,110,0.71,,
EVERESTIND-BE,23-Mar-2022,771.7,20-Jun-2022,508.95,34.05,717.55,06-Oct-2022,797.5,771.7,3.34,07-Oct-2022,801.5,27.23,4377,0.71,38.96,-1.68
NAVA,30-Aug-2005,20.8,26-Dec-2005,10.5,49.52,39.75,10-May-2006,41.65,39.75,4.78,11-May-2006,42.75,6.45,333,0.69,-28.65,-22.92
INSECTICID,15-Jul-2013,175.1,12-Nov-2013,92.75,47.03,204.35,14-Aug-2014,225.15,204.35,10.18,18-Aug-2014,228.45,10.98,1782,0.68,12.26,59.4
INDIACEM,30-Dec-2024,380.45,27-Feb-2025,246.65,35.17,337.45,03-Jun-2025,351.7,380.45,-7.56,04-Jun-2025,347.55,6.08,5044,0.66,6.98,-11.91
MONARCH,05-Dec-2022,199.55,31-Mar-2023,95.57,52.11,176.27,06-Oct-2023,193.67,199.55,-2.95,09-Oct-2023,192.15,7.48,433,0.66,134.84,13.43
ESTER,22-Apr-2022,177.01,20-Jun-2022,112.53,36.43,164.19,01-Sep-2022,166.64,177.01,-5.86,02-Sep-2022,167.33,3.11,2756,0.66,-44.21,-13.51
JKCEMENT,10-Oct-2016,968.0,26-Dec-2016,638.95,33.99,900.8,30-Mar-2017,909.6,968.0,-6.03,31-Mar-2017,909.6,4.45,2724,0.66,8.36,12.14
SRM,04-Apr-2024,237.3,04-Jun-2024,155.35,34.53,286.6,18-Nov-2024,308.1,294.4,4.65,19-Nov-2024,312.9,29.12,154,0.66,92.65,6.76
IIFL,06-Jan-2026,665.15,24-Apr-2026,419.35,36.95,636.1,21-Aug-2026,681.0,665.15,2.38,24-Aug-2026,684.75,8.03,5255,0.65,-10.48,-11.62
JSWDULUX,11-Mar-2020,2478.25,18-May-2020,1766.6,28.72,2179.3,04-Dec-2020,2252.25,2478.25,-9.12,07-Dec-2020,2270.0,3.68,4393,0.65,-8.12,-1.85
AKZOINDIA,11-Mar-2020,2478.25,18-May-2020,1766.6,28.72,2179.3,04-Dec-2020,2252.25,2478.25,-9.12,07-Dec-2020,2270.0,3.68,3930,0.65,-8.12,-1.85
NAM-INDIA,10-Dec-2024,805.9,28-Feb-2025,513.3,36.31,748.95,06-Jun-2025,790.5,805.9,-1.91,09-Jun-2025,802.0,4.28,1878,0.65,29.88,-2.15
SONATSOFTW,19-Jan-2017,83.6,27-Sep-2017,54.5,34.81,117.4,14-Feb-2018,127.8,117.4,8.86,15-Feb-2018,129.2,6.44,3237,0.64,-2.79,-8.24
COROMANDEL,10-Sep-2008,95.0,09-Mar-2009,40.98,56.86,101.05,29-Sep-2009,103.62,112.58,-7.96,30-Sep-2009,104.0,4.2,1171,0.64,198.44,187.67
ZOTA,04-Jan-2021,180.49,31-Mar-2021,136.79,24.21,367.39,31-Aug-2021,381.22,367.39,3.76,01-Sep-2021,397.22,3.49,1063,0.64,-33.68,-9.45
CHOLAHLDNG,01-Oct-2024,2100.15,31-Dec-2024,1398.85,33.39,1872.9,21-Apr-2025,1958.5,2100.15,-6.74,22-Apr-2025,1970.0,3.25,1872,0.64,-20.07,-3.48
BORORENEW,26-Jun-2020,141.95,24-Sep-2020,67.85,52.2,317.1,28-Jul-2021,323.15,317.1,1.91,29-Jul-2021,328.8,3.52,782,0.63,91.16,-10.31
SOTL,16-Aug-2021,338.7,07-Mar-2022,189.85,43.95,302.5,23-Aug-2022,320.0,353.2,-9.4,24-Aug-2022,330.0,5.17,4355,0.63,-3.58,-9.55
GICHSGFIN,10-Sep-2008,53.94,09-Mar-2009,29.03,46.18,86.36,22-Sep-2009,90.95,99.9,-8.96,23-Sep-2009,91.14,8.62,1167,0.63,52.39,-15.34
BALRAMCHIN,15-Jul-2025,622.8,21-Jan-2026,397.8,36.13,604.45,21-Jul-2026,617.85,680.55,-9.21,22-Jul-2026,615.9,8.6,5324,0.62,12.99,12.99
IITL,12-Feb-2024,278.8,10-May-2024,142.65,48.83,305.0,23-Oct-2024,307.0,305.0,0.66,24-Oct-2024,313.1,4.16,2758,0.62,-38.89,9.98
JINDWORLD,18-Apr-2022,75.02,05-Sep-2022,40.74,45.69,66.44,07-Nov-2022,73.69,75.02,-1.77,09-Nov-2022,73.91,17.91,2912,0.62,-9.55,1.99
WONDERLA,23-Jan-2015,329.24,08-Jun-2015,234.36,28.82,327.05,13-Nov-2015,344.6,329.24,4.67,16-Nov-2015,346.14,3.57,370,0.62,-9.48,0.36
ORIENTPPR,11-Sep-2023,58.75,01-Dec-2023,40.45,31.15,54.0,20-Jan-2024,54.9,58.75,-6.55,23-Jan-2024,55.25,5.69,1491,0.61,-42.32,-11.95
ZEEMEDIA,07-Dec-2015,25.55,23-Feb-2016,17.35,32.09,23.45,14-Jun-2016,24.6,25.55,-3.72,15-Jun-2016,25.05,3.64,2323,0.61,58.48,-8.58
SHRIPISTON,03-Aug-2023,1501.55,12-Oct-2023,973.69,35.15,1589.93,25-Jan-2024,1617.46,1589.93,1.73,29-Jan-2024,1641.92,3.29,1868,0.61,20.86,-12.82
BOROLTD,22-Jul-2020,171.99,13-Oct-2020,111.88,34.95,178.96,06-May-2021,189.93,202.65,-6.28,07-May-2021,189.97,10.5,197,0.61,39.5,-9.62
ABSLAMC,27-Nov-2024,883.5,13-Mar-2025,591.2,33.08,817.3,10-Jul-2025,850.3,883.5,-3.76,11-Jul-2025,853.95,4.84,930,0.6,29.33,-4.39
IBULLSLTD,30-Oct-2025,21.23,24-Feb-2026,9.11,57.09,17.94,30-Apr-2026,19.73,21.23,-7.07,04-May-2026,21.0,3.17,101,0.6,16.62,-16.38
NAVA,19-Sep-2025,717.3,24-Nov-2025,506.0,29.46,626.5,17-Apr-2026,703.1,717.3,-1.98,20-Apr-2026,700.0,88.95,5257,0.59,-20.56,-10.21
BTML,06-Apr-2023,20.39,26-Sep-2023,12.53,38.55,20.37,12-Jan-2024,21.09,20.39,3.43,16-Jan-2024,19.44,3.1,555,0.59,-37.96,-3.29
VAISHALI,28-Feb-2023,18.35,14-Jul-2023,11.68,36.35,17.58,18-Dec-2023,18.68,18.35,1.8,19-Dec-2023,18.78,4.59,1210,0.59,-6.07,-13.79
SPCENET,05-Jan-2023,30.7,23-May-2023,14.95,51.3,28.35,11-Dec-2023,31.25,30.7,1.79,12-Dec-2023,31.65,9.07,1014,0.59,-26.79,-3.16
JKTYRE,07-Apr-2010,41.83,05-Jul-2010,31.67,24.29,37.14,06-Sep-2010,39.81,41.83,-4.83,07-Sep-2010,40.0,22.55,1364,0.59,-57.7,-14.38
RAMASTEEL,12-Jan-2023,14.37,29-Mar-2023,8.85,38.41,12.85,29-May-2023,13.0,14.37,-9.53,30-May-2023,13.07,3.62,1914,0.59,-15.46,-5.28
ADANIGREEN,24-May-2021,1360.95,02-Aug-2021,876.15,35.62,1222.2,08-Nov-2021,1226.0,1360.95,-9.92,09-Nov-2021,1215.0,6.22,836,0.59,79.09,78.73
SBCL,13-Apr-2022,371.08,20-Jun-2022,246.5,33.57,360.8,25-Aug-2022,390.11,371.08,5.13,26-Aug-2022,399.86,10.97,291,0.58,43.14,-1.91
ANDHRAPAP,22-Sep-2014,76.65,16-Dec-2014,45.9,40.12,68.25,04-Aug-2015,76.3,79.5,-4.03,05-Aug-2015,77.6,10.16,2591,0.58,-25.26,-27.38
