Symbol,Trough_Date,Trough_Close,Depth_%,Shelf_Start_Date,Shelf_High,Shelf_Range_%,ATH_Before_Breakout,DistToATH_%,Breakout_Close_Date,Breakout_Close,VolMultiple,Entry_Date,Entry_Price_NextOpen,History_Bars,Pattern_Score,Info_Fwd250_%,Info_ST73_Ret_%
CENTURYPLY,22-Dec-2016,155.1,40.93,08-Mar-2017,249.85,3.22,262.55,-2.0,30-Mar-2017,257.3,3.55,31-Mar-2017,258.0,2715,0.82,35.37,-6.57
TRACXN,28-Mar-2023,61.4,38.66,12-Jun-2023,87.1,9.18,100.1,-9.74,04-Jul-2023,90.35,4.45,05-Jul-2023,90.7,173,0.81,6.78,-9.81
UBL,23-Jan-2009,70.0,60.06,13-Nov-2009,161.9,10.28,193.95,-5.54,04-Dec-2009,183.2,21.32,07-Dec-2009,184.1,328,0.77,118.41,-14.23
RBZJEWEL,05-Jun-2024,123.1,46.97,13-Dec-2024,217.42,10.69,232.15,-1.66,06-Jan-2025,228.29,3.74,07-Jan-2025,235.01,251,0.74,-34.02,-15.23
SAPPHIRE,08-Jun-2022,186.75,37.0,14-Sep-2022,297.75,5.31,297.75,0.86,06-Oct-2022,300.3,3.37,07-Oct-2022,300.0,219,0.73,-6.23,-10.23
JAYSREETEA,25-Feb-2009,34.23,59.2,22-Jul-2009,101.92,10.68,106.08,-2.93,12-Aug-2009,102.97,6.1,13-Aug-2009,104.7,1139,0.73,55.64,65.33
DIXON,22-Feb-2023,2644.2,39.7,05-Sep-2023,5178.9,7.15,5753.45,-8.14,27-Sep-2023,5285.35,4.04,28-Sep-2023,5325.0,1491,0.73,159.21,-4.15
RICOAUTO,27-Mar-2023,63.4,32.16,30-May-2023,91.4,10.83,106.8,-6.6,20-Jun-2023,99.75,10.43,21-Jun-2023,100.95,4560,0.73,40.0,-5.89
SIGACHI,29-Mar-2023,22.03,35.77,11-Dec-2023,53.34,5.51,62.17,-4.58,02-Jan-2024,59.32,11.42,03-Jan-2024,59.86,528,0.73,-18.83,17.56
AGI,20-Jun-2022,185.15,48.19,25-Jan-2023,346.7,11.83,395.1,-7.9,16-Feb-2023,363.9,5.05,17-Feb-2023,365.0,870,0.72,119.63,-11.71
AIAENG,28-Jan-2009,106.41,67.03,09-Nov-2009,351.31,11.78,351.31,6.73,30-Nov-2009,374.94,5.09,01-Dec-2009,380.88,975,0.72,8.22,-15.7
EVERESTIND-BE,20-Jun-2022,508.95,34.05,14-Sep-2022,707.1,8.37,771.7,3.34,06-Oct-2022,797.5,27.23,07-Oct-2022,801.5,4377,0.71,38.96,-1.68
BAYERCROP,05-Aug-2019,2985.9,32.39,04-May-2020,4645.15,5.05,4987.1,0.03,26-May-2020,4988.75,13.13,27-May-2020,5050.0,2558,0.71,4.15,9.23
IPL,28-Mar-2023,198.6,38.02,07-Nov-2023,306.89,10.65,349.3,-9.42,30-Nov-2023,316.38,6.15,01-Dec-2023,316.92,596,0.7,-39.8,8.7
USHAMART,30-Jun-2005,15.06,33.27,10-Mar-2006,38.65,6.11,42.66,-5.98,03-Apr-2006,40.11,6.15,04-Apr-2006,40.3,310,0.7,-5.16,-6.15
SARLAPOLY,03-Mar-2025,70.25,45.04,13-Jun-2025,117.95,7.56,127.83,-6.11,04-Jul-2025,120.02,4.98,07-Jul-2025,119.0,4174,0.7,-13.66,-8.77
HEIDELBERG,30-Apr-2007,36.3,44.45,05-Sep-2007,57.17,7.21,65.35,-8.97,26-Sep-2007,59.49,4.29,27-Sep-2007,63.8,679,0.7,-62.98,-20.94
MADRASFERT,27-Feb-2023,54.3,41.64,25-Sep-2023,81.65,10.04,93.05,-8.44,17-Oct-2023,85.2,14.8,18-Oct-2023,85.5,2173,0.7,14.11,12.28
MANYAVAR,20-Mar-2024,873.92,39.01,02-Sep-2024,1278.66,5.46,1432.87,-6.36,23-Sep-2024,1341.69,4.82,24-Sep-2024,1341.69,639,0.69,-47.6,-4.2
THERMAX,23-Mar-2020,677.75,37.83,13-Jan-2021,1028.55,7.27,1335.6,-9.65,04-Feb-2021,1206.75,29.55,05-Feb-2021,1207.0,3973,0.69,61.86,12.74
ACC,28-Mar-2023,1613.95,39.52,05-Jan-2024,2467.65,10.52,2747.7,-9.27,29-Jan-2024,2492.9,4.9,30-Jan-2024,2508.0,4710,0.69,-20.18,-4.74
DYNAMATECH,17-Mar-2025,5738.9,34.31,13-Oct-2025,8180.0,6.12,8937.7,-5.23,04-Nov-2025,8470.0,6.57,06-Nov-2025,8538.0,4604,0.69,34.69,-0.7
BAYERCROP,13-Feb-2025,4369.05,30.72,09-Jun-2025,6114.0,11.89,6956.5,-9.52,30-Jun-2025,6294.5,4.7,01-Jul-2025,6270.0,3826,0.68,-33.44,-9.45
INSECTICID,12-Nov-2013,92.75,47.03,23-Jul-2014,204.35,5.99,204.35,10.18,14-Aug-2014,225.15,10.98,18-Aug-2014,228.45,1782,0.68,12.26,59.4
TTKPRESTIG,21-May-2018,476.25,34.07,21-Nov-2018,641.2,11.18,722.4,-8.04,13-Dec-2018,664.3,4.64,14-Dec-2018,660.1,3440,0.68,-12.29,-1.75
COFORGE,29-Aug-2016,78.0,31.28,19-Jun-2017,116.5,4.72,124.5,-5.62,11-Jul-2017,117.5,5.46,12-Jul-2017,117.0,3090,0.68,94.44,-10.68
EIDPARRY,28-Mar-2023,439.15,33.66,04-Jan-2024,591.7,5.04,662.0,-6.83,25-Jan-2024,616.8,3.16,29-Jan-2024,623.9,4709,0.67,26.84,-6.76
JKLAKSHMI,22-Dec-2016,335.75,34.11,09-Mar-2017,450.75,9.0,509.55,-9.54,31-Mar-2017,460.95,4.12,03-Apr-2017,465.0,2661,0.67,-5.48,0.98
THOMASCOOK,20-Jun-2022,55.0,37.89,21-Nov-2022,78.3,7.09,88.55,-5.99,12-Dec-2022,83.25,20.82,13-Dec-2022,84.25,751,0.67,75.37,-15.73
VSTTILLERS,04-Mar-2025,3157.81,39.88,21-Jul-2025,4764.01,7.14,5252.28,-8.85,11-Aug-2025,4787.62,18.22,12-Aug-2025,4905.77,3482,0.66,-8.82,13.54
INDIACEM,27-Feb-2025,246.65,35.17,13-May-2025,337.45,6.02,380.45,-7.56,03-Jun-2025,351.7,6.08,04-Jun-2025,347.55,5044,0.66,6.98,-11.91
BRITANNIA,20-Dec-2024,4698.1,27.12,12-Aug-2025,5908.0,10.25,6446.05,-5.63,04-Sep-2025,6083.0,3.52,05-Sep-2025,6066.0,5570,0.66,-16.52,-3.79
