date,baseline,vwap,htf,rsi50,cpr,bb,confluence,fast_pair
2024-03-18,-637.54,-637.54,-353.50,-4732.31,0.00,1087.77,-2085.07,-5020.73
2024-03-19,-9713.38,-9713.38,-11515.79,-9954.95,-9422.67,-9713.38,-5400.29,643.00
2024-03-20,-11457.92,-11457.92,-4183.73,-11457.92,-8439.94,-11457.92,-4183.73,-5316.49
2024-03-21,-2105.64,-2105.64,-1955.79,-2105.64,-1955.79,-2105.64,-1955.79,-6185.06
2024-03-22,-2039.02,-2039.02,2082.06,-2039.02,-2039.02,-2039.02,2082.06,3581.08
2024-03-26,-2831.63,-2831.63,-2092.56,-2831.63,-784.23,-2831.63,-2092.56,-839.22
2024-03-27,-1264.10,-1264.10,-1854.97,-1264.10,-1665.51,-1264.10,-1854.97,-5410.78
2024-03-28,-723.95,-723.95,2479.62,-723.95,816.58,-723.95,2479.62,-3807.10
2024-04-01,-6.21,-6.21,-2274.66,-6.21,-661.31,-6.21,-2274.66,906.36
2024-04-02,-3944.90,-3944.90,-1150.48,-3944.90,-2406.50,-3944.90,-1150.48,98.38
2024-04-03,-6416.89,-4821.53,693.58,-6416.89,-6498.24,-6416.89,693.58,2030.35
2024-04-04,3421.04,3421.04,533.22,3421.04,4208.05,3421.04,533.22,8405.68
2024-04-05,-3194.54,-3194.54,-3357.98,-3194.54,3913.06,-3194.54,-3357.98,-2773.02
2024-04-09,-3296.27,-3296.27,1360.50,-3296.27,-4665.77,-3296.27,1360.50,-1789.55
2024-04-10,-5367.23,-5367.23,-2415.91,-5367.23,-4275.16,-5367.23,-2069.03,-2969.96
2024-04-12,-8688.08,-8688.08,-3789.32,-8688.08,-11859.46,-8688.08,-3789.32,-13386.49
2024-04-15,-6065.36,-6065.36,-1051.07,-6065.36,-4976.79,-6065.36,936.13,-5720.24
2024-04-18,-6402.29,-6402.29,3757.18,-6402.29,799.09,-6402.29,134.69,-2280.86
2024-04-19,4388.96,4388.96,1600.50,4388.96,4577.32,4388.96,1600.50,5661.24
2024-04-22,-5165.56,-5165.56,-2480.59,-5165.56,-1861.47,-5165.56,-2480.59,-4953.56
2024-04-23,-3763.47,-3763.47,1371.95,-3763.47,-612.05,-3763.47,736.34,-11176.55
2024-04-25,-2796.39,-2796.39,248.17,-2796.39,-2275.45,-2796.39,248.17,-3017.97
2024-04-26,89.97,89.97,-4689.82,89.97,-2262.50,89.97,-3758.96,2546.68
2024-04-29,-5286.85,-5286.85,1448.22,-5286.85,-3890.17,-5286.85,1448.22,-3686.35
2024-04-30,-7060.24,-7060.24,-3025.47,-7060.24,-7060.24,-7060.24,-3025.47,-7102.90
2024-05-03,836.43,836.43,3200.62,836.43,690.85,3033.23,3200.62,7254.11
2024-05-06,-3382.35,-7552.70,-5446.19,-3382.35,-4884.27,-3382.35,-5446.19,-11621.95
2024-05-07,-897.89,-897.89,2977.35,-897.89,2560.63,-897.89,2977.35,952.85
2024-05-08,-649.26,-649.26,-6385.23,-721.01,-482.59,-649.26,-6385.23,-11036.81
2024-05-09,-2462.75,-2462.75,-334.74,-2462.75,-135.05,-2462.75,-334.74,-9486.93
2024-05-13,-791.94,-791.94,-380.37,-791.94,172.82,-791.94,-438.76,7706.01
2024-05-14,-2007.80,-2007.80,-2007.80,-2007.80,-2668.09,-2007.80,-2007.80,-4356.19
2024-05-15,-3364.87,-3364.87,-4267.29,-3364.87,-3364.87,-3364.87,-4267.29,-12709.66
2024-05-16,-11079.85,-7771.91,-2048.70,-11079.85,-7459.64,-11079.85,1321.86,-3761.48
2024-05-17,-4644.20,-4644.20,-1328.76,-4644.20,-4642.46,-4644.20,-1328.76,-13297.79
2024-05-21,2184.17,2184.17,4464.23,2184.17,263.83,2184.17,3468.46,422.46
2024-05-22,-7682.33,-8875.64,-7761.85,-7920.42,-7550.77,-7682.33,-7761.85,-5107.48
2024-05-23,-7037.22,-7037.22,-3655.79,-7037.22,-4997.28,-7037.22,-3655.79,-8014.13
2024-05-24,-8735.68,-8735.68,-1516.35,-8735.68,-5893.08,-8735.68,-1941.11,-13906.92
2024-05-27,-804.23,-804.23,-1396.61,-804.23,2493.08,-804.23,-1396.61,-2955.75
2024-05-28,-9779.21,-9779.21,-7857.41,-9779.21,-9491.54,-9779.21,-6175.95,-3191.87
2024-05-29,-2276.87,-4650.23,-2679.62,-2276.87,183.19,-2276.87,-2679.62,-6020.31
2024-05-30,-10492.63,-8415.57,-9272.87,-10492.63,-7906.34,-10492.63,-7013.23,-12852.28
2024-05-31,-18578.16,-18584.68,-14532.77,-18578.16,-16667.72,-18578.16,-14532.77,-7563.43
2024-06-04,-3151.14,-3151.14,-4078.43,-3151.14,-3151.14,-3151.14,-4078.43,2143.50
2024-06-05,26176.82,26176.82,1764.74,22613.45,13425.11,26176.82,1764.74,7915.44
2024-06-06,-9097.23,-9097.23,-2917.91,-9097.23,-5716.01,-9097.23,-2917.91,-6937.24
2024-06-07,-5706.01,-5706.01,-5723.62,-5787.16,-6343.07,-5706.01,-5723.62,-8320.40
2024-06-10,-5449.91,-5449.91,-3866.97,-5449.91,-5449.91,-5449.91,-3866.97,-10253.04
