variant,symbol,date,direction,entry_time,entry,stop,target,qty,atr_at_entry,exit_time,exit_price,exit_reason,gross_pnl,net_pnl
baseline,INDUSINDBK,2024-03-20,LONG,2024-03-20T12:00:00,1451.65,1446.29,1459.69,206,5.36,2024-03-20T12:35:00,1459.69,TARGET,1655.31,1205.51
baseline,INDUSINDBK,2024-03-26,SHORT,2024-03-26T13:00:00,1506.95,1509.72,1502.79,199,2.77,2024-03-26T13:00:00,1509.72,STOP,-551.48,-1001.72
baseline,INDUSINDBK,2024-04-01,SHORT,2024-04-01T13:00:00,1552.20,1555.09,1547.87,193,2.89,2024-04-01T13:10:00,1555.09,STOP,-557.63,-1007.41
baseline,INDUSINDBK,2024-04-02,LONG,2024-04-02T09:50:00,1561.90,1557.18,1568.97,192,4.72,2024-04-02T10:00:00,1568.97,TARGET,1358.29,907.44
baseline,INDUSINDBK,2024-04-04,LONG,2024-04-04T13:25:00,1535.85,1532.54,1540.82,195,3.31,2024-04-04T13:25:00,1540.82,TARGET,969.35,519.39
baseline,INDUSINDBK,2024-04-05,SHORT,2024-04-05T10:20:00,1530.30,1534.83,1523.50,196,4.53,2024-04-05T10:25:00,1534.83,STOP,-888.58,-1339.15
baseline,INDUSINDBK,2024-04-09,SHORT,2024-04-09T13:40:00,1553.85,1556.83,1549.38,193,2.98,2024-04-09T13:45:00,1549.38,TARGET,863.18,413.98
baseline,INDUSINDBK,2024-04-10,LONG,2024-04-10T09:50:00,1562.40,1558.18,1568.73,192,4.22,2024-04-10T09:50:00,1558.18,STOP,-810.63,-1259.99
baseline,INDUSINDBK,2024-04-12,LONG,2024-04-12T10:55:00,1559.55,1556.13,1564.67,192,3.42,2024-04-12T12:15:00,1556.13,STOP,-655.88,-1104.53
baseline,INDUSINDBK,2024-04-19,LONG,2024-04-19T12:50:00,1480.95,1476.38,1487.81,202,4.57,2024-04-19T13:35:00,1476.38,STOP,-923.71,-1371.74
baseline,INDUSINDBK,2024-04-22,SHORT,2024-04-22T12:45:00,1480.25,1483.92,1474.75,202,3.67,2024-04-22T14:00:00,1474.75,TARGET,1111.36,663.68
baseline,INDUSINDBK,2024-04-23,LONG,2024-04-23T12:40:00,1480.35,1478.30,1483.43,202,2.05,2024-04-23T13:10:00,1478.30,STOP,-414.60,-862.83
baseline,INDUSINDBK,2024-04-25,LONG,2024-04-25T10:05:00,1483.50,1480.02,1488.72,202,3.48,2024-04-25T10:15:00,1488.72,TARGET,1054.05,603.76
baseline,INDUSINDBK,2024-04-26,SHORT,2024-04-26T10:20:00,1481.40,1487.34,1472.50,202,5.94,2024-04-26T10:30:00,1472.50,TARGET,1798.55,1351.04
baseline,INDUSINDBK,2024-04-29,LONG,2024-04-29T10:05:00,1474.50,1469.60,1481.85,203,4.90,2024-04-29T10:20:00,1481.85,TARGET,1491.95,1041.85
baseline,INDUSINDBK,2024-05-03,SHORT,2024-05-03T10:45:00,1507.40,1512.03,1500.45,199,4.63,2024-05-03T11:20:00,1500.45,TARGET,1382.20,933.28
baseline,INDUSINDBK,2024-05-06,SHORT,2024-05-06T13:00:00,1492.65,1495.82,1487.89,200,3.17,2024-05-06T13:30:00,1487.89,TARGET,951.23,504.15
baseline,INDUSINDBK,2024-05-09,SHORT,2024-05-09T10:30:00,1435.00,1439.20,1428.71,209,4.20,2024-05-09T10:40:00,1428.71,TARGET,1315.41,866.53
baseline,INDUSINDBK,2024-05-15,SHORT,2024-05-15T10:40:00,1415.60,1419.58,1409.62,211,3.98,2024-05-15T11:00:00,1419.58,STOP,-840.76,-1289.43
baseline,INDUSINDBK,2024-05-17,LONG,2024-05-17T10:15:00,1401.75,1397.68,1407.85,214,4.07,2024-05-17T11:00:00,1407.85,TARGET,1306.20,855.26
baseline,INDUSINDBK,2024-05-24,SHORT,2024-05-24T10:25:00,1431.10,1435.36,1424.70,209,4.26,2024-05-24T11:15:00,1435.36,STOP,-891.36,-1340.68
