label,start,end,entry,cadence,rank,slots,buffer,state,k,tv_floor,mask,mask_missing,exits,index_gate,gate_action,fill,cost_bps,tax,cash_yield,max_position_pct,n_paths,path_kind,cagr_gross,cagr_net,cagr_net_tax,cagr_net_tax_min,cagr_net_tax_max,cagr_net_tax_worstpath,maxdd,maxdd_worst,calmar,sharpe,trades_per_yr,win_rate,avg_win_pct,avg_loss_pct,expectancy_net_pct,max_losing_streak,turnover_x_nav_yr,avg_pct_invested,capacity_ratio,n_trades,final_x,yearly
SMOKE_r158mask_k90_N15,2024-08-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,/home/arun/quantifyd/research/158_oa_arming_width/results/fund_mask_strict.npz,fail,none,none,block_new,next_open,25.0,True,0.05,0.3,1,offset,12.64,9.58,8.68,8.68,8.68,8.68,-29.69,-29.69,0.29,0.27,63.1,48.1,17.0,-10.48,2.742,9,3.55,84.0,0.0014,133,1.19,"{""2024"": [15.76, -9.16], ""2025"": [-12.22, -29.69], ""2026"": [17.26, -25.25]}"
LA_next_open,2024-08-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,/home/arun/quantifyd/research/158_oa_arming_width/results/fund_mask_strict.npz,fail,none,none,block_new,next_open,25.0,True,0.05,0.3,1,offset,12.64,9.58,8.68,8.68,8.68,8.68,-29.69,-29.69,0.29,0.27,63.1,48.1,17.0,-10.48,2.742,9,3.55,84.0,0.0014,133,1.19,"{""2024"": [15.76, -9.16], ""2025"": [-12.22, -29.69], ""2026"": [17.26, -25.25]}"
LA_same_close,2024-08-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,/home/arun/quantifyd/research/158_oa_arming_width/results/fund_mask_strict.npz,fail,none,none,block_new,same_close,25.0,True,0.05,0.3,1,offset,11.53,9.36,8.49,8.49,8.49,8.49,-28.24,-28.24,0.3,0.27,63.1,45.9,17.49,-9.95,2.636,9,3.55,84.4,0.0014,133,1.19,"{""2024"": [14.02, -9.4], ""2025"": [-10.34, -28.24], ""2026"": [16.42, -24.07]}"
MONO_cost0,2010-01-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,,fail,none,none,block_new,next_open,0.0,True,0.05,0.3,1,offset,34.84,34.84,29.15,29.15,29.15,29.15,-59.03,-59.03,0.49,0.79,82.9,46.1,29.11,-11.24,7.344,21,5.81,98.5,0.0607,1383,71.32,"{""2010"": [21.62, -22.07], ""2011"": [-9.6, -27.96], ""2012"": [45.56, -25.76], ""2013"": [1.13, -17.41], ""2014"": [122.69, -11.63], ""2015"": [15.72, -21.87], ""2016"": [-15.54, -30.55], ""2017"": [340.39, -21.85], ""2018"": [-41.17, -47.44], ""2019"": [4.99, -49.64], ""2020"": [69.28, -59.03], ""2021"": [115.38, -19.41], ""2022"": [-22.2, -47.56], ""2023"": [52.48, -40.75], ""2024"": [67.21, -15.74], ""2025"": [-20.1, -37.21], ""2026"": [28.81, -37.8]}"
MONO_cost25,2010-01-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,,fail,none,none,block_new,next_open,25.0,True,0.05,0.3,1,offset,34.84,30.58,26.36,26.36,26.36,26.36,-61.43,-61.43,0.43,0.72,82.7,45.3,29.05,-11.41,6.918,21,5.79,98.6,0.0512,1380,49.55,"{""2010"": [18.62, -22.36], ""2011"": [-10.93, -28.67], ""2012"": [42.06, -27.0], ""2013"": [1.52, -16.86], ""2014"": [118.73, -11.66], ""2015"": [13.33, -21.85], ""2016"": [-17.54, -31.28], ""2017"": [332.67, -22.38], ""2018"": [-42.97, -48.93], ""2019"": [2.4, -51.93], ""2020"": [64.69, -61.43], ""2021"": [110.02, -19.53], ""2022"": [-24.35, -48.3], ""2023"": [48.65, -42.71], ""2024"": [64.4, -15.92], ""2025"": [-22.29, -37.76], ""2026"": [26.67, -40.06]}"
MONO_cost40,2010-01-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,,fail,none,none,block_new,next_open,40.0,True,0.05,0.3,1,offset,34.84,29.43,24.8,24.8,24.8,24.8,-62.8,-62.8,0.39,0.68,82.4,44.5,29.33,-11.54,6.633,21,5.76,98.5,0.0464,1374,40.27,"{""2010"": [16.83, -22.53], ""2011"": [-11.79, -29.1], ""2012"": [40.53, -28.13], ""2013"": [0.77, -17.36], ""2014"": [118.83, -11.67], ""2015"": [11.95, -21.85], ""2016"": [-18.73, -31.87], ""2017"": [328.11, -23.88], ""2018"": [-44.02, -49.8], ""2019"": [0.88, -53.26], ""2020"": [62.0, -62.8], ""2021"": [106.92, -19.59], ""2022"": [-25.59, -48.73], ""2023"": [46.41, -43.85], ""2024"": [63.94, -16.03], ""2025"": [-23.65, -38.15], ""2026"": [25.39, -41.43]}"
MONO_cost60,2010-01-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,,fail,none,none,block_new,next_open,60.0,True,0.05,0.3,1,offset,34.84,26.58,22.58,22.58,22.58,22.58,-64.77,-64.77,0.35,0.63,82.1,43.7,29.26,-11.74,6.172,30,5.74,98.6,0.0398,1369,29.86,"{""2010"": [14.49, -22.77], ""2011"": [-13.15, -29.82], ""2012"": [39.15, -29.34], ""2013"": [0.18, -17.62], ""2014"": [115.47, -11.7], ""2015"": [10.0, -21.85], ""2016"": [-20.18, -32.65], ""2017"": [322.1, -25.77], ""2018"": [-45.72, -51.25], ""2019"": [-1.13, -55.26], ""2020"": [58.51, -64.77], ""2021"": [103.15, -21.08], ""2022"": [-27.2, -49.32], ""2023"": [44.46, -45.34], ""2024"": [60.43, -16.15], ""2025"": [-25.25, -38.5], ""2026"": [23.73, -43.06]}"
BASE_nearATH_k90_N15_rs_mo_12off,2010-01-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,,fail,none,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,30.39,26.95,23.15,19.12,27.61,19.12,-53.22,-61.43,0.42,0.74,82.9,45.3,27.72,-11.42,6.171,20,5.73,98.2,0.0385,1383,32.27,"{""2010"": [20.51, -25.01], ""2011"": [-16.81, -34.88], ""2012"": [35.81, -34.91], ""2013"": [1.01, -26.55], ""2014"": [122.3, -12.71], ""2015"": [12.21, -25.05], ""2016"": [-0.08, -30.77], ""2017"": [129.62, -22.02], ""2018"": [-32.04, -42.41], ""2019"": [7.99, -41.91], ""2020"": [64.08, -48.91], ""2021"": [128.83, -19.21], ""2022"": [-25.95, -47.98], ""2023"": [57.09, -45.0], ""2024"": [57.05, -19.08], ""2025"": [-22.05, -38.26], ""2026"": [12.68, -46.91]}"
BASE_randomnull_N15_mo_30seed,2010-01-01,2026-09-10,rebalance,monthly,random,15,1.5,near,0.9,2.0,,fail,none,none,block_new,next_open,25.0,True,0.05,0.3,30,seed,22.34,16.8,13.81,10.19,17.96,10.19,-44.84,-55.56,0.32,0.53,142.7,50.9,11.28,-7.84,1.892,23,10.36,98.4,0.0098,2380,8.65,"{""2010"": [18.71, -13.99], ""2011"": [-18.18, -25.98], ""2012"": [27.25, -26.27], ""2013"": [7.56, -16.89], ""2014"": [46.36, -8.83], ""2015"": [1.95, -18.55], ""2016"": [3.62, -25.39], ""2017"": [58.18, -14.07], ""2018"": [-28.77, -34.75], ""2019"": [8.68, -36.15], ""2020"": [28.91, -44.84], ""2021"": [61.92, -11.75], ""2022"": [-5.11, -29.16], ""2023"": [51.25, -17.25], ""2024"": [23.18, -14.68], ""2025"": [-14.75, -29.34], ""2026"": [14.5, -30.01]}"
BASE_ew_holdforever_top250,2010-01-01,2026-09-10,first_qualify,monthly,tv_desc,250,1.5,near,0.0,2.0,,fail,none,none,block_new,next_open,25.0,True,0.05,0.3,1,seed,12.34,12.22,12.22,12.22,12.22,12.22,-48.48,-48.48,0.25,0.47,15.3,76.1,800.03,-63.58,593.443,3,0.0,100.0,0.0004,255,6.84,"{""2010"": [9.26, -16.59], ""2011"": [-32.91, -40.58], ""2012"": [37.47, -39.97], ""2013"": [-2.99, -36.93], ""2014"": [56.46, -24.57], ""2015"": [12.62, -13.28], ""2016"": [4.89, -20.02], ""2017"": [50.17, -7.3], ""2018"": [-13.81, -22.78], ""2019"": [-3.04, -28.81], ""2020"": [26.01, -48.48], ""2021"": [53.4, -8.44], ""2022"": [-2.54, -21.27], ""2023"": [34.66, -16.58], ""2024"": [15.33, -12.31], ""2025"": [1.64, -21.49], ""2026"": [1.41, -19.93]}"
SPEED_first_qualify_k90_N15,2010-01-01,2026-09-10,first_qualify,monthly,rs,15,1.5,near,0.9,2.0,,fail,sma_trail:50,none,block_new,next_open,25.0,True,0.05,0.3,1,seed,20.05,15.14,12.78,12.78,12.78,12.78,-54.78,-54.78,0.23,0.44,146.6,33.2,20.14,-6.65,2.254,25,8.47,96.6,0.0228,2446,7.44,"{""2010"": [16.85, -16.35], ""2011"": [-17.96, -28.3], ""2012"": [45.12, -29.19], ""2013"": [1.39, -22.5], ""2014"": [118.02, -7.52], ""2015"": [16.12, -23.41], ""2016"": [-22.38, -28.71], ""2017"": [61.62, -26.28], ""2018"": [-36.66, -41.84], ""2019"": [9.66, -45.82], ""2020"": [54.0, -46.94], ""2021"": [88.54, -10.42], ""2022"": [-23.91, -41.62], ""2023"": [22.5, -47.66], ""2024"": [8.67, -23.54], ""2025"": [-27.64, -41.55], ""2026"": [12.34, -54.78]}"
LA_shift1,2024-08-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,/home/arun/quantifyd/research/158_oa_arming_width/results/fund_mask_strict.npz,fail,none,none,block_new,next_open,25.0,True,0.05,0.3,1,offset,15.01,12.86,11.34,11.34,11.34,11.34,-25.77,-25.77,0.44,0.39,63.1,43.6,20.93,-10.14,3.409,9,3.6,87.4,0.0015,133,1.25,"{""2024"": [16.4, -9.48], ""2025"": [-2.15, -25.77], ""2026"": [10.09, -17.47]}"
DATALEG_arun_strict_fail,2010-01-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks/arun_strict.npz,fail,none,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,6.31,6.28,6.1,5.68,6.26,5.68,-6.8,-10.64,0.91,0.41,1.0,57.1,53.82,-15.47,23.005,3,0.1,3.8,0.0002,16,2.69,"{""2010"": [5.11, 0.0], ""2011"": [5.02, 0.0], ""2012"": [5.11, 0.0], ""2013"": [5.08, 0.0], ""2014"": [5.0, 0.0], ""2015"": [5.04, 0.0], ""2016"": [5.02, 0.0], ""2017"": [5.04, 0.0], ""2018"": [5.0, 0.0], ""2019"": [5.14, -0.34], ""2020"": [11.21, -2.06], ""2021"": [15.77, -3.05], ""2022"": [1.19, -3.23], ""2023"": [8.0, -0.54], ""2024"": [9.75, -2.0], ""2025"": [-0.24, -6.8], ""2026"": [6.21, -3.29]}"
DATALEG_arun_strict_pass,2010-01-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks/arun_strict.npz,pass,none,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,13.68,12.74,11.37,9.53,13.23,9.53,-53.11,-58.58,0.21,0.43,27.4,48.5,27.11,-10.53,7.093,18,1.12,66.7,0.0091,457,6.03,"{""2010"": [20.51, -25.01], ""2011"": [-16.81, -34.88], ""2012"": [35.81, -34.91], ""2013"": [1.01, -26.55], ""2014"": [122.3, -12.71], ""2015"": [10.73, -20.13], ""2016"": [2.67, -36.51], ""2017"": [71.53, -12.34], ""2018"": [-33.54, -42.84], ""2019"": [-18.66, -53.11], ""2020"": [6.75, -49.44], ""2021"": [15.76, -43.19], ""2022"": [1.19, -35.56], ""2023"": [8.0, -33.52], ""2024"": [9.75, -28.2], ""2025"": [-1.92, -27.71], ""2026"": [28.54, -29.62]}"
