,offset0,offset1,offset2,offset3,offset4,offset5,offset6,offset7,offset8,offset9,offset10,offset11
2018-08-01,10001984.126984127,10001984.126984127,10001984.126984127,10001984.126984127,10001984.126984127,10001984.126984127,10001984.126984127,10001984.126984127,10001984.126984127,10001984.126984127,10001984.126984127,10001984.126984127
2018-08-02,9916055.0,10003968.647644242,10003968.647644242,10003968.647644242,10003968.647644242,10003968.647644242,10003968.647644242,10003968.647644242,10003968.647644242,10003968.647644242,10003968.647644242,10003968.647644242
2018-08-03,9963201.0,9988260.0,10005953.562058458,10005953.562058458,10005953.562058458,10005953.562058458,10005953.562058458,10005953.562058458,10005953.562058458,10005953.562058458,10005953.562058458,10005953.562058458
2018-08-06,9962271.0,9999009.0,9960849.0,10007938.870304897,10007938.870304897,10007938.870304897,10007938.870304897,10007938.870304897,10007938.870304897,10007938.870304897,10007938.870304897,10007938.870304897
2018-08-07,9950056.0,9954089.0,9944094.0,9909790.0,10009924.572461704,10009924.572461704,10009924.572461704,10009924.572461704,10009924.572461704,10009924.572461704,10009924.572461704,10009924.572461704
2018-08-08,10074477.0,10086979.0,10086657.0,10023268.0,10121743.0,10011910.668607034,10011910.668607034,10011910.668607034,10011910.668607034,10011910.668607034,10011910.668607034,10011910.668607034
2018-08-09,10114119.0,10138679.0,10106146.0,10068638.0,10160000.0,9985330.0,10013897.158819059,10013897.158819059,10013897.158819059,10013897.158819059,10013897.158819059,10013897.158819059
2018-08-10,10037937.0,10067062.0,10035506.0,10010176.0,10106703.0,9906217.0,9937885.0,10015884.043175967,10015884.043175967,10015884.043175967,10015884.043175967,10015884.043175967
2018-08-13,10039942.0,10065251.0,10008887.0,10001284.0,10078211.0,9836479.0,9875654.0,10010284.0,10017871.321755962,10017871.321755962,10017871.321755962,10017871.321755962
2018-08-14,10152323.0,10182873.0,10150381.0,10128935.0,10201397.0,9975887.0,10005849.0,10130849.0,10085709.0,10019858.994637264,10019858.994637264,10019858.994637264
2018-08-16,10211171.0,10220961.0,10124862.0,10109090.0,10180737.0,9948426.0,9939444.0,10081992.0,10035890.0,9972203.0,10021847.061898105,10021847.061898105
2018-08-17,10329583.0,10336771.0,10241426.0,10205297.0,10274935.0,10064484.0,10060518.0,10194533.0,10149097.0,10100189.0,10088162.0,10023835.523616735
2018-08-20,10282333.0,10229758.0,10133271.0,10114419.0,10166123.0,9960459.0,9966811.0,10091174.0,10042344.0,10067251.0,10037314.0,9909699.0
2018-08-21,10312409.0,10259869.0,10150908.0,10168266.0,10193015.0,9949556.0,9960983.0,10125619.0,10075789.0,10126737.0,10101793.0,9975772.0
2018-08-23,10276254.0,10187252.0,10084714.0,10096203.0,10098841.0,9855916.0,9854974.0,10016610.0,9964668.0,10079956.0,10055053.0,9928056.0
2018-08-24,10212701.0,10177468.0,10068658.0,10099805.0,10090364.0,9817557.0,9808502.0,9975297.0,9923151.0,10001658.0,9968349.0,9842194.0
