symbol,entry_date,exit_date,entry_px,exit_px,qty,reason,held_days,ret_net_pct
KEI,2018-08-02,2018-09-04,437.5,426.0,1529,rebalance_out,33,-3.11
GRAPHITE,2018-08-02,2018-10-03,1038.0,856.4,652,rebalance_out,62,-17.91
VIPIND,2018-08-02,2018-10-03,486.0,414.0,1373,rebalance_out,62,-15.24
BAJFINANCE,2018-08-02,2018-10-03,271.5,220.0,2451,rebalance_out,62,-19.37
ABBOTINDIA,2018-08-02,2018-10-03,7699.9,7700.0,86,rebalance_out,62,-0.5
SONATSOFTW,2018-08-02,2018-10-03,133.5,134.6,5013,rebalance_out,62,0.32
TATAELXSI,2018-08-02,2018-10-03,1431.0,1166.25,464,rebalance_out,62,-18.91
DMART,2018-08-02,2018-10-03,1676.0,1340.0,399,rebalance_out,62,-20.45
ASTRAL,2018-08-02,2018-10-03,493.4,435.0,1343,rebalance_out,62,-12.28
UNOMINDA,2018-08-02,2018-10-03,205.0,172.45,3234,rebalance_out,62,-16.3
TITAN,2018-08-02,2018-10-03,915.0,811.5,726,rebalance_out,62,-11.75
PAGEIND,2018-08-02,2018-11-02,29900.0,28998.95,22,rebalance_out,92,-3.5
HDFCBANK,2018-08-02,2018-11-02,538.4,481.5,1235,rebalance_out,92,-11.01
LTTS,2018-08-02,2018-12-04,1427.0,1540.2,448,rebalance_out,124,7.39
TECHM,2018-08-02,2019-07-02,639.1,662.0,1039,rebalance_out,334,3.07
VMART,2018-09-04,2018-10-03,821.7,640.0,811,rebalance_out,29,-22.5
ICICIGI,2018-11-02,2019-07-02,854.8,1108.85,709,rebalance_out,242,29.07
AUROPHARMA,2018-12-04,2019-01-02,802.0,729.0,744,rebalance_out,29,-9.56
ABBOTINDIA,2018-12-04,2019-01-02,7800.0,7580.0,77,rebalance_out,29,-3.31
NEWGEN,2018-12-04,2019-01-02,155.11,139.46,3838,rebalance_out,29,-10.54
SCHAEFFLER,2018-12-04,2019-02-04,1060.3,1079.35,566,rebalance_out,62,1.29
ASTRAL,2018-12-04,2019-08-02,469.45,560.35,1274,rebalance_out,241,18.77
TITAN,2018-12-04,2019-08-02,935.0,1062.0,640,rebalance_out,241,13.02
HDFCBANK,2018-12-04,2019-08-02,526.4,552.8,1134,rebalance_out,241,4.49
DMART,2019-01-02,2019-02-04,1589.4,1445.0,376,rebalance_out,33,-9.54
LTTS,2019-01-02,2019-03-05,1714.95,1551.0,348,rebalance_out,62,-10.01
MUTHOOTFIN,2019-01-02,2020-04-03,513.5,606.0,1167,rebalance_out,457,17.43
ABBOTINDIA,2019-02-04,2019-03-05,8070.0,7400.0,73,rebalance_out,29,-8.76
TTKPRESTIG,2019-03-05,2019-05-03,666.5,677.6,900,rebalance_out,59,1.16
UPL,2019-03-05,2019-08-02,558.15,554.45,1079,rebalance_out,150,-1.16
MANAPPURAM,2019-03-05,2019-08-02,115.45,115.15,5212,rebalance_out,150,-0.76
RELAXO,2019-04-02,2019-05-03,410.0,448.2,1546,rebalance_out,31,8.77
SCHAEFFLER,2019-04-02,2019-05-03,1104.6,1068.15,574,rebalance_out,31,-3.78
BAJFINANCE,2019-04-02,2019-08-02,302.5,319.0,2096,rebalance_out,122,4.93
SHREECEM,2019-04-02,2019-08-02,18796.0,19999.0,33,rebalance_out,122,5.87
LTTS,2019-04-02,2019-08-02,1623.8,1460.0,390,rebalance_out,122,-10.54
AUROPHARMA,2019-05-03,2019-06-04,798.8,650.0,804,rebalance_out,32,-19.03
METROPOLIS,2019-05-03,2019-07-02,236.3,237.0,2715,rebalance_out,60,-0.2
NESTLEIND,2019-05-03,2020-10-05,532.5,799.9,1214,rebalance_out,521,49.47
KEI,2019-06-04,2019-08-02,510.05,436.05,1097,rebalance_out,59,-14.93
BLUESTARCO,2019-07-02,2019-08-02,384.0,333.5,1726,rebalance_out,31,-13.58
ADANIPORTS,2019-07-02,2019-08-02,413.0,368.5,280,rebalance_out,31,-11.22
SBILIFE,2019-07-02,2020-02-03,740.0,895.0,901,rebalance_out,216,20.34
ABBOTINDIA,2019-07-02,2020-07-02,8818.1,15750.0,75,rebalance_out,366,77.72
RITES,2019-08-02,2019-09-04,120.0,111.45,5008,rebalance_out,33,-7.59
GSPL,2019-08-02,2019-11-04,208.3,214.45,2851,rebalance_out,94,2.44
HDFCAMC,2019-08-02,2020-01-02,1036.5,1556.5,574,rebalance_out,153,49.42
ICICIGI,2019-08-02,2020-02-03,1136.2,1285.0,522,rebalance_out,185,12.53
HDFCLIFE,2019-08-02,2020-02-03,488.95,553.0,1233,rebalance_out,185,12.54
RELAXO,2019-08-02,2020-03-03,421.0,695.0,1409,rebalance_out,214,64.26
BERGEPAINT,2019-08-02,2020-04-03,277.2,400.1,2178,rebalance_out,245,43.62
COFORGE,2019-09-04,2019-10-03,295.0,271.5,2157,rebalance_out,29,-8.43
PETRONET,2019-09-04,2019-10-03,243.65,238.4,2601,rebalance_out,29,-2.64
LALPATHLAB,2019-09-04,2019-11-04,591.5,730.2,1070,rebalance_out,61,22.83
ASTRAL,2019-09-04,2019-12-03,587.95,627.5,1076,rebalance_out,90,6.19
IGL,2019-09-04,2020-03-03,165.1,218.0,535,rebalance_out,181,31.38
BAJFINANCE,2019-10-03,2020-03-03,398.5,440.0,1689,rebalance_out,152,9.86
DMART,2019-10-03,2020-03-03,1898.9,2228.0,277,rebalance_out,152,16.75
KEI,2019-11-04,2019-12-03,586.0,515.95,1121,rebalance_out,29,-12.39
MANAPPURAM,2019-11-04,2020-03-03,172.8,164.45,4220,rebalance_out,120,-5.31
AMRUTANJAN,2019-12-03,2020-01-02,468.0,433.25,1531,rebalance_out,30,-7.89
LALPATHLAB,2019-12-03,2020-04-03,800.0,699.5,663,rebalance_out,122,-13.0
MASFIN,2020-01-02,2020-02-03,289.0,313.65,2565,rebalance_out,32,7.99
BALRAMCHIN,2020-01-02,2020-02-03,187.25,160.0,3951,rebalance_out,32,-14.98
DIXON,2020-02-03,2020-03-03,873.0,797.6,845,rebalance_out,29,-9.09
NAVINFLUOR,2020-02-03,2020-03-03,1129.95,1422.0,665,rebalance_out,29,25.22
ALKYLAMINE,2020-02-03,2020-03-03,505.0,612.0,1456,rebalance_out,29,20.58
FINEORG,2020-02-03,2020-03-03,2250.0,2132.0,296,rebalance_out,29,-5.72
AUBANK,2020-02-03,2020-04-03,519.0,241.0,1457,rebalance_out,60,-53.8
TASTYBITE,2020-03-03,2020-04-03,12314.24,8792.31,66,rebalance_out,31,-28.96
VAIBHAVGBL,2020-03-03,2020-04-03,214.0,159.15,3639,rebalance_out,31,-26.0
ATUL,2020-03-03,2020-04-03,5249.0,3939.0,150,rebalance_out,31,-25.33
GALAXYSURF,2020-03-03,2020-04-03,1630.0,1189.95,488,rebalance_out,31,-27.36
AARTIIND,2020-03-03,2020-04-03,497.5,400.55,1614,rebalance_out,31,-19.89
SUPREMEIND,2020-03-03,2020-04-03,1300.3,840.0,594,rebalance_out,31,-35.72
ASTRAL,2020-03-03,2020-04-03,650.4,540.25,1205,rebalance_out,31,-17.35
BLUESTARCO,2020-03-03,2020-04-03,407.55,223.1,1784,rebalance_out,31,-45.53
AARTIIND,2020-05-05,2020-06-02,558.0,494.9,1138,rebalance_out,28,-11.75
GMMPFAUDLR,2020-05-05,2020-09-02,1190.55,1820.45,536,rebalance_out,120,52.15
DIXON,2020-05-05,2020-10-05,929.2,1764.25,679,rebalance_out,153,88.92
ALKYLAMINE,2020-05-05,2020-11-03,726.0,1164.0,877,rebalance_out,182,59.53
NAVINFLUOR,2020-05-05,2021-02-02,1528.1,2355.0,410,rebalance_out,273,53.34
ASTEC,2020-06-02,2020-07-02,739.05,818.85,852,rebalance_out,30,10.25
DMART,2020-06-02,2020-07-02,2309.1,2302.0,270,rebalance_out,30,-0.8
IGL,2020-06-02,2020-07-02,239.25,221.3,2649,rebalance_out,30,-7.96
ICICIGI,2020-06-02,2020-07-02,1299.95,1274.5,478,rebalance_out,30,-2.45
HCLTECH,2020-06-02,2020-07-02,559.3,555.0,986,rebalance_out,30,-1.26
MUTHOOTFIN,2020-06-02,2020-09-02,889.0,1164.9,704,rebalance_out,92,30.38
POLYMED,2020-06-02,2021-06-02,313.95,1009.95,2008,rebalance_out,365,220.09
IOLCP,2020-08-04,2020-09-02,139.65,145.43,4900,rebalance_out,29,3.62
AARTIDRUGS,2020-08-04,2020-09-02,437.5,718.5,1575,rebalance_out,29,63.41
ASTEC,2020-08-04,2020-09-02,1002.35,1080.7,691,rebalance_out,29,7.28
APLLTD,2020-08-04,2020-09-02,982.5,915.0,698,rebalance_out,29,-7.33
DEEPAKNTR,2020-08-04,2020-11-03,651.55,725.0,1064,rebalance_out,91,10.72
ESCORTS,2020-08-04,2021-01-04,1106.0,1304.85,624,rebalance_out,153,17.39
GUJENERGY,2020-08-04,2021-01-04,307.9,381.0,346,rebalance_out,153,23.12
PRIVISCL,2020-09-02,2020-10-05,546.22,559.06,1388,rebalance_out,33,1.84
ATUL,2020-09-02,2020-10-05,5970.0,6121.0,127,rebalance_out,33,2.02
FINEORG,2020-09-02,2020-10-05,2540.0,2664.0,300,rebalance_out,33,4.36
JUBLFOOD,2020-09-02,2020-11-03,427.0,435.15,1758,rebalance_out,62,1.4
COFORGE,2020-09-02,2020-11-03,379.0,427.0,1191,rebalance_out,62,12.1
ASTRAZEN,2020-09-02,2021-01-04,3610.05,4840.0,210,rebalance_out,124,33.4
APLAPOLLO,2020-09-02,2021-10-04,242.0,859.0,3149,rebalance_out,397,253.19
AARTIDRUGS,2020-10-05,2020-11-03,821.0,661.45,1025,rebalance_out,29,-19.84
THYROCARE,2020-10-05,2020-12-02,253.8,359.4,3288,rebalance_out,58,40.9
MPHASIS,2020-10-05,2021-02-02,1270.1,1455.7,650,rebalance_out,120,14.04
LALPATHLAB,2020-10-05,2021-02-02,932.5,1169.1,891,rebalance_out,120,24.75
VAIBHAVGBL,2020-10-05,2021-04-05,381.85,818.2,2176,rebalance_out,182,113.2
MUTHOOTFIN,2020-11-03,2020-12-02,1249.7,1130.0,677,rebalance_out,29,-10.03
BERGEPAINT,2020-11-03,2020-12-02,523.65,548.35,1324,rebalance_out,29,4.19
HAVELLS,2020-11-03,2021-02-02,781.6,1073.0,1072,rebalance_out,91,36.6
ASIANPAINT,2020-11-03,2021-02-02,2193.9,2460.0,385,rebalance_out,91,11.57
DIXON,2020-11-03,2021-04-05,1909.6,3599.95,440,rebalance_out,153,87.58
TATAELXSI,2020-12-02,2021-03-02,1628.0,2645.75,543,rebalance_out,90,61.7
ALKYLAMINE,2020-12-02,2021-10-04,1597.95,3805.0,557,rebalance_out,306,136.93
DEEPAKNTR,2020-12-02,2021-11-02,866.9,2317.0,1021,rebalance_out,335,165.94
ASTEC,2021-01-04,2021-02-02,1289.95,1052.45,751,rebalance_out,29,-18.82
ADFFOODS,2021-01-04,2021-07-02,123.97,173.42,7935,rebalance_out,179,39.19
CHOLAFIN,2021-01-04,2021-07-02,415.0,509.9,1,rebalance_out,179,22.25
BAJFINANCE,2021-02-02,2021-03-02,510.0,530.0,2057,rebalance_out,28,3.4
PGHL,2021-02-02,2021-03-02,6981.5,6445.5,150,rebalance_out,28,-8.14
HONAUT,2021-02-02,2021-03-02,41350.0,46599.0,12,rebalance_out,28,12.13
ASTRAL,2021-02-02,2021-04-05,989.3,1255.65,1068,rebalance_out,62,26.29
KNRCON,2021-02-02,2021-05-04,206.95,198.0,5143,rebalance_out,91,-4.8
LTTS,2021-02-02,2021-07-02,2550.0,2913.0,420,rebalance_out,150,13.67
SBICARD,2021-03-02,2021-04-05,1127.0,979.0,1087,rebalance_out,34,-13.57
PNCINFRA,2021-03-02,2021-05-04,269.6,228.5,4458,rebalance_out,63,-15.67
FILATEX,2021-03-02,2021-06-02,33.75,46.19,35842,rebalance_out,92,36.18
GUJENERGY,2021-03-02,2021-10-04,566.7,618.0,747,rebalance_out,216,8.51
SONATSOFTW,2021-04-05,2021-08-03,196.3,298.3,6216,rebalance_out,120,51.2
PRIVISCL,2021-04-05,2021-08-03,844.97,1794.91,1460,rebalance_out,120,111.36
MPHASIS,2021-04-05,2021-08-03,1661.8,2530.9,738,rebalance_out,120,51.54
TATAELXSI,2021-04-05,2021-12-02,2780.0,5913.0,442,rebalance_out,241,111.64
VAIBHAVGBL,2021-05-04,2021-06-02,870.0,834.9,1117,rebalance_out,29,-4.51
DIXON,2021-05-04,2021-08-03,4281.25,4369.85,321,rebalance_out,91,1.56
HESTERBIO,2021-06-02,2021-07-02,2730.55,2538.27,513,rebalance_out,30,-7.51
NEWGEN,2021-06-02,2021-08-03,196.13,295.73,7127,rebalance_out,62,50.03
ASTRAL,2021-06-02,2022-02-02,1400.0,1654.6,994,rebalance_out,245,17.6
POLYCAB,2021-07-02,2021-08-03,2025.0,1872.0,776,rebalance_out,32,-8.02
GUFICBIO,2021-07-02,2021-08-03,184.7,194.0,8538,rebalance_out,32,4.51
COFORGE,2021-07-02,2021-11-02,839.0,1024.0,1358,rebalance_out,123,21.44
HGINFRA,2021-07-02,2021-12-02,401.45,609.85,1,rebalance_out,153,51.15
RAJRATAN,2021-08-03,2021-09-02,517.84,396.79,3473,rebalance_out,30,-23.76
GPIL,2021-08-03,2021-09-02,83.65,56.4,20751,rebalance_out,30,-32.91
PRINCEPIPE,2021-08-03,2021-09-02,687.96,648.56,2512,rebalance_out,30,-6.2
