,offset0,offset1,offset2,offset3,offset4,offset5,offset6,offset7,offset8,offset9,offset10,offset11
2018-08-01,10001984.126984127,10001984.126984127,10001984.126984127,10001984.126984127,10001984.126984127,10001984.126984127,10001984.126984127,10001984.126984127,10001984.126984127,10001984.126984127,10001984.126984127,10001984.126984127
2018-08-02,9929617.0,10003968.647644242,10003968.647644242,10003968.647644242,10003968.647644242,10003968.647644242,10003968.647644242,10003968.647644242,10003968.647644242,10003968.647644242,10003968.647644242,10003968.647644242
2018-08-03,10012391.0,10048443.0,10005953.562058458,10005953.562058458,10005953.562058458,10005953.562058458,10005953.562058458,10005953.562058458,10005953.562058458,10005953.562058458,10005953.562058458,10005953.562058458
2018-08-06,9973358.0,9997746.0,9906436.0,10007938.870304897,10007938.870304897,10007938.870304897,10007938.870304897,10007938.870304897,10007938.870304897,10007938.870304897,10007938.870304897,10007938.870304897
2018-08-07,9960174.0,9986742.0,9902012.0,9970535.0,10009924.572461704,10009924.572461704,10009924.572461704,10009924.572461704,10009924.572461704,10009924.572461704,10009924.572461704,10009924.572461704
2018-08-08,10119115.0,10134217.0,10033257.0,10098319.0,10126993.0,10011910.668607034,10011910.668607034,10011910.668607034,10011910.668607034,10011910.668607034,10011910.668607034,10011910.668607034
2018-08-09,10259720.0,10267623.0,10156404.0,10190821.0,10217485.0,10102798.0,10013897.158819059,10013897.158819059,10013897.158819059,10013897.158819059,10013897.158819059,10013897.158819059
2018-08-10,10213843.0,10203989.0,10107064.0,10141918.0,10172086.0,10061083.0,9916299.0,10015884.043175967,10015884.043175967,10015884.043175967,10015884.043175967,10015884.043175967
2018-08-13,10265011.0,10220589.0,10112722.0,10141392.0,10171060.0,10067530.0,9918038.0,10041898.0,10017871.321755962,10017871.321755962,10017871.321755962,10017871.321755962
2018-08-14,10349243.0,10294175.0,10196991.0,10213900.0,10242163.0,10147843.0,10000946.0,10143335.0,10011934.0,10019858.994637264,10019858.994637264,10019858.994637264
2018-08-16,10390218.0,10328226.0,10171245.0,10175845.0,10203173.0,10120559.0,9956567.0,10104824.0,10048222.0,10047160.0,10021847.061898105,10021847.061898105
2018-08-17,10517950.0,10462146.0,10290112.0,10260496.0,10290165.0,10246856.0,10028144.0,10187620.0,10148290.0,10139144.0,10038033.0,10023835.523616735
2018-08-20,10498770.0,10369884.0,10210606.0,10204810.0,10232352.0,10169349.0,9954553.0,10097443.0,10048381.0,10115226.0,10014866.0,9926848.0
2018-08-21,10527563.0,10394894.0,10252722.0,10238671.0,10263431.0,10205553.0,9993891.0,10158021.0,10116338.0,10189177.0,10089420.0,10003571.0
2018-08-23,10459163.0,10270401.0,10129648.0,10118386.0,10142287.0,10085362.0,9872364.0,10061132.0,10004317.0,10135510.0,10037155.0,9951319.0
2018-08-24,10432788.0,10272589.0,10145675.0,10137866.0,10160616.0,10098905.0,9888192.0,10074906.0,10003664.0,10102083.0,10006229.0,9921329.0
2018-08-27,10645629.0,10483284.0,10349392.0,10324004.0,10344406.0,10298376.0,10068305.0,10249093.0,10192028.0,10292574.0,10194429.0,10106017.0
2018-08-28,10671659.0,10501087.0,10399218.0,10313594.0,10336436.0,10355201.0,10077337.0,10297656.0,10232768.0,10336992.0,10239003.0,10146547.0
2018-08-29,10625964.0,10458317.0,10363773.0,10286228.0,10308563.0,10319807.0,10030448.0,10245827.0,10189168.0,10291154.0,10194287.0,10101530.0
2018-08-30,10622511.0,10436990.0,10328177.0,10228326.0,10251453.0,10287748.0,9986584.0,10234654.0,10162908.0,10280314.0,10183949.0,10089873.0
2018-08-31,10714810.0,10572357.0,10475761.0,10339516.0,10363097.0,10437518.0,10093139.0,10353725.0,10319774.0,10390158.0,10291171.0,10192326.0
2018-09-03,10656923.0,10481846.0,10410413.0,10281240.0,10307134.0,10377786.0,10058498.0,10313818.0,10234470.0,10335048.0,10237453.0,10140836.0
2018-09-04,10571336.0,10382629.0,10267330.0,10153365.0,10178915.0,10234063.0,9947714.0,10208788.0,10128809.0,10244875.0,10146114.0,10051287.0
2018-09-05,10440392.0,10232197.0,10137381.0,10012878.0,10040805.0,10106917.0,9811936.0,10073606.0,10022444.0,10105731.0,10004985.0,9909460.0
2018-09-06,10402080.0,10181403.0,10078641.0,9938688.0,9966504.0,10023053.0,9711288.0,9976030.0,9966758.0,10046541.0,9941770.0,9843129.0
2018-09-07,10485960.0,10258117.0,10154950.0,9971589.0,10060614.0,10109847.0,9788605.0,10062204.0,10039274.0,10114559.0,10011278.0,9911847.0
2018-09-10,10333135.0,10123907.0,10023272.0,9847717.0,9921643.0,9977884.0,9662665.0,9938340.0,9911851.0,9996978.0,9893561.0,9793962.0
2018-09-11,10224620.0,10052492.0,9952416.0,9785157.0,9861270.0,9901229.0,9574130.0,9835268.0,9845185.0,9904617.0,9797535.0,9697611.0
2018-09-12,10254813.0,10036347.0,9938166.0,9778272.0,9856416.0,9888170.0,9597492.0,9830071.0,9813511.0,9911795.0,9803644.0,9707114.0
2018-09-14,10365078.0,10153145.0,10045762.0,9885692.0,9961913.0,9987865.0,9654984.0,9915274.0,9923777.0,10012546.0,9899312.0,9802301.0
2018-09-17,10374607.0,10139077.0,10028328.0,9870769.0,9948130.0,9972660.0,9610641.0,9923871.0,9926123.0,10017556.0,9900406.0,9801411.0
2018-09-18,10311948.0,10069567.0,9960919.0,9803955.0,9881749.0,9907999.0,9537656.0,9837736.0,9837508.0,9924345.0,9817727.0,9717023.0
2018-09-19,10180115.0,9952657.0,9844216.0,9697742.0,9777703.0,9795798.0,9399923.0,9758242.0,9747570.0,9819242.0,9707227.0,9596879.0
2018-09-21,10033953.0,9784664.0,9682852.0,9542129.0,9622111.0,9638546.0,9279998.0,9581343.0,9542727.0,9637940.0,9530186.0,9481689.0
2018-09-24,9742983.0,9539030.0,9439685.0,9310733.0,9390965.0,9401098.0,9002620.0,9347219.0,9338130.0,9383195.0,9276354.0,9254014.0
2018-09-25,9662749.0,9466375.0,9370397.0,9242498.0,9323791.0,9336423.0,8926521.0,9332099.0,9296181.0,9329338.0,9222660.0,9235169.0
2018-09-26,9567115.0,9406930.0,9313765.0,9184899.0,9267909.0,9283376.0,8845709.0,9274870.0,9232821.0,9230891.0,9123874.0,9139785.0
2018-09-27,9367640.0,9223919.0,9135835.0,9016209.0,9100657.0,9112452.0,8666172.0,9102901.0,9051626.0,9031878.0,8926387.0,8997035.0
2018-09-28,9344076.0,9147376.0,9063471.0,8946127.0,9032559.0,9042432.0,8618318.0,9091482.0,8982575.0,9015386.0,8910131.0,9030457.0
2018-10-01,9261056.0,9101960.0,9022442.0,8905020.0,8991239.0,9001062.0,8569036.0,9082661.0,8983041.0,8972592.0,8869858.0,9003389.0
2018-10-03,9198149.0,9042739.0,8961932.0,8846954.0,8929518.0,8935872.0,8486691.0,8994356.0,8948773.0,8932554.0,8832300.0,8909529.0
2018-10-04,8881003.0,8657415.0,8664916.0,8566757.0,8648179.0,8640370.0,8225444.5,8615155.0,8592495.0,8574104.0,8481632.0,8585730.0
2018-10-05,8741419.0,8511290.0,8489094.0,8342059.0,8422747.0,8397329.0,8002867.0,8339544.5,8344371.0,8316034.5,8225974.0,8385947.0
2018-10-08,8615474.0,8386795.5,8356554.0,8194444.0,8182881.0,8139627.5,7744149.5,8087133.5,8080057.0,8070034.5,7978211.5,8149340.0
2018-10-09,8583248.0,8355904.5,8324516.5,8134999.5,8048431.5,8109620.5,7749798.0,8062553.0,8009587.0,8042367.5,7951487.5,8175413.0
2018-10-10,8714451.0,8486477.0,8427787.0,8179591.0,8067823.0,8122457.0,8042567.5,8363002.0,8304747.0,8368482.5,8275155.0,8388114.0
2018-10-11,8448087.0,8218155.5,8181786.5,8062117.0,7994866.0,8051264.0,7811898.0,8093519.0,8082525.5,8151769.0,8061994.5,8154709.0
2018-10-12,8615211.0,8375993.5,8351816.0,8191956.0,8089855.5,8066154.0,7883488.0,8245525.5,8352378.5,8419096.0,8329791.0,8349967.0
2018-10-15,8736000.0,8493030.0,8442191.0,8266828.5,8171291.0,8093653.0,7895334.0,8270865.0,8419125.0,8640197.0,8547741.0,8523044.0
2018-10-16,8793942.0,8557184.0,8492537.0,8296457.0,8177129.0,8121949.0,7896997.0,8280485.5,8410877.0,8694965.0,8705274.0,8689739.0
2018-10-17,8653733.0,8419883.0,8347945.0,8204847.0,8092197.0,8085356.0,7830654.0,8249172.0,8371043.0,8592911.0,8558277.0,8540379.0
2018-10-19,8566922.0,8329679.5,8316134.0,8147349.0,8046096.0,8041412.0,7762642.5,8200216.0,8315330.5,8561663.0,8461265.0,8464749.0
2018-10-22,8491549.0,8244107.5,8256605.5,8105459.0,7984775.0,8047720.0,7734279.0,8188656.0,8289872.0,8475078.0,8358198.0,8385425.0
2018-10-23,8377185.5,8128632.0,8174401.0,8057108.5,7952211.0,8005859.0,7667941.0,8154607.0,8247801.0,8398159.0,8259049.0,8288184.0
2018-10-24,8297023.0,8043665.0,8119330.5,8024310.0,7913956.5,8003780.0,7656645.0,8148514.0,8243892.0,8331713.5,8185279.5,8216752.5
2018-10-25,8265234.5,8016222.5,8100787.5,7996018.0,7892579.0,7960946.5,7612747.0,8112960.0,8213000.5,8324770.5,8174919.0,8195320.0
2018-10-26,8334034.5,8089200.0,8164601.0,8015116.0,7937840.0,7950208.0,7582013.0,8111306.0,8189603.0,8350569.0,8191651.0,8234551.5
2018-10-29,8475582.0,8241632.5,8294539.0,8073891.0,7989567.0,7970733.5,7648823.0,8148097.0,8229551.5,8475337.0,8366418.0,8379148.0
2018-10-30,8476926.0,8246151.5,8287839.5,8097244.0,8019079.0,7982730.0,7675513.5,8168233.0,8256608.5,8510074.0,8419917.0,8414569.0
2018-10-31,8712170.0,8488511.0,8481748.0,8243772.5,8116729.0,8062897.5,7847352.0,8258083.5,8409748.0,8658722.0,8604329.0,8545936.0
2018-11-01,8681450.0,8454689.0,8446414.0,8239428.0,8131413.0,8036275.5,7841437.5,8252144.0,8407976.0,8724269.0,8717910.0,8627007.0
2018-11-02,8610249.0,8407726.0,8412010.0,8196806.0,8072198.0,8018993.0,7815980.0,8230456.0,8395888.0,8662491.0,8633753.0,8532571.0
2018-11-05,8571360.0,8337398.5,8439516.0,8204775.0,8091020.0,8029626.0,7835302.5,8249453.0,8413880.0,8671261.0,8641774.0,8551874.0
2018-11-06,8552124.0,8309664.5,8375732.5,8172995.0,8082813.0,8027367.0,7821197.0,8247341.0,8395264.0,8658241.0,8629048.0,8546728.0
2018-11-07,8552124.0,8309664.5,8375732.5,8173531.5,8083548.0,8028336.0,7821695.5,8248326.0,8396124.0,8658750.0,8629090.0,8546905.0
2018-11-09,8625917.0,8302665.5,8413905.0,8200967.5,8166878.5,8062415.0,7918309.0,8340310.0,8466381.0,8753560.0,8759205.0,8703876.0
2018-11-12,8610768.0,8237131.5,8413507.0,8190389.0,8149252.0,8003139.0,7881938.0,8316836.0,8445351.0,8721726.0,8682042.0,8668720.0
2018-11-13,8580824.0,8203004.5,8369637.5,8181575.0,8129921.0,7978733.5,7844351.0,8310843.5,8461028.0,8714402.0,8634011.0,8623956.0
2018-11-14,8630545.0,8237500.0,8362946.0,8166869.5,8155328.0,7993144.0,7857292.5,8299381.0,8513497.0,8753622.0,8751481.0,8653177.0
2018-11-15,8691500.0,8273428.0,8414763.0,8194403.0,8165198.0,8019198.0,7906256.5,8348827.0,8522558.0,8750112.0,8758696.0,8658373.0
2018-11-16,8697211.0,8279036.0,8421961.0,8214567.0,8175321.5,8023711.0,7909375.0,8347334.0,8517676.0,8752793.0,8770199.0,8663930.0
