symbol,entry_date,exit_date,entry_px,exit_px,qty,reason,held_days,ret_net_pct
GRAPHITE,2018-08-02,2018-10-03,1038.0,856.4,714,rebalance_out,62,-17.91
VIPIND,2018-08-02,2018-10-03,486.0,414.0,1686,rebalance_out,62,-15.24
BAJFINANCE,2018-08-02,2018-10-03,271.5,220.0,4060,rebalance_out,62,-19.37
TATAELXSI,2018-08-02,2018-10-03,1431.0,1166.25,810,rebalance_out,62,-18.91
DMART,2018-08-02,2018-10-03,1676.0,1340.0,605,rebalance_out,62,-20.45
ASTRAL,2018-08-02,2018-10-03,493.4,435.0,2154,rebalance_out,62,-12.28
SONATSOFTW,2018-08-02,2018-11-02,133.5,117.5,4985,rebalance_out,92,-12.42
PAGEIND,2018-08-02,2018-11-02,29900.0,28998.95,40,rebalance_out,92,-3.5
ABBOTINDIA,2018-08-02,2019-01-02,7699.9,7580.0,173,rebalance_out,153,-2.05
LTTS,2018-08-02,2019-04-02,1427.0,1623.8,606,rebalance_out,243,13.22
ALKEM,2018-10-03,2018-11-02,2053.85,1914.0,392,rebalance_out,30,-7.27
THYROCARE,2018-10-03,2018-11-02,216.1,186.5,3573,rebalance_out,30,-14.13
AUROPHARMA,2018-10-03,2019-01-02,774.0,729.0,887,rebalance_out,91,-6.28
TECHM,2018-10-03,2019-06-04,722.8,715.2,1204,rebalance_out,244,-1.54
HDFCBANK,2018-10-03,2019-08-02,507.6,552.8,3460,rebalance_out,303,8.36
GRAPHITE,2018-11-02,2018-12-04,1006.95,934.4,589,rebalance_out,32,-7.67
SCHAEFFLER,2018-11-02,2019-02-04,1038.0,1079.35,379,rebalance_out,94,3.46
TITAN,2018-11-02,2019-08-02,860.0,1062.0,965,rebalance_out,273,22.87
ASTRAL,2018-11-02,2019-09-04,460.85,587.95,1457,rebalance_out,306,26.94
ICICIGI,2018-11-02,2020-02-03,854.8,1285.0,771,rebalance_out,458,49.58
MUTHOOTFIN,2018-12-04,2019-10-03,448.3,669.4,1221,rebalance_out,303,48.57
DMART,2019-01-02,2019-04-02,1589.4,1498.3,459,rebalance_out,90,-6.2
BAJFINANCE,2019-01-02,2020-02-03,263.5,425.0,2580,rebalance_out,397,60.49
ABBOTINDIA,2019-02-04,2019-04-02,8070.0,7293.8,117,rebalance_out,57,-10.07
TTKPRESTIG,2019-04-02,2019-05-03,706.25,677.6,751,rebalance_out,31,-4.54
