,nav
2005-01-03,1000193.630506544
2005-01-04,1000387.2985058611
2005-01-05,1000581.0040052109
2005-01-06,1000774.7470118548
2005-01-07,1000968.527533055
2005-01-10,1001162.3455760758
2005-01-11,1001356.2011481825
2005-01-12,1001550.0942566418
2005-01-13,1001744.0249087219
2005-01-14,1001937.9931116924
2005-01-17,1002131.9988728242
2005-01-18,1002326.0421993899
2005-01-19,1002520.1230986632
2005-01-20,1002714.2415779193
2005-01-24,1002908.3976444349
2005-01-25,1003102.591305488
2005-01-27,1003296.822568358
2005-01-28,1003491.091440326
2005-01-31,1003685.3979286739
2005-02-01,1003879.7420406856
2005-02-02,1004074.1237836462
2005-02-03,1004268.5431648421
2005-02-04,1004463.0001915613
2005-02-07,1004657.4948710931
2005-02-08,1004852.0272107281
2005-02-09,1005046.5972177587
2005-02-10,1005241.2048994782
2005-02-11,1005435.8502631818
2005-02-14,1005630.5333161658
2005-02-15,1005825.2540657279
2005-02-16,1006020.0125191674
2005-02-17,1006214.8086837848
2005-02-18,1006409.6425668823
2005-02-21,1006604.5141757632
2005-02-22,1006799.4235177325
2005-02-23,1006279.875
2005-02-24,1007738.5625
2005-02-25,1007385.6875
2005-02-28,1010285.9375
2005-03-01,1008715.625
2005-03-02,1009892.0625
2005-03-03,1011058.75
2005-03-04,1010910.5625
2005-03-07,1012301.3125
2005-03-08,1012250.625
2005-03-09,1012141.5
2005-03-10,1014272.625
2005-03-11,1013978.5625
2005-03-14,1013908.5
2005-03-15,1013867.75
2005-03-16,1013710.0625
2005-03-17,1013727.8125
2005-03-18,1014057.25
2005-03-21,1013773.0625
2005-03-22,1011248.75
2005-03-23,1008169.25
2005-03-24,1008602.0625
2005-03-28,1008797.3125
2005-03-29,1008992.625
2005-03-30,1009187.9375
2005-03-31,1009383.3125
2005-04-01,1009578.75
2005-04-04,1009774.1875
2005-04-05,1009969.6875
2005-04-06,1010165.1875
2005-04-07,1010360.75
2005-04-08,1010556.375
2005-04-11,1010752.0
2005-04-12,1010947.6875
2005-04-13,1011143.375
2005-04-15,1011339.125
2005-04-18,1011534.9375
2005-04-19,1011730.75
2005-04-20,1011926.625
2005-04-21,1012122.5
2005-04-22,1012318.4375
2005-04-25,1012514.4375
2005-04-26,1012710.4375
2005-04-27,1012906.5
2005-04-28,1013102.625
2005-04-29,1013298.75
2005-05-02,1013494.9375
2005-05-03,1013691.125
2005-05-04,1013887.375
2005-05-05,1014083.6875
2005-05-06,1014280.0
2005-05-09,1014476.375
2005-05-10,1014672.75
2005-05-11,1014869.1875
2005-05-12,1015065.6875
2005-05-13,1015262.1875
2005-05-16,1015458.75
2005-05-17,1015655.3125
2005-05-18,1015851.9375
2005-05-19,1016048.625
2005-05-20,1016245.3125
2005-05-23,1018986.625
2005-05-24,1021071.625
2005-05-25,1018993.6875
2005-05-26,1019087.75
2005-05-27,1021422.5625
2005-05-30,1017966.8125
2005-05-31,1019460.125
2005-06-01,1022016.75
2005-06-02,1023906.625
2005-06-03,1027336.5625
2005-06-04,1027509.0
2005-06-06,1025262.3125
2005-06-07,1031464.75
2005-06-08,1030840.5
2005-06-09,1025480.875
2005-06-10,1014477.0
2005-06-13,1018439.875
2005-06-14,1021709.3125
2005-06-15,1023209.0
2005-06-16,1007177.75
2005-06-17,999057.9375
2005-06-20,995356.5625
2005-06-21,1002851.4375
2005-06-22,1005214.0
2005-06-23,1004210.6875
2005-06-24,1005874.375
2005-06-27,1008897.75
2005-06-28,990909.625
2005-06-29,1002009.75
2005-06-30,998367.8125
2005-07-01,1016713.375
2005-07-04,1039204.5
2005-07-05,1023117.0
2005-07-06,1040545.0625
2005-07-07,1005398.6875
2005-07-08,1027408.3125
2005-07-11,1031965.8125
2005-07-12,1038621.0
2005-07-13,1035333.25
2005-07-14,1028429.5625
2005-07-15,1050768.625
2005-07-18,1064643.375
2005-07-19,1076774.25
2005-07-20,1083141.125
2005-07-21,1066973.625
2005-07-22,1080152.75
2005-07-25,1080573.125
2005-07-26,1074295.875
2005-07-27,1080918.0
2005-07-29,1069160.875
2005-08-01,1074625.75
2005-08-02,1105160.875
2005-08-03,1103072.0
2005-08-04,1100716.875
2005-08-05,1112951.25
2005-08-08,1094131.25
2005-08-09,1084514.125
2005-08-10,1118781.25
2005-08-11,1121700.25
2005-08-12,1118808.0
2005-08-16,1124773.25
2005-08-17,1131036.75
