,nav
2005-01-03,1000201.1833867093
2005-01-04,1000402.4072481736
2005-01-05,1000603.6715925359
2005-01-06,1000804.9764279407
2005-01-07,1001006.3217625339
2005-01-10,1001207.7076044634
2005-01-11,1001409.1339618787
2005-01-12,1001610.6008429307
2005-01-13,1001812.1082557723
2005-01-14,1002013.6562085575
2005-01-17,1002215.2447094425
2005-01-18,1002416.8737665848
2005-01-19,1002618.5433881436
2005-01-20,1002820.25358228
2005-01-24,1003022.0043571563
2005-01-25,1003223.7957209368
2005-01-27,1003425.6276817874
2005-01-28,1003627.5002478752
2005-01-31,1003829.4134273697
2005-02-01,1004031.3672284414
2005-02-02,1004233.3616592628
2005-02-03,1004435.3967280078
2005-02-04,1004637.4724428522
2005-02-07,1004839.5888119733
2005-02-08,1005041.7458435501
2005-02-09,1005243.943545763
2005-02-10,1005446.1819267946
2005-02-11,1005648.4609948285
2005-02-14,1005850.7807580504
2005-02-15,1006053.1412246474
2005-02-16,1006255.5424028084
2005-02-17,1006457.984300724
2005-02-18,1006660.4669265862
2005-02-21,1006862.9902885888
2005-02-22,1007065.5543949272
2005-02-23,1006553.25
2005-02-24,1008019.1875
2005-02-25,1007673.5625
2005-02-28,1010581.125
2005-03-01,1009018.0625
2005-03-02,1010201.75
2005-03-03,1011375.6875
2005-03-04,1011234.75
2005-03-07,1012632.8125
2005-03-08,1012589.375
2005-03-09,1012487.5625
2005-03-10,1014626.0
2005-03-11,1014339.1875
2005-03-14,1014276.4375
2005-03-15,1014242.875
2005-03-16,1014092.5625
2005-03-17,1014117.625
2005-03-18,1014454.375
2005-03-21,1014177.5
2005-03-22,1011660.5
2005-03-23,1008588.3125
2005-03-24,1009028.875
2005-03-28,1009231.9375
2005-03-29,1009435.0
2005-03-30,1009638.125
2005-03-31,1009841.3125
2005-04-01,1010044.5
2005-04-04,1010247.75
2005-04-05,1010451.0625
2005-04-06,1010654.375
2005-04-07,1010857.75
2005-04-08,1011061.1875
2005-04-11,1011264.625
2005-04-12,1011468.125
2005-04-13,1011671.6875
2005-04-15,1011875.25
2005-04-18,1012078.875
2005-04-19,1012282.5
2005-04-20,1012486.1875
2005-04-21,1012689.9375
2005-04-22,1012893.6875
2005-04-25,1013097.5
2005-04-26,1013301.375
2005-04-27,1013505.25
2005-04-28,1013709.1875
2005-04-29,1013913.1875
2005-05-02,1014117.1875
2005-05-03,1014321.25
2005-05-04,1014525.375
2005-05-05,1014729.5
2005-05-06,1014933.6875
2005-05-09,1015137.9375
2005-05-10,1015342.1875
2005-05-11,1015546.5
2005-05-12,1015750.875
2005-05-13,1015955.25
2005-05-16,1016159.6875
2005-05-17,1016364.1875
2005-05-18,1016568.6875
2005-05-19,1016773.25
2005-05-20,1016977.875
2005-05-23,1019726.625
2005-05-24,1021819.0625
2005-05-25,1019748.5
2005-05-26,1019850.0
2005-05-27,1022190.75
2005-05-30,1018739.8125
2005-05-31,1020240.625
2005-06-01,1022805.0625
2005-06-02,1024705.875
2005-06-03,1028143.75
2005-06-04,1028323.125
2005-06-06,1026082.75
2005-06-07,1032292.25
2005-06-08,1031672.25
2005-06-09,1026314.875
2005-06-10,1015310.375
2005-06-13,1019281.25
2005-06-14,1022558.625
2005-06-15,1024061.9375
2005-06-16,1008019.625
2005-06-17,999897.625
2005-06-20,996194.75
2005-06-21,1003698.625
2005-06-22,1006064.4375
2005-06-23,1005062.5
2005-06-24,1006727.625
2005-06-27,1009756.6875
2005-06-28,991755.0
2005-06-29,1002861.8125
2005-06-30,999213.625
2005-07-01,1017575.8125
2005-07-04,1040082.5
