idle_yield,seed,cagr,maxdd,calmar,sharpe,trades,win_rate,invested_pct
0.05,1,21.47,-35.5,0.605,1.213,687,49.2,72.99
0.05,2,21.52,-32.68,0.659,1.216,683,50.4,72.88
0.05,3,21.74,-32.67,0.666,1.226,681,49.5,72.8
0.05,4,20.75,-35.98,0.577,1.179,689,49.3,72.78
0.05,5,20.86,-35.5,0.588,1.185,692,48.8,72.97
0.05,6,21.28,-32.67,0.651,1.214,687,49.3,72.96
0.05,7,19.9,-36.05,0.552,1.147,687,48.5,72.87
0.05,8,20.2,-32.75,0.617,1.159,687,48.8,72.92
0.05,9,20.9,-32.68,0.64,1.191,689,49.5,72.95
0.05,10,21.36,-32.75,0.652,1.21,682,49.0,72.91
0.05,11,20.76,-35.96,0.577,1.18,689,48.5,72.79
0.05,12,21.03,-36.96,0.569,1.188,687,48.8,72.79
0.05,13,20.41,-35.49,0.575,1.163,688,47.2,73.05
0.05,14,21.49,-35.5,0.605,1.22,686,49.3,72.94
0.05,15,21.65,-35.5,0.61,1.222,686,49.1,73.0
0.05,16,20.92,-35.5,0.589,1.189,694,48.6,72.92
0.05,17,21.39,-35.98,0.594,1.211,683,49.2,72.87
0.05,18,20.77,-36.05,0.576,1.182,688,48.7,72.73
0.05,19,19.81,-36.05,0.549,1.144,697,48.4,72.8
0.05,20,20.16,-35.96,0.561,1.154,693,48.1,72.76
0.05,21,20.87,-32.68,0.639,1.19,689,48.9,72.85
0.05,22,20.83,-36.96,0.564,1.181,687,48.5,72.79
0.05,23,20.9,-32.68,0.64,1.19,692,49.0,72.85
0.05,24,20.91,-34.94,0.599,1.185,692,48.7,72.91
0.05,25,21.21,-35.96,0.59,1.198,688,49.0,72.81
0.05,26,21.12,-34.94,0.604,1.191,692,48.6,72.8
0.05,27,21.11,-32.75,0.645,1.196,684,49.3,73.01
0.05,28,21.25,-35.5,0.599,1.209,692,49.4,72.9
0.05,29,20.95,-32.73,0.64,1.188,689,49.3,72.91
0.05,30,21.47,-35.49,0.605,1.204,687,49.1,72.96
0.052,1,21.53,-35.44,0.607,1.216,687,49.2,72.97
0.052,2,21.3,-32.59,0.654,1.209,687,50.2,72.96
0.052,3,20.36,-35.93,0.567,1.167,693,48.2,72.79
0.052,4,20.64,-32.65,0.632,1.178,690,49.0,72.91
0.052,5,20.92,-35.44,0.59,1.188,692,48.8,72.96
0.052,6,20.94,-32.58,0.643,1.197,690,49.3,73.0
0.052,7,20.03,-32.64,0.614,1.155,690,48.7,72.88
0.052,8,20.01,-36.0,0.556,1.152,688,48.5,72.82
0.052,9,20.96,-32.59,0.643,1.194,689,49.5,72.94
0.052,10,21.42,-32.65,0.656,1.213,682,49.0,72.91
0.052,11,21.13,-32.65,0.647,1.202,686,49.6,72.96
0.052,12,21.09,-36.92,0.571,1.191,687,48.8,72.78
0.052,13,20.47,-35.44,0.578,1.166,688,47.2,73.03
0.052,14,21.56,-35.44,0.608,1.223,686,49.3,72.94
0.052,15,21.72,-35.44,0.613,1.225,686,49.1,73.0
0.052,16,20.98,-35.44,0.592,1.192,694,48.6,72.91
0.052,17,21.56,-32.65,0.66,1.223,686,49.4,72.87
0.052,18,20.95,-32.59,0.643,1.19,689,48.9,72.9
0.052,19,20.46,-32.64,0.627,1.174,688,49.3,72.89
0.052,20,20.97,-32.65,0.642,1.195,686,48.7,72.94
0.052,21,20.96,-35.93,0.583,1.189,691,49.1,72.8
0.052,22,20.81,-36.92,0.564,1.18,689,48.8,72.74
0.052,23,21.12,-32.59,0.648,1.2,689,49.1,72.87
0.052,24,21.0,-35.44,0.593,1.188,693,48.5,72.86
0.052,25,20.8,-32.65,0.637,1.189,691,49.2,72.97
0.052,26,20.36,-35.44,0.575,1.16,690,48.7,72.86
0.052,27,21.2,-32.65,0.649,1.2,683,49.3,73.01
0.052,28,21.31,-35.44,0.601,1.212,692,49.4,72.89
0.052,29,21.01,-32.64,0.644,1.191,689,49.3,72.89
0.052,30,21.54,-35.44,0.608,1.207,687,49.1,72.96
