label,axis,slots,slot_pct,select,idle,cost_bps,seeds,alias,n_events,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,mult_all_med,mult_drop10_med,med_seed,secs
A_s06_eq_bps40,A,6,0.166667,random,0.05,40.0,30,,3619,21.55,20.02,24.71,-43.04,-43.04,0.501,0.465,1.004,266.0,12.3,49.7,38.88,-11.71,13.179,11.0,74.05,21.86,-40.33,21.18,-43.04,894.0,152.0,1785.5,1567.5,266.0,1465637.0,1.216,16.585,53.45,233874496.0,6379.215,10,1.7
A_s07_eq_bps40,A,7,0.142857,random,0.05,40.0,30,,3619,20.37,19.17,22.21,-40.19,-40.2,0.507,0.477,0.988,314.0,14.5,47.9,38.165,-11.73,12.403,9.0,74.54,20.49,-40.14,19.915,-40.19,826.0,112.0,1650.5,1652.5,314.0,1142338.5,0.942,11.186,48.2,1293793984.0,33613.831,4,1.8
A_s08_eq_bps40,A,8,0.125,random,0.05,40.0,30,,3619,19.71,18.39,22.09,-35.79,-35.79,0.551,0.514,0.99,363.0,16.7,46.4,38.92,-11.65,11.615,11.0,74.9,18.46,-35.79,20.88,-35.28,791.5,114.0,1589.0,1669.0,363.0,869382.5,0.805,8.742,43.5,5915968256.0,134977.09,17,1.9
A_s09_eq_bps40,A,9,0.111111,random,0.05,40.0,30,,3619,20.88,19.91,21.79,-34.4,-37.1,0.606,0.542,1.074,405.0,18.7,47.85,38.38,-11.565,12.371,11.0,75.11,19.55,-34.4,22.27,-31.36,760.5,111.0,1533.5,1680.5,405.0,926786.5,0.762,9.413,44.55,1103657074688.0,26598272.0,18,2.1
A_s10_eq_bps40,A,10,0.1,random,0.05,40.0,30,C_s10_p1000,3619,21.55,19.68,23.47,-33.7,-35.51,0.645,0.564,1.126,447.0,20.6,48.45,38.96,-11.66,12.844,11.0,75.01,19.68,-32.98,23.725,-30.69,714.0,100.0,1438.0,1732.5,447.0,858808.0,0.73,9.827,44.2,55723325128704.0,745954208.0,26,2.3
A_s11_eq_bps40,A,11,0.090909,random,0.05,40.0,30,,3619,21.61,19.67,23.28,-33.98,-34.76,0.639,0.593,1.143,487.0,22.5,48.3,38.735,-11.635,12.693,12.0,74.91,19.2,-33.985,23.24,-31.455,676.0,96.0,1371.0,1759.5,487.0,830579.5,0.635,8.165,41.15,722942400921600.0,7370406656.0,21,2.4
A_s12_eq_bps40,A,12,0.083333,random,0.05,40.0,30,,3619,20.95,19.75,22.3,-33.17,-34.62,0.629,0.585,1.143,528.5,24.35,48.1,38.42,-11.53,12.434,13.0,74.37,19.04,-33.1,23.045,-30.99,628.0,80.0,1256.5,1830.5,528.5,720132.0,0.592,6.976,40.1,5990067944292352.0,59790784512.0,18,2.6
A_s13_eq_bps40,A,13,0.076923,random,0.05,40.0,30,,3619,20.18,19.26,21.16,-33.17,-37.15,0.593,0.526,1.123,572.0,26.4,47.55,38.375,-11.85,11.962,13.0,73.83,18.41,-31.44,21.965,-33.08,558.0,60.0,1125.5,1924.0,572.0,647149.0,0.5,5.766,36.05,1.2561887598215168e+16,115245953024.0,13,2.8
A_s14_eq_bps40,A,14,0.071429,random,0.05,40.0,30,,3619,20.77,19.65,21.71,-35.05,-35.96,0.585,0.548,1.156,606.0,27.9,48.7,37.765,-11.79,12.307,14.0,73.76,19.53,-32.27,21.725,-35.05,534.5,51.5,1082.5,1929.5,606.0,660453.5,0.508,5.717,37.35,9.038000011408835e+17,8358127992832.0,26,2.6
A_s16_eq_bps40,A,16,0.0625,random,0.05,40.0,30,B_s16_p0625|C_s16_p0625,3619,20.29,19.12,21.15,-35.54,-37.58,0.569,0.522,1.16,687.0,31.7,48.6,37.12,-11.745,11.968,14.0,72.88,18.585,-32.805,21.92,-35.54,469.0,41.0,963.5,1969.0,687.0,510964.5,0.408,4.344,31.45,1.3712661300487442e+20,1175210392813568.0,6,3.3
