label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,rot_sell_only,hard_stop,hard_stop_pct,seeds,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,cagr_med,maxdd_med,calmar_med,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,days_signal_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,swaps_med,swap_attempts_med,swaps_per_yr_med,trims_med,trims_per_yr_med,trim_notional_med,partial_fills_med,tax_paid_med,tax_st_med,tax_lt_med,turnover_x_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,profit_total_med,top10_share_med,top10_share_all_med,mult_all_med,mult_drop10_med,med_seed,secs
BASE_rand_b40,BASE,16,0.0625,random,0.052,40.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,20.295,19.42,21.21,-35.48,-37.53,0.574,0.526,20.295,-35.48,0.574,1.159,688.0,31.7,48.5,37.145,-11.765,11.937,14.0,72.88,18.67,-32.715,21.815,-35.48,1880.0,469.0,41.0,965.0,1967.0,688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7493204.0,6575081.0,917025.5,2.471,517615.0,0.413,4.39,31.95,59444182.0,37.6,37.6,9.826264608885283e+19,884841579020288.0,1,3.2
A_cush_m010_b40,A,16,0.0625,random,0.052,40.0,cushion,10.0,1,tv,0.0,month,0.0,0,0,0.92,30,21.925,20.79,23.0,-44.54,-44.61,0.492,0.467,21.925,-44.54,0.492,1.037,1530.0,70.6,44.9,26.565,-10.535,6.127,15.0,75.215,20.65,-44.54,23.13,-38.82,1880.0,833.0,362.0,1813.5,1335.0,1530.0,1058.0,2273.5,48.79,0.0,0.0,0.0,0.0,12564147.5,12351207.5,216932.0,6.847,764198.0,0.798,7.518,44.4,83462832.0,49.25,49.25,1.0346977812686045e+19,78481400528896.0,7,7.5
A_rs_m025_b40,A,16,0.0625,random,0.052,40.0,rs,25.0,1,tv,0.0,month,0.0,0,0,0.92,30,21.845,21.4,22.92,-42.22,-42.37,0.517,0.507,21.845,-42.22,0.517,1.097,1179.0,54.4,45.75,29.075,-9.975,7.878,15.0,72.85,19.21,-34.74,24.545,-42.22,1880.0,472.0,24.0,955.0,2003.5,1179.0,518.5,2338.5,23.91,0.0,0.0,0.0,0.0,11707615.0,9793641.5,1915285.5,5.085,605246.0,0.61,8.109,40.5,81061007.5,50.0,50.0,7.775850905138836e+19,146754628485120.0,11,5.7
A_unre_m000_b40,A,16,0.0625,random,0.052,40.0,unreal,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,19.755,19.47,20.28,-41.725,-44.24,0.47,0.44,19.755,-41.725,0.47,1.082,1359.5,62.7,28.2,35.995,-5.73,6.036,25.0,73.495,18.69,-35.2,20.79,-41.725,1880.0,443.5,21.0,841.5,2145.5,1359.5,727.0,2334.0,33.525,0.0,0.0,0.0,0.0,7722523.5,6411094.0,1297078.5,5.644,590301.0,0.35,4.245,28.5,54754575.0,47.95,47.95,2.3140155417039995e+18,16667167424512.0,26,5.9
A_unre_m005_b40,A,16,0.0625,random,0.052,40.0,unreal,5.0,1,tv,0.0,month,0.0,0,0,0.92,30,18.3,17.66,18.96,-35.9,-35.9,0.51,0.492,18.3,-35.9,0.51,1.043,891.0,41.1,39.1,35.64,-9.025,8.322,16.0,72.965,19.24,-33.35,17.435,-35.9,1880.0,438.5,21.0,869.0,2108.0,891.0,246.5,2767.0,11.365,0.0,0.0,0.0,0.0,6342805.5,5669574.0,691470.5,3.433,580456.5,0.38,4.249,31.3,41702791.0,50.8,50.8,1.2396880645534515e+17,1287114719232.0,24,5.9
A_unre_m010_b40,A,16,0.0625,random,0.052,40.0,unreal,10.0,1,tv,0.0,month,0.0,0,0,0.92,30,21.835,21.08,22.61,-34.1,-37.03,0.639,0.569,21.835,-34.1,0.639,1.23,741.0,34.2,47.2,37.935,-10.825,12.149,15.0,73.185,19.97,-31.89,23.69,-34.1,1880.0,526.0,84.0,1035.0,1935.0,741.0,92.0,2912.5,4.24,0.0,0.0,0.0,0.0,9838608.0,8127260.5,1311453.0,2.713,591787.0,0.451,5.855,34.6,78941592.0,41.85,41.85,1.2813134441886503e+22,6.255230742586982e+16,20,5.9
A_unre_m020_b40,A,16,0.0625,random,0.052,40.0,unreal,20.0,1,tv,0.0,month,0.0,0,0,0.92,30,20.18,19.1,21.57,-34.32,-37.53,0.592,0.523,20.18,-34.32,0.592,1.152,683.0,31.5,48.6,37.04,-11.63,11.93,14.0,72.94,18.62,-32.715,21.815,-34.32,1880.0,468.0,41.0,975.5,1965.5,683.0,5.0,2937.0,0.23,0.0,0.0,0.0,0.0,7209499.5,6320426.0,914086.0,2.438,514353.0,0.395,4.392,31.2,58342095.5,37.35,37.35,1.085926589868781e+20,1031850860478464.0,8,6.1
A_null_p005_b40,A_null,16,0.0625,random,0.052,40.0,rand,0.05,1,tv,0.0,month,0.0,0,0,0.92,30,19.42,16.81,20.98,-35.85,-39.96,0.548,0.447,19.42,-35.85,0.548,1.115,822.0,37.9,48.3,32.22,-11.515,9.76,14.5,72.92,17.71,-33.505,21.145,-35.025,1880.0,580.5,69.5,1231.5,1709.0,822.0,140.0,2770.5,6.455,0.0,0.0,0.0,0.0,7215234.5,6467243.5,519902.0,3.179,525444.0,0.44,4.673,31.7,51765424.5,40.85,40.85,5.777002867369968e+18,48335566143488.0,27,5.0
A_null_p015_b40,A_null,16,0.0625,random,0.052,40.0,rand,0.15,1,tv,0.0,month,0.0,0,0,0.92,30,18.675,16.08,20.34,-36.455,-41.35,0.513,0.405,18.675,-36.455,0.513,1.055,1061.0,48.9,48.65,26.145,-11.06,7.147,14.0,73.095,17.36,-34.295,19.38,-35.665,1880.0,687.0,135.5,1493.5,1445.0,1061.0,378.5,2520.5,17.455,0.0,0.0,0.0,0.0,6514423.0,6288928.5,194075.5,4.376,551601.5,0.422,4.048,30.5,45462664.5,40.35,40.35,3.971052373048033e+17,8513115914240.0,23,5.0
A_null_p035_b40,A_null,16,0.0625,random,0.052,40.0,rand,0.35,1,tv,0.0,month,0.0,0,0,0.92,30,17.645,13.5,20.1,-36.66,-40.48,0.466,0.375,17.645,-36.66,0.466,0.976,1409.0,65.0,49.1,20.645,-10.17,5.02,17.0,73.185,16.285,-34.085,18.175,-34.805,1880.0,784.0,257.0,1716.0,1230.0,1409.0,740.0,2138.0,34.125,0.0,0.0,0.0,0.0,5514596.0,5425073.0,103131.5,6.049,562404.5,0.386,3.533,27.4,37045940.5,36.35,36.35,1.95677502046208e+16,655475965952.0,18,5.5
B1_trimM_k150_b40,B,16,0.0625,random,0.052,40.0,,0.0,1,tv,1.5,month,0.0,0,0,0.92,30,20.285,19.0,21.22,-33.63,-35.73,0.602,0.537,20.285,-33.63,0.602,1.168,716.5,33.05,48.5,36.6,-11.715,11.752,14.0,72.6,17.73,-33.62,22.965,-31.67,1880.0,715.0,140.5,1475.5,1432.5,716.5,0.0,0.0,0.0,70.0,3.23,45963588.0,0.0,7246513.5,6374925.0,869640.5,2.572,477131.0,0.377,3.713,28.9,37826145.5,44.5,28.25,2.2255539433646535e+20,1704598498705408.0,26,3.3
