label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,rot_sell_only,hard_stop,hard_stop_pct,seeds,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,cagr_med,maxdd_med,calmar_med,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,days_signal_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,swaps_med,swap_attempts_med,swaps_per_yr_med,trims_med,trims_per_yr_med,trim_notional_med,partial_fills_med,tax_paid_med,tax_st_med,tax_lt_med,turnover_x_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,profit_total_med,top10_share_med,top10_share_all_med,mult_all_med,mult_drop10_med,med_seed,secs
BASE_rand,BASE,16,0.0625,random,0.052,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,20.975,20.01,21.72,-34.045,-36.92,0.613,0.556,20.975,-34.045,0.613,1.192,689.0,31.8,49.1,37.18,-11.595,12.268,14.0,72.91,19.025,-32.615,22.85,-33.98,1880.0,472.0,41.0,978.5,1953.0,689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8466719.5,7461325.0,1001508.0,2.479,548749.0,0.429,4.772,33.1,67504935.5,36.8,36.8,8.850774110402416e+20,8141952323158016.0,16,4.1
BASE_tv,BASE,16,0.0625,tv,0.052,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,21.4,21.4,21.4,-35.93,-35.93,0.596,0.596,21.4,-35.93,0.596,1.213,686.0,31.6,49.4,37.2,-11.54,12.546,14.0,72.94,19.54,-32.58,23.2,-35.93,1880.0,470.0,53.0,948.0,1985.0,686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9395627.0,8121956.0,1273670.0,2.487,564361.0,0.423,4.859,34.1,73352869.0,35.8,35.8,4.013415459028516e+21,3.70085520736256e+16,16,3.3
A_cush_m000,A,16,0.0625,random,0.052,25.0,cushion,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,20.445,20.12,20.89,-41.87,-41.87,0.488,0.481,20.445,-41.87,0.488,1.008,1962.0,90.5,45.3,19.72,-8.54,4.273,16.0,74.755,17.83,-41.87,23.09,-40.74,1880.0,723.0,108.0,1501.0,1659.0,1962.0,1503.0,1617.0,69.31,0.0,0.0,0.0,0.0,9763317.5,9701005.0,62250.0,8.824,648705.0,0.365,4.085,27.4,63921934.0,40.1,40.1,1.2442209644477153e+18,22799869542400.0,1,8.5
A_cush_m005,A,16,0.0625,random,0.052,25.0,cushion,5.0,1,tv,0.0,month,0.0,0,0,0.92,30,22.645,22.37,23.73,-43.78,-43.79,0.517,0.511,22.645,-43.78,0.517,1.078,1811.0,83.5,46.6,21.865,-9.33,5.217,18.0,75.05,21.15,-43.78,24.16,-38.27,1880.0,784.0,211.0,1618.0,1553.0,1811.0,1362.5,1924.0,62.825,0.0,0.0,0.0,0.0,15223530.0,15075336.5,147842.0,8.355,889295.0,0.689,7.266,42.15,95849143.0,38.2,38.2,9.116222253782889e+20,1.031292514729984e+16,11,9.2
A_cush_m010,A,16,0.0625,random,0.052,25.0,cushion,10.0,1,tv,0.0,month,0.0,0,0,0.92,30,23.495,23.03,24.4,-44.47,-44.54,0.528,0.518,23.495,-44.47,0.528,1.093,1529.5,70.55,45.6,26.525,-10.4,6.454,15.0,75.175,21.45,-44.47,25.505,-38.0,1880.0,818.5,321.0,1770.0,1377.0,1529.5,1058.0,2273.5,48.79,0.0,0.0,0.0,0.0,16545356.5,16308018.5,237338.0,6.993,850864.5,0.91,9.261,48.3,110664395.5,47.5,47.5,9.856899025936518e+20,7446149904465920.0,1,9.3
A_cush_m025,A,16,0.0625,random,0.052,25.0,cushion,25.0,1,tv,0.0,month,0.0,0,0,0.92,30,19.56,18.29,21.87,-41.15,-41.64,0.475,0.444,19.56,-41.15,0.475,1.009,870.5,40.15,45.9,36.405,-12.785,9.733,15.0,73.605,20.12,-41.15,19.095,-40.2,1880.0,602.0,119.0,1235.5,1800.5,870.5,291.0,2829.5,13.42,0.0,0.0,0.0,0.0,6903867.0,5771837.0,1146654.5,3.336,581440.0,0.622,5.729,40.75,52467880.5,50.6,50.6,1.379189074773934e+17,475671166976.0,18,11.0
A_rs_m000,A,16,0.0625,random,0.052,25.0,rs,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,21.785,21.29,22.62,-41.61,-41.91,0.523,0.511,21.785,-41.61,0.523,1.082,1393.0,64.2,45.65,25.6,-8.955,6.782,17.0,72.67,19.0,-36.96,24.43,-41.61,1880.0,500.0,24.0,1033.5,1918.5,1393.0,728.5,2139.0,33.595,0.0,0.0,0.0,0.0,10968042.5,10092523.5,865610.5,6.103,671301.0,0.611,7.335,40.4,79566966.0,46.0,46.0,1.5726325367391755e+20,270243024863232.0,12,6.8
A_rs_m010,A,16,0.0625,random,0.052,25.0,rs,10.0,1,tv,0.0,month,0.0,0,0,0.92,30,22.3,21.72,23.2,-41.36,-42.2,0.539,0.519,22.3,-41.36,0.539,1.122,1305.0,60.2,46.15,26.965,-9.35,7.377,17.0,72.57,19.635,-38.1,24.945,-41.36,1880.0,489.0,24.0,1006.5,1949.5,1305.0,638.0,2219.5,29.42,0.0,0.0,0.0,0.0,11976223.5,10815743.0,1439257.5,5.662,687686.0,0.646,7.762,41.6,87302305.5,46.15,46.15,6.460089265552317e+20,1181532618227712.0,20,6.8
A_rs_m025,A,16,0.0625,random,0.052,25.0,rs,25.0,1,tv,0.0,month,0.0,0,0,0.92,30,23.175,22.63,24.18,-41.385,-41.52,0.56,0.547,23.175,-41.385,0.56,1.152,1177.0,54.3,47.1,28.625,-9.93,8.275,15.0,72.87,19.93,-36.21,26.475,-41.385,1880.0,479.5,24.0,972.0,1987.5,1177.0,517.0,2343.0,23.84,0.0,0.0,0.0,0.0,13945389.5,11727276.0,2200043.0,5.103,665587.0,0.688,9.602,42.9,102194227.0,46.65,46.65,5.518703946505388e+21,1.0107724494798848e+16,12,6.1
A_rs_m050,A,16,0.0625,random,0.052,25.0,rs,50.0,1,tv,0.0,month,0.0,0,0,0.92,30,22.27,21.7,22.61,-41.34,-41.36,0.54,0.525,22.27,-41.34,0.54,1.129,1078.0,49.7,47.9,29.615,-10.46,8.727,15.0,72.83,19.78,-33.91,24.765,-41.34,1880.0,464.5,22.0,939.0,2010.0,1078.0,407.5,2397.0,18.79,0.0,0.0,0.0,0.0,11289885.5,9693697.5,1602409.5,4.562,676204.5,0.605,8.218,40.8,86274521.0,45.75,45.75,1.391958006497628e+21,3999778488713216.0,22,8.7
A_athd_m000,A,16,0.0625,random,0.052,25.0,athdist,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,18.275,18.13,18.53,-36.78,-36.81,0.497,0.492,18.275,-36.78,0.497,1.046,2007.0,92.5,45.7,17.375,-7.93,3.639,15.0,74.39,17.43,-33.07,19.0,-36.78,1880.0,814.0,253.0,1734.0,1367.0,2007.0,1490.0,1490.0,68.71,0.0,0.0,0.0,0.0,7128313.0,7063468.5,64839.0,8.536,615352.0,0.293,3.024,23.05,42826039.0,32.95,32.95,1.134979192828461e+18,186397453451264.0,1,6.7
A_athd_m010,A,16,0.0625,random,0.052,25.0,athdist,10.0,1,tv,0.0,month,0.0,0,0,0.92,30,18.565,18.09,19.56,-35.05,-35.44,0.529,0.511,18.565,-35.05,0.529,1.075,1039.0,47.9,46.8,26.855,-9.975,7.26,16.0,74.18,17.55,-34.78,19.64,-35.05,1880.0,696.0,161.0,1496.0,1540.5,1039.0,455.5,2683.5,21.005,0.0,0.0,0.0,0.0,6108708.0,5987272.0,124296.0,4.007,495952.0,0.31,3.506,26.0,43934754.5,38.15,38.15,1.1787242387560989e+19,647675196211200.0,24,6.6
A_athd_m020,A,16,0.0625,random,0.052,25.0,athdist,20.0,1,tv,0.0,month,0.0,0,0,0.92,30,19.895,19.19,20.85,-38.455,-38.75,0.522,0.495,19.895,-38.455,0.522,1.134,707.0,32.6,48.4,36.075,-11.64,11.422,17.0,72.895,19.24,-32.61,20.555,-38.455,1880.0,500.0,41.0,1031.5,1907.0,707.0,30.0,2923.0,1.38,0.0,0.0,0.0,0.0,7015504.0,6071696.0,927977.0,2.522,538207.5,0.431,4.5,32.5,55349804.5,39.1,39.1,3.0825462694118687e+19,276307191529472.0,27,6.3
A_athd_m030,A,16,0.0625,random,0.052,25.0,athdist,30.0,1,tv,0.0,month,0.0,0,0,0.92,30,20.775,20.05,21.51,-34.045,-36.92,0.609,0.551,20.775,-34.045,0.609,1.185,691.0,31.9,49.05,36.725,-11.565,12.161,14.0,72.91,19.025,-32.615,22.54,-33.98,1880.0,474.0,41.0,988.0,1945.5,691.0,2.0,2925.5,0.09,0.0,0.0,0.0,0.0,8117473.0,7119569.0,1002968.5,2.509,549300.5,0.431,4.766,33.25,65243764.0,36.6,36.6,4.906690969502944e+20,3844412341747712.0,30,6.5
A_unre_m000,A,16,0.0625,random,0.052,25.0,unreal,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,21.285,20.57,22.12,-40.74,-43.32,0.522,0.475,21.285,-40.74,0.522,1.147,1359.0,62.7,29.55,34.92,-5.55,6.392,22.0,73.49,19.44,-35.1,23.085,-40.74,1880.0,436.0,21.0,825.0,2163.0,1359.0,727.0,2343.5,33.52,0.0,0.0,0.0,0.0,10136869.5,8611811.0,1508751.0,5.784,653359.5,0.407,5.204,32.2,72823409.5,45.9,45.9,2.467057362320071e+20,1724431114174464.0,6,7.1
