label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,seeds,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,cagr_med,maxdd_med,calmar_med,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,days_signal_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,swaps_med,swap_attempts_med,swaps_per_yr_med,trims_med,trims_per_yr_med,trim_notional_med,partial_fills_med,tax_paid_med,tax_st_med,tax_lt_med,turnover_x_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,profit_total_med,top10_share_med,top10_share_all_med,mult_all_med,mult_drop10_med,med_seed,secs
BASE_rand,BASE,16,0.0625,random,0.052,25.0,,0.0,1,tv,0.0,month,0.0,10,20.93,20.01,21.53,-32.65,-36.0,0.623,0.556,20.93,-32.65,0.623,1.191,689.5,31.8,49.0,36.72,-11.59,12.2,14.0,72.925,19.08,-32.59,22.675,-32.515,1880.0,474.5,41.0,1000.5,1933.0,689.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8570553.5,7570234.0,1005116.0,2.491,552058.0,0.427,4.75,32.95,67311111.5,36.7,36.7,9.083588044983055e+20,8376161184776192.0,6,1.0
BASE_tv,BASE,16,0.0625,tv,0.052,25.0,,0.0,1,tv,0.0,month,0.0,10,21.4,21.4,21.4,-35.93,-35.93,0.596,0.596,21.4,-35.93,0.596,1.213,686.0,31.6,49.4,37.2,-11.54,12.546,14.0,72.94,19.54,-32.58,23.2,-35.93,1880.0,470.0,53.0,948.0,1985.0,686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9395627.0,8121956.0,1273670.0,2.487,564361.0,0.423,4.859,34.1,73352869.0,35.8,35.8,4.013415459028516e+21,3.70085520736256e+16,6,1.0
A_cush_m000,A,16,0.0625,random,0.052,25.0,cushion,0.0,1,tv,0.0,month,0.0,10,20.41,20.27,20.81,-41.87,-41.87,0.487,0.484,20.41,-41.87,0.487,1.007,1962.0,90.5,45.35,19.695,-8.55,4.268,16.0,74.755,17.83,-41.87,22.99,-41.23,1880.0,723.0,108.0,1501.0,1658.0,1962.0,1502.0,1617.0,69.26,0.0,0.0,0.0,0.0,9743116.0,9680882.0,62250.0,8.823,648705.0,0.365,4.071,27.35,63539464.5,40.3,40.3,1.0726672231825408e+18,19656165294080.0,4,2.5
A_cush_m005,A,16,0.0625,random,0.052,25.0,cushion,5.0,1,tv,0.0,month,0.0,10,22.5,22.42,23.45,-43.78,-43.79,0.514,0.512,22.5,-43.78,0.514,1.071,1811.0,83.5,46.6,21.84,-9.32,5.187,18.0,75.05,21.11,-43.78,23.87,-38.27,1880.0,784.0,211.0,1618.0,1552.5,1811.0,1362.5,1923.0,62.825,0.0,0.0,0.0,0.0,15131120.5,14983369.0,147751.0,8.352,892653.0,0.692,7.194,42.15,93659071.5,38.05,38.05,5.420141085363641e+20,6668749549600768.0,6,2.8
A_cush_m010,A,16,0.0625,random,0.052,25.0,cushion,10.0,1,tv,0.0,month,0.0,10,23.515,23.03,23.97,-44.47,-44.54,0.528,0.518,23.515,-44.47,0.528,1.091,1531.0,70.6,45.6,26.52,-10.4,6.42,15.0,75.185,21.45,-44.47,25.555,-38.0,1880.0,821.0,375.0,1773.0,1374.0,1531.0,1061.0,2272.5,48.92,0.0,0.0,0.0,0.0,16566438.5,16329100.5,237338.0,6.999,850864.5,0.907,9.319,48.3,111125377.5,47.6,47.6,8.71074629083212e+20,6673816537268224.0,5,3.0
A_cush_m025,A,16,0.0625,random,0.052,25.0,cushion,25.0,1,tv,0.0,month,0.0,10,19.61,18.66,21.87,-41.15,-41.64,0.476,0.449,19.61,-41.15,0.476,1.014,870.0,40.15,45.9,36.32,-12.8,9.733,15.0,73.53,20.13,-41.15,19.34,-40.35,1880.0,601.5,119.0,1239.5,1797.0,870.0,291.0,2831.5,13.42,0.0,0.0,0.0,0.0,6857076.0,5741473.5,1155787.5,3.343,584871.0,0.622,5.941,40.8,52836888.5,49.85,49.85,1.4646989530595328e+17,509761683456.0,1,2.9
A_rs_m000,A,16,0.0625,random,0.052,25.0,rs,0.0,1,tv,0.0,month,0.0,10,21.695,21.56,22.25,-41.525,-41.67,0.522,0.518,21.695,-41.525,0.522,1.081,1397.0,64.45,45.5,25.6,-8.95,6.779,17.0,72.665,18.98,-36.96,24.405,-41.525,1880.0,499.5,24.0,1034.0,1917.5,1397.0,729.5,2137.5,33.64,0.0,0.0,0.0,0.0,10914030.5,10056008.0,862361.0,6.116,666711.5,0.611,7.364,40.4,78276853.0,45.85,45.85,1.4521696029953858e+20,250175469649920.0,3,2.3
A_rs_m010,A,16,0.0625,random,0.052,25.0,rs,10.0,1,tv,0.0,month,0.0,10,22.31,21.72,23.2,-41.35,-42.2,0.54,0.519,22.31,-41.35,0.54,1.12,1305.0,60.2,46.15,27.025,-9.345,7.351,17.0,72.575,19.62,-38.1,24.985,-41.35,1880.0,490.0,24.0,1001.5,1955.5,1305.0,638.0,2223.5,29.42,0.0,0.0,0.0,0.0,12011231.5,11073966.5,1481726.0,5.673,687856.5,0.649,7.92,41.6,87470383.0,46.7,46.7,5.7249897441403496e+20,1520844664733696.0,9,2.0
A_rs_m025,A,16,0.0625,random,0.052,25.0,rs,25.0,1,tv,0.0,month,0.0,10,23.275,22.77,24.0,-41.505,-41.52,0.562,0.551,23.275,-41.505,0.562,1.154,1178.5,54.35,47.2,28.625,-9.935,8.306,15.0,72.85,19.865,-36.21,26.72,-41.505,1880.0,470.5,24.0,956.0,2001.0,1178.5,518.0,2337.5,23.885,0.0,0.0,0.0,0.0,13969825.0,11741536.5,2210542.0,5.141,666986.0,0.689,9.723,43.15,104021769.5,46.4,46.4,6.604939525529853e+21,1.2097201664688128e+16,1,2.1
A_rs_m050,A,16,0.0625,random,0.052,25.0,rs,50.0,1,tv,0.0,month,0.0,10,22.33,21.89,22.61,-41.34,-41.36,0.54,0.53,22.33,-41.34,0.54,1.13,1080.0,49.8,47.8,29.705,-10.435,8.753,15.0,72.845,19.78,-33.91,24.86,-41.34,1880.0,467.5,22.0,949.5,1998.5,1080.0,408.5,2396.5,18.84,0.0,0.0,0.0,0.0,11412014.0,9815501.0,1602175.5,4.569,675738.0,0.605,8.309,40.75,87312957.5,45.55,45.55,1.4713407756982184e+21,4227885678198784.0,2,2.1
