label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,seeds,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,cagr_med,maxdd_med,calmar_med,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,days_signal_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,swaps_med,swap_attempts_med,swaps_per_yr_med,trims_med,trims_per_yr_med,trim_notional_med,partial_fills_med,tax_paid_med,tax_st_med,tax_lt_med,turnover_x_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,profit_total_med,top10_share_med,top10_share_all_med,mult_all_med,mult_drop10_med,med_seed,secs
X_plat_unre_m002,X,16,0.0625,random,0.052,25.0,unreal,2.5,1,tv,0.0,month,0.0,10,19.99,18.97,20.09,-39.555,-39.57,0.505,0.48,19.99,-39.555,0.505,1.099,1068.5,49.25,34.6,35.48,-7.195,7.582,20.0,73.145,19.49,-33.53,20.39,-39.555,1880.0,439.5,21.0,857.5,2124.5,1068.5,429.0,2639.0,19.785,0.0,0.0,0.0,0.0,6924429.0,5877097.0,1011164.0,4.179,598583.0,0.409,4.492,30.95,56268766.0,48.55,48.55,1.430836372617927e+19,119413474852864.0,1,2.3
X_plat_unre_m007,X,16,0.0625,random,0.052,25.0,unreal,7.5,1,tv,0.0,month,0.0,10,21.42,20.57,22.11,-35.61,-35.65,0.602,0.578,21.42,-35.61,0.602,1.198,781.5,36.05,45.5,36.545,-9.96,11.242,16.0,72.875,21.37,-32.12,21.33,-35.61,1880.0,480.0,36.0,949.0,2021.5,781.5,135.0,2878.5,6.23,0.0,0.0,0.0,0.0,9656292.0,7886115.0,1756719.5,2.918,692520.0,0.484,6.03,37.25,73603972.5,36.35,36.35,1.1381995751949449e+22,8.997875739734835e+16,1,2.2
X_plat_unre_m012,X,16,0.0625,random,0.052,25.0,unreal,12.5,1,tv,0.0,month,0.0,10,21.475,20.58,21.75,-33.74,-36.82,0.628,0.578,21.475,-33.74,0.628,1.218,715.5,33.0,48.45,37.67,-11.31,12.449,16.0,73.125,19.0,-31.76,23.995,-33.74,1880.0,524.5,93.0,1044.5,1913.5,715.5,51.5,2925.5,2.375,0.0,0.0,0.0,0.0,9071401.0,7356209.5,1259508.0,2.562,546788.0,0.403,5.097,32.1,74255376.0,39.45,39.45,4.62790854723513e+21,2.1549677358874624e+16,8,2.2
X_plat_unre_m015,X,16,0.0625,random,0.052,25.0,unreal,15.0,1,tv,0.0,month,0.0,10,20.31,19.61,21.12,-34.01,-37.12,0.599,0.538,20.31,-34.01,0.599,1.148,702.0,32.4,48.05,36.57,-11.265,11.68,15.0,72.99,18.41,-33.0,22.165,-33.975,1880.0,481.5,41.0,971.0,1969.5,702.0,22.0,2926.5,1.01,0.0,0.0,0.0,0.0,7352636.5,6452547.0,900810.5,2.484,528070.0,0.401,4.255,30.3,59884131.5,37.3,37.3,2.195777409265875e+20,1833307461386240.0,2,2.1
X_plat_cush_m007,X,16,0.0625,random,0.052,25.0,cushion,7.5,1,tv,0.0,month,0.0,10,24.135,23.57,24.31,-43.82,-43.82,0.551,0.538,24.135,-43.82,0.551,1.117,1676.0,77.3,46.5,24.27,-9.885,5.986,13.0,75.42,21.075,-43.82,27.285,-37.13,1880.0,791.5,258.0,1693.0,1482.0,1676.0,1230.5,2120.0,56.74,0.0,0.0,0.0,0.0,19127104.0,18866121.0,265369.5,7.815,814571.0,0.788,9.051,45.35,124908567.0,46.5,46.5,8.36655010432354e+21,6.369025901094502e+16,7,2.8
X_plat_cush_m015,X,16,0.0625,random,0.052,25.0,cushion,15.0,1,tv,0.0,month,0.0,10,23.0,21.96,23.72,-42.885,-45.48,0.526,0.504,23.0,-42.885,0.526,1.083,1231.0,56.75,45.55,31.295,-11.405,8.019,14.0,74.605,22.74,-42.32,23.3,-42.87,1880.0,769.0,235.0,1587.0,1531.0,1231.0,726.0,2545.0,33.48,0.0,0.0,0.0,0.0,14796107.0,14492304.5,307809.0,5.4,893386.0,1.058,9.825,51.4,100670894.5,47.35,47.35,7.53549643185398e+20,3691086975336448.0,7,2.7
X_plat_cush_m020,X,16,0.0625,random,0.052,25.0,cushion,20.0,1,tv,0.0,month,0.0,10,20.0,19.3,20.76,-44.105,-45.74,0.454,0.422,20.0,-44.105,0.454,0.986,1017.5,46.9,45.05,34.425,-12.475,8.619,18.5,74.255,21.585,-42.43,18.28,-44.105,1880.0,639.0,103.0,1346.5,1730.5,1017.5,477.5,2721.5,22.02,0.0,0.0,0.0,0.0,10040305.0,9636949.5,406426.5,4.174,860600.0,0.861,7.943,47.3,59255296.0,51.2,51.2,1.3412212202799104e+17,367400583168.0,7,3.0
X_plat_rs_m015,X,16,0.0625,random,0.052,25.0,rs,15.0,1,tv,0.0,month,0.0,10,22.75,22.56,23.04,-41.325,-41.35,0.55,0.546,22.75,-41.325,0.55,1.147,1254.0,57.8,46.6,27.635,-9.53,7.738,16.0,72.76,19.8,-38.105,25.645,-41.325,1880.0,495.5,24.0,1013.0,1951.5,1254.0,597.0,2284.0,27.53,0.0,0.0,0.0,0.0,13450533.5,11912822.5,1524562.5,5.426,685059.5,0.657,8.867,42.0,95391472.5,45.25,45.25,1.7981640451692398e+21,3190237014523904.0,9,1.9
X_plat_rs_m035,X,16,0.0625,random,0.052,25.0,rs,35.0,1,tv,0.0,month,0.0,10,22.95,22.49,23.24,-41.31,-41.31,0.556,0.544,22.95,-41.31,0.556,1.146,1134.0,52.3,47.45,29.585,-10.255,8.636,16.0,72.765,19.385,-33.55,26.49,-41.31,1880.0,488.0,22.0,1005.5,1952.5,1134.0,472.0,2386.0,21.765,0.0,0.0,0.0,0.0,12977688.5,11354177.5,1632452.0,4.934,709708.0,0.657,8.976,42.25,97951540.0,45.5,45.5,4.2190339146780686e+21,7485264708501504.0,10,1.9
X_trimM_k125,X,16,0.0625,random,0.052,25.0,,0.0,1,tv,1.25,month,0.0,10,19.645,18.29,20.18,-33.21,-35.89,0.591,0.532,19.645,-33.21,0.591,1.157,742.0,34.25,48.4,36.315,-11.945,11.436,13.5,72.29,16.7,-33.05,22.5,-31.94,1880.0,946.0,441.0,1950.0,930.0,742.0,0.0,0.0,0.0,171.0,7.89,53548094.0,0.0,6284978.5,5536553.0,692601.0,2.635,423463.5,0.331,3.197,24.65,30323349.0,44.4,27.0,2.743723163131765e+20,2152709549457408.0,7,1.1
