label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,rot_sell_only,hard_stop,hard_stop_pct,seeds,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,cagr_med,maxdd_med,calmar_med,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,days_signal_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,swaps_med,swap_attempts_med,swaps_per_yr_med,trims_med,trims_per_yr_med,trim_notional_med,partial_fills_med,tax_paid_med,tax_st_med,tax_lt_med,turnover_x_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,profit_total_med,top10_share_med,top10_share_all_med,mult_all_med,mult_drop10_med,med_seed,secs
BASE_rand_y050,BASE,16,0.0625,random,0.05,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,20.935,19.81,21.74,-35.5,-36.96,0.601,0.549,20.935,-35.5,0.601,1.19,688.0,31.7,49.0,37.41,-11.58,12.314,14.0,72.89,18.935,-32.705,22.9,-35.5,1880.0,472.0,41.0,977.5,1955.0,688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8322651.0,7354846.0,985292.5,2.47,542587.5,0.426,4.704,32.9,67352130.0,39.55,39.55,9.23786201681212e+20,7667506881757184.0,29,3.2
BASE_tv_y050,BASE,16,0.0625,tv,0.05,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,21.72,21.72,21.72,-32.67,-32.67,0.665,0.665,21.72,-32.67,0.665,1.228,683.0,31.5,49.9,37.19,-11.52,12.8,14.0,72.99,19.67,-32.67,23.73,-32.55,1880.0,479.0,53.0,964.0,1972.0,683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10014305.0,8673577.0,1340729.0,2.489,602579.0,0.435,5.172,34.4,77999137.0,35.7,35.7,1.5060265711608028e+22,1.3887391922546278e+17,16,3.0
CTRL_sel_rs_y050,CTRL,16,0.0625,rs,0.05,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,20.59,20.59,20.59,-36.05,-36.05,0.571,0.571,20.59,-36.05,0.571,1.176,694.0,32.0,49.1,36.6,-11.71,12.031,14.0,72.82,19.24,-32.73,21.87,-36.05,1880.0,466.0,41.0,988.0,1937.0,694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8225814.0,7236306.0,989508.0,2.53,544268.0,0.438,5.464,34.0,63388169.0,36.5,36.5,3.7874161040027864e+20,3492456683274240.0,16,3.0
CTRL_sel_age_y050,CTRL,16,0.0625,age,0.05,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,21.75,21.75,21.75,-37.59,-37.59,0.579,0.579,21.75,-37.59,0.579,1.215,682.0,31.4,49.9,37.78,-11.82,12.907,13.0,72.86,19.67,-32.67,23.78,-37.59,1880.0,496.0,53.0,1005.0,1932.0,682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9178398.0,8045378.0,1133022.0,2.437,553940.0,0.449,4.745,34.0,77588676.0,39.1,39.1,1.0297819443854599e+22,7.74270848419758e+16,16,2.7
BASE_rand_y051,BASE,16,0.0625,random,0.051,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,20.975,19.84,21.68,-34.91,-36.94,0.605,0.551,20.975,-34.91,0.605,1.192,688.5,31.75,48.85,37.255,-11.585,12.307,14.0,72.895,18.98,-32.655,22.945,-34.91,1880.0,471.5,41.0,977.5,1954.0,688.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8155051.0,7168410.5,987310.0,2.475,543050.5,0.425,4.741,32.9,67673036.5,39.5,39.5,8.263005452753363e+20,6212779446894592.0,29,3.1
BASE_tv_y051,BASE,16,0.0625,tv,0.051,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,21.76,21.76,21.76,-32.63,-32.63,0.667,0.667,21.76,-32.63,0.667,1.23,683.0,31.5,49.9,37.19,-11.52,12.8,14.0,72.99,19.72,-32.63,23.75,-32.53,1880.0,479.0,53.0,964.0,1972.0,683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10063793.0,8716881.0,1346912.0,2.49,605859.0,0.438,5.199,34.6,78402364.0,35.7,35.7,1.506025445260896e+22,1.3887387627578982e+17,16,2.7
CTRL_sel_rs_y051,CTRL,16,0.0625,rs,0.051,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,20.62,20.62,20.62,-36.02,-36.02,0.573,0.573,20.62,-36.02,0.573,1.178,694.0,32.0,49.1,36.6,-11.71,12.031,14.0,72.81,19.28,-32.68,21.89,-36.02,1880.0,466.0,41.0,988.0,1937.0,694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8264422.0,7271064.0,993358.0,2.53,545746.0,0.44,5.494,34.0,63695949.0,36.5,36.5,3.787420677971158e+20,3492459099193344.0,16,2.7
CTRL_sel_age_y051,CTRL,16,0.0625,age,0.051,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,21.77,21.77,21.77,-36.77,-36.77,0.592,0.592,21.77,-36.77,0.592,1.215,683.0,31.5,49.8,37.77,-11.8,12.877,14.0,72.8,19.72,-32.63,23.79,-36.77,1880.0,496.0,53.0,1003.0,1933.0,683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9195526.0,8048036.0,1147491.0,2.456,563922.0,0.45,4.874,34.4,77850446.0,39.3,39.3,9.57735384166619e+21,7.201005304492851e+16,16,2.7
BASE_rand_y052,BASE,16,0.0625,random,0.052,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,20.975,20.01,21.72,-34.045,-36.92,0.613,0.556,20.975,-34.045,0.613,1.192,689.0,31.8,49.1,37.18,-11.595,12.268,14.0,72.91,19.025,-32.615,22.85,-33.98,1880.0,472.0,41.0,978.5,1953.0,689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8466719.5,7461325.0,1001508.0,2.479,548749.0,0.429,4.772,33.1,67504935.5,36.8,36.8,8.850774110402416e+20,8141952323158016.0,16,2.9
BASE_tv_y052,BASE,16,0.0625,tv,0.052,25.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,30,21.4,21.4,21.4,-35.93,-35.93,0.596,0.596,21.4,-35.93,0.596,1.213,686.0,31.6,49.4,37.2,-11.54,12.546,14.0,72.94,19.54,-32.58,23.2,-35.93,1880.0,470.0,53.0,948.0,1985.0,686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9395627.0,8121956.0,1273670.0,2.487,564361.0,0.423,4.859,34.1,73352869.0,35.8,35.8,4.013415459028516e+21,3.70085520736256e+16,16,3.0
