symbol,trigger_date,entry_date,entry_i,x_bars,depth_pct,tv20_cr,ext_pct,rs252,entry_open,prev_ath
SBIN,2005-02-22,2005-02-23,35,255,39.22,185.35,1.560529634300134,-1000000000.0,64.43,63.44
OFSS,2005-05-20,2005-05-23,96,93,30.1,4.48,2.643171806167399,-1000000000.0,349.5,340.5
INDUSINDBK,2005-05-26,2005-05-27,100,244,41.12,3.12,2.8112449799196693,-1000000000.0,64.0,62.25
KPIL,2005-06-03,2005-06-06,107,60,23.62,2.44,0.837053571428581,-1000000000.0,54.21,53.76
CUMMINSIND,2005-06-06,2005-06-07,108,85,22.77,2.97,0.1535155050660153,-1000000000.0,97.86,97.71
NOCIL,2005-06-06,2005-06-07,108,78,27.58,2.17,1.6885553470919357,-1000000000.0,27.1,26.65
ASHOKLEY,2005-06-08,2005-06-09,110,75,36.84,3.24,13.157894736842103,-1000000000.0,4.3,3.8
IOB,2005-06-08,2005-06-09,110,61,20.15,3.31,1.057579318448898,-1000000000.0,86.0,85.1
LUPIN,2005-06-10,2005-06-13,112,110,25.0,5.11,1.7615373416800306,-1000000000.0,69.9,68.69
KOPRAN,2005-06-15,2005-06-16,115,66,24.72,3.81,16.14123581336695,-1000000000.0,92.1,79.3
SUNPHARMA,2005-06-15,2005-06-16,115,115,21.7,2.97,0.30006001200240107,-1000000000.0,50.14,49.99
RELIANCE,2005-06-20,2005-06-21,118,339,33.15,234.42,4.504504504504503,-1000000000.0,58.0,55.5
MPHASIS,2005-06-21,2005-06-22,119,117,39.72,3.53,1.3937282229965264,-1000000000.0,87.3,86.1
M&M,2005-06-22,2005-06-23,120,91,23.12,38.0,2.5098702763677316,-1000000000.0,72.7,70.92
ONGC,2005-06-22,2005-06-23,120,343,35.12,81.53,1.5507753876938368,-1000000000.0,101.5,99.95
CIPLA,2005-07-01,2005-07-04,127,125,27.25,16.26,0.4701457451810054,-1000000000.0,128.22,127.62
TVTODAY,2005-07-04,2005-07-05,128,126,28.0,3.46,6.812531079065143,-1000000000.0,107.4,100.55
KTKBANK,2005-07-06,2005-07-07,130,118,39.91,10.64,9.872221249781198,-1000000000.0,62.77,57.13
NLCINDIA,2005-07-08,2005-07-11,132,129,20.13,3.4,3.8461538461538547,-1000000000.0,81.0,78.0
BALRAMCHIN,2005-07-11,2005-07-12,133,70,23.24,12.41,4.9859550561797805,-1000000000.0,74.75,71.2
CANBK,2005-07-12,2005-07-13,134,86,27.9,16.54,1.6413522782949608,-1000000000.0,41.49,40.82
ESCORTS,2005-07-12,2005-07-13,134,88,24.41,5.03,5.316455696202538,-1000000000.0,104.0,98.75
HEROMOTOCO,2005-07-13,2005-07-14,135,132,24.52,12.12,3.52387626389028,-1000000000.0,517.05,499.45
ZEEL,2005-07-13,2005-07-14,135,132,26.33,11.44,0.03871467286102881,-1000000000.0,51.68,51.66
BHARATFORG,2005-07-15,2005-07-18,137,91,20.42,12.35,2.562426460975309,-1000000000.0,156.9,152.98
AUROPHARMA,2005-07-18,2005-07-19,138,90,22.62,4.88,4.37317784256559,-1000000000.0,35.8,34.3
BANKINDIA,2005-07-18,2005-07-19,138,91,29.91,9.44,3.7247250798155163,-1000000000.0,116.96,112.76
TVSMOTOR,2005-07-19,2005-07-20,139,136,22.58,3.72,1.747437092264681,-1000000000.0,43.67,42.92
BAJAJHIND,2005-07-25,2005-07-26,143,77,30.8,9.7,1.628881058440279,-1000000000.0,152.86,150.41
GLENMARK,2005-07-25,2005-07-26,143,95,26.97,6.55,2.3267939777096958,-1000000000.0,157.0,153.43
SBIN,2005-07-25,2005-07-26,143,95,21.18,145.28,-0.28567347521782915,-1000000000.0,69.81,70.01
BANKBARODA,2005-07-26,2005-07-27,144,96,36.31,8.92,1.8965517241379182,-1000000000.0,41.37,40.6
HCLTECH,2005-07-29,2005-08-01,146,198,24.4,5.1,0.0,-1000000000.0,49.6,49.6
UNIONBANK,2005-07-29,2005-08-01,146,98,26.84,8.36,0.9410237689624568,-1000000000.0,124.43,123.27
USHAMART,2005-08-01,2005-08-02,147,92,33.27,2.42,4.12051395657953,-1000000000.0,23.5,22.57
DWARKESH,2005-08-03,2005-08-04,149,109,31.09,2.57,6.90208667736758,-1000000000.0,19.98,18.69
ANDHRSUGAR,2005-08-04,2005-08-05,150,148,29.28,2.25,2.6315789473684292,-1000000000.0,31.2,30.4
TATAPOWER,2005-08-05,2005-08-08,151,120,21.22,10.77,2.6587887740029625,-1000000000.0,41.7,40.62
CESC,2005-08-08,2005-08-09,152,106,22.91,5.06,2.5751072961373467,-1000000000.0,19.12,18.64
HFCL,2005-08-08,2005-08-09,152,146,40.47,23.57,2.3575638506876384,-1000000000.0,26.05,25.45
DHAMPURSUG,2005-08-12,2005-08-16,156,130,32.26,12.95,4.112488660417313,-1000000000.0,172.15,165.35
GESHIP,2005-08-30,2005-08-31,167,124,28.62,21.37,3.6683382565088962,-1000000000.0,150.91,145.57
JINDALSTEL,2005-09-01,2005-09-02,169,125,29.02,2.28,-0.44798407167745413,-1000000000.0,40.0,40.18
HINDALCO,2005-09-05,2005-09-06,171,398,41.3,17.75,1.83091864352809,-1000000000.0,127.92,125.62
