label,axis,rot_score,rot_margin,trim_mult,trim_when,min_fill,cagr,cagr_worst,maxdd,calmar,invested,streak,tr_yr,swaps_yr,trims_yr,cash_refused,slot_refused,entries,tax,turnover,w1_cagr,w1_dd,w2_cagr,w2_dd,w1_w2_drop,robust_w2,cagr_wins,cagr_delta,calmar_wins,calmar_delta,w1_wins,w2_wins,top10,top10_all,cap_med,cap_p95,cap_over1,pos_rs
BASE_rand,BASE,,0.0,0.0,month,0.0,20.975,20.01,-34.045,0.613,72.91,14.0,31.8,0.0,0.0,1953.0,978.5,689.0,8466719.5,2.479,19.025,-32.615,22.85,-33.980000000000004,-3.83,True,0,0.0,0,0.0,0,0,36.8,36.8,0.429,4.772,33.1,548749.0
BASE_tv,BASE,,0.0,0.0,month,0.0,21.4,21.4,-35.93,0.596,72.94,14.0,31.6,0.0,0.0,1985.0,948.0,686.0,9395627.0,2.487,19.54,-32.58,23.2,-35.93,-3.66,True,24,0.42,10,-0.017,30,19,35.8,35.8,0.423,4.859,34.1,564361.0
A_cush_m000,A,cushion,0.0,0.0,month,0.0,20.445,20.12,-41.87,0.488,74.755,16.0,90.5,69.31,0.0,1659.0,1501.0,1962.0,9763317.5,8.824,17.83,-41.87,23.09,-40.74,-5.26,True,3,-0.51,0,-0.13,0,19,40.1,40.1,0.365,4.085,27.4,648705.0
A_cush_m005,A,cushion,5.0,0.0,month,0.0,22.645,22.37,-43.78,0.517,75.05,18.0,83.5,62.825,0.0,1553.0,1618.0,1811.0,15223530.0,8.355,21.15,-43.78,24.16,-38.27,-3.01,True,30,1.71,0,-0.093,30,28,38.2,38.2,0.689,7.266,42.15,889295.0
A_cush_m010,A,cushion,10.0,0.0,month,0.0,23.495,23.03,-44.47,0.528,75.175,15.0,70.55,48.79,0.0,1377.0,1770.0,1529.5,16545356.5,6.993,21.45,-44.47,25.505000000000003,-38.0,-4.06,True,30,2.52,0,-0.087,30,30,47.5,47.5,0.91,9.261,48.3,850864.5
A_cush_m025,A,cushion,25.0,0.0,month,0.0,19.56,18.29,-41.15,0.475,73.605,15.0,40.15,13.42,0.0,1800.5,1235.5,870.5,6903867.0,3.336,20.12,-41.15,19.095,-40.2,1.03,True,4,-1.47,0,-0.132,30,3,50.6,50.6,0.622,5.729,40.75,581440.0
A_rs_m000,A,rs,0.0,0.0,month,0.0,21.785,21.29,-41.61,0.523,72.67,17.0,64.2,33.595,0.0,1918.5,1033.5,1393.0,10968042.5,6.103,19.0,-36.96,24.43,-41.61,-5.43,True,28,0.74,0,-0.089,15,29,46.0,46.0,0.611,7.335,40.4,671301.0
A_rs_m010,A,rs,10.0,0.0,month,0.0,22.3,21.72,-41.36,0.539,72.57,17.0,60.2,29.42,0.0,1949.5,1006.5,1305.0,11976223.5,5.662,19.634999999999998,-38.1,24.945,-41.36,-5.31,True,30,1.33,0,-0.074,30,28,46.15,46.15,0.646,7.762,41.6,687686.0
A_rs_m025,A,rs,25.0,0.0,month,0.0,23.175,22.63,-41.385,0.56,72.87,15.0,54.3,23.84,0.0,1987.5,972.0,1177.0,13945389.5,5.103,19.93,-36.21,26.475,-41.385000000000005,-6.55,True,30,2.3,2,-0.062,30,30,46.65,46.65,0.688,9.602,42.9,665587.0
A_rs_m050,A,rs,50.0,0.0,month,0.0,22.27,21.7,-41.34,0.54,72.83,15.0,49.7,18.79,0.0,2010.0,939.0,1078.0,11289885.5,4.562,19.78,-33.91,24.765,-41.34,-4.98,True,30,1.21,0,-0.07,30,30,45.75,45.75,0.605,8.218,40.8,676204.5
A_athd_m000,A,athdist,0.0,0.0,month,0.0,18.275,18.13,-36.78,0.497,74.39,15.0,92.5,68.71,0.0,1367.0,1734.0,2007.0,7128313.0,8.536,17.43,-33.07,19.0,-36.78,-1.57,True,0,-2.73,0,-0.117,0,0,32.95,32.95,0.293,3.024,23.05,615352.0
A_athd_m010,A,athdist,10.0,0.0,month,0.0,18.565,18.09,-35.05,0.529,74.18,16.0,47.9,21.005,0.0,1540.5,1496.0,1039.0,6108708.0,4.007,17.55,-34.78,19.64,-35.05,-2.09,True,0,-2.37,0,-0.089,0,0,38.15,38.15,0.31,3.506,26.0,495952.0
A_athd_m020,A,athdist,20.0,0.0,month,0.0,19.895,19.19,-38.455,0.522,72.895,17.0,32.6,1.38,0.0,1907.0,1031.5,707.0,7015504.0,2.522,19.24,-32.61,20.555,-38.455,-1.32,True,1,-1.19,0,-0.095,22,1,39.1,39.1,0.431,4.5,32.5,538207.5
A_athd_m030,A,athdist,30.0,0.0,month,0.0,20.775,20.05,-34.045,0.609,72.91,14.0,31.9,0.09,0.0,1945.5,988.0,691.0,8117473.0,2.509,19.025,-32.615,22.54,-33.980000000000004,-3.52,True,13,-0.04,8,-0.001,0,14,36.6,36.6,0.431,4.766,33.25,549300.5
A_unre_m000,A,unreal,0.0,0.0,month,0.0,21.285,20.57,-40.74,0.522,73.49,22.0,62.7,33.52,0.0,2163.0,825.0,1359.0,10136869.5,5.784,19.44,-35.1,23.085,-40.74,-3.64,True,17,0.21,0,-0.111,30,15,45.9,45.9,0.407,5.204,32.2,653359.5
A_unre_m005,A,unreal,5.0,0.0,month,0.0,19.11,18.26,-35.2,0.543,72.95,16.0,41.15,11.365,0.0,2114.0,863.5,892.5,7274902.5,3.479,19.8,-33.29,18.509999999999998,-35.2,1.29,True,0,-1.95,1,-0.07,30,0,49.45,49.45,0.412,4.784,33.15,631018.5
A_unre_m010,A,unreal,10.0,0.0,month,0.0,22.685,21.7,-33.52,0.673,73.16,15.0,34.3,4.24,0.0,1947.5,1022.0,743.0,11018798.5,2.74,20.485,-31.79,24.835,-33.52,-4.35,True,30,1.68,27,0.049,30,25,42.1,42.1,0.484,6.469,35.7,634063.0
A_unre_m020,A,unreal,20.0,0.0,month,0.0,20.94,20.06,-35.16,0.597,72.9,14.0,31.5,0.23,0.0,1963.0,977.5,684.0,8394484.0,2.428,18.98,-32.61,22.89,-35.16,-3.91,True,14,-0.11,12,-0.006,0,14,35.35,35.35,0.406,4.647,32.4,537658.0
