label,mechanic,universe,max_age_m,min_bars,L,max_depth,rs_policy,rs_min,tight_max,pivot_mode,stop,trail,target,slots,size_pct,risk_pct,stop_mode,cost,gate,n_signals,w2_cagr,w2_cagr_lo,w2_cagr_hi,w2_dd,w2_dd_worst,w2_calmar,w2_n,w2_tpy,w2_win,w2_mean,w2_netexp,w2_avg_win,w2_avg_loss,w2_hold,w2_inv,w2_streak,wa_cagr,wa_cagr_lo,wa_cagr_hi,wa_dd,wa_dd_worst,wa_calmar,wa_n,wa_tpy,wa_win,wa_mean,wa_netexp,wa_avg_win,wa_avg_loss,wa_hold,wa_inv,wa_streak,wb_cagr,wb_cagr_lo,wb_cagr_hi,wb_dd,wb_dd_worst,wb_calmar,wb_n,wb_tpy,wb_win,wb_mean,wb_netexp,wb_avg_win,wb_avg_loss,wb_hold,wb_inv,wb_streak,secs
m_ref_lookahead__clean,ref_lookahead,clean,6,25,25,0.3,off,70.0,,close,0.08,20,0.25,8,0.1875,,pct,0.0025,False,1571,31.32,30.16,32.84,-21.22,-23.23,1.476,678,32.8,49.5,5.391,4.891,15.22,-4.2,19.0,32.8,13,20.98,20.3,20.98,-12.76,-12.76,1.644,129,12.9,59.7,8.162,7.662,16.25,-3.82,18.0,12.3,4,41.78,38.42,45.68,-20.75,-23.75,2.013,553,51.8,46.8,4.699,4.199,15.03,-4.29,19.0,51.8,14,7.3
m_close_fill__clean,close_fill,clean,6,25,25,0.3,off,70.0,,close,0.08,20,0.25,8,0.1875,,pct,0.0025,False,1571,17.39,15.34,18.9,-36.0,-46.19,0.483,668,32.3,40.7,3.31,2.81,15.63,-5.16,19.0,33.1,15,14.66,13.93,14.66,-12.31,-12.31,1.191,129,12.9,46.5,5.572,5.072,17.33,-4.65,19.0,12.6,8,19.77,17.01,23.64,-36.15,-47.78,0.547,543,50.9,39.4,2.71,2.21,15.12,-5.26,19.0,52.1,16,7.7
m_nextday_pivot__clean,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.08,20,0.25,8,0.1875,,pct,0.0025,False,1548,14.9,13.11,16.73,-38.57,-46.43,0.386,686,33.2,39.9,2.813,2.313,15.25,-5.49,18.0,31.8,18,14.14,13.77,14.14,-12.75,-12.75,1.109,127,12.7,44.9,5.404,4.904,17.86,-4.74,17.0,11.5,9,15.04,12.14,19.53,-37.98,-49.62,0.396,561,52.6,38.6,2.157,1.657,14.57,-5.62,18.0,50.6,17,6.9
m_nextday_candle__clean,nextday_candle,clean,6,25,25,0.3,off,70.0,,close,0.08,20,0.25,8,0.1875,,pct,0.0025,False,1046,13.95,12.31,15.33,-32.51,-39.1,0.429,565,27.3,41.7,3.006,2.506,15.4,-5.89,19.0,27.6,16,13.85,13.85,13.85,-12.64,-12.64,1.096,99,9.9,45.5,6.566,6.066,20.45,-5.0,17.0,9.0,6,13.94,11.64,16.75,-33.97,-43.3,0.41,467,43.7,40.8,2.244,1.744,14.3,-6.08,19.0,44.9,16,6.3
m_resting_stop__clean,resting_stop,clean,6,25,25,0.3,off,70.0,,close,0.08,20,0.25,8,0.1875,,pct,0.0025,False,3685,16.08,13.91,18.85,-47.57,-55.7,0.338,931,45.0,38.4,2.534,2.034,14.78,-5.09,17.0,40.9,28,12.86,12.49,13.65,-24.15,-24.72,0.532,224,22.4,43.8,3.337,2.837,14.82,-5.54,17.0,19.7,11,18.05,12.74,23.69,-48.82,-61.54,0.37,714,66.9,36.3,2.211,1.711,14.81,-4.97,17.0,60.7,28,9.3
m_ref_lookahead__r153univ,ref_lookahead,r153_tickerregex,6,25,25,0.3,off,70.0,,close,0.08,20,0.25,8,0.1875,,pct,0.0025,False,1579,31.48,29.85,32.79,-20.88,-23.9,1.508,679,32.8,49.6,5.414,4.914,15.22,-4.22,19.0,32.8,13,20.98,20.3,20.98,-12.76,-12.76,1.644,129,12.9,59.7,8.162,7.662,16.25,-3.82,18.0,12.3,4,42.6,38.22,46.03,-20.72,-28.48,2.056,555,52.0,46.4,4.762,4.262,15.13,-4.31,19.0,51.8,14,7.9
m_close_fill__r153univ,close_fill,r153_tickerregex,6,25,25,0.3,off,70.0,,close,0.08,20,0.25,8,0.1875,,pct,0.0025,False,1579,17.49,15.96,19.32,-32.07,-44.73,0.545,668,32.3,40.8,3.317,2.817,15.67,-5.17,20.0,33.1,15,14.66,13.93,14.66,-12.31,-12.31,1.191,129,12.9,46.5,5.572,5.072,17.33,-4.65,19.0,12.6,8,20.65,15.77,24.24,-33.83,-42.76,0.611,546,51.1,39.3,2.778,2.278,15.27,-5.28,19.0,52.2,16,7.7
m_nextday_pivot__r153univ,nextday_pivot,r153_tickerregex,6,25,25,0.3,off,70.0,,close,0.08,20,0.25,8,0.1875,,pct,0.0025,False,1556,15.0,13.11,17.74,-37.55,-46.13,0.399,687,33.2,40.0,2.823,2.323,15.31,-5.53,18.0,31.8,17,14.14,13.77,14.14,-12.75,-12.75,1.109,127,12.7,44.9,5.404,4.904,17.86,-4.74,17.0,11.5,9,15.81,11.31,19.85,-39.04,-47.96,0.405,563,52.7,38.8,2.233,1.733,14.69,-5.66,18.0,50.7,17,7.1
m_nextday_candle__r153univ,nextday_candle,r153_tickerregex,6,25,25,0.3,off,70.0,,close,0.08,20,0.25,8,0.1875,,pct,0.0025,False,1054,14.05,12.69,15.32,-32.09,-38.92,0.438,569,27.5,41.5,3.001,2.501,15.51,-5.9,19.0,27.6,16,13.85,13.85,13.85,-12.64,-12.64,1.096,99,9.9,45.5,6.566,6.066,20.45,-5.0,17.0,9.0,6,14.26,11.62,15.64,-31.7,-41.99,0.45,470,44.0,40.8,2.271,1.771,14.32,-6.08,19.0,44.9,16,6.1
m_resting_stop__r153univ,resting_stop,r153_tickerregex,6,25,25,0.3,off,70.0,,close,0.08,20,0.25,8,0.1875,,pct,0.0025,False,3700,15.93,13.44,18.42,-48.87,-57.09,0.326,936,45.3,38.3,2.519,2.019,14.78,-5.1,17.0,40.9,28,12.86,12.49,13.65,-24.15,-24.72,0.532,224,22.4,43.8,3.337,2.837,14.82,-5.54,17.0,19.7,11,18.14,14.58,25.61,-44.99,-54.93,0.403,716,67.1,36.2,2.191,1.691,14.76,-4.97,17.0,60.8,28,9.3
