label,mechanic,universe,max_age_m,min_bars,L,max_depth,rs_policy,rs_min,tight_max,pivot_mode,stop,trail,target,slots,size_pct,risk_pct,stop_mode,cost,gate,n_signals,w2_cagr,w2_cagr_lo,w2_cagr_hi,w2_dd,w2_dd_worst,w2_calmar,w2_n,w2_tpy,w2_win,w2_mean,w2_netexp,w2_avg_win,w2_avg_loss,w2_hold,w2_inv,w2_streak,wa_cagr,wa_cagr_lo,wa_cagr_hi,wa_dd,wa_dd_worst,wa_calmar,wa_n,wa_tpy,wa_win,wa_mean,wa_netexp,wa_avg_win,wa_avg_loss,wa_hold,wa_inv,wa_streak,wb_cagr,wb_cagr_lo,wb_cagr_hi,wb_dd,wb_dd_worst,wb_calmar,wb_n,wb_tpy,wb_win,wb_mean,wb_netexp,wb_avg_win,wb_avg_loss,wb_hold,wb_inv,wb_streak,secs,arm,spec,paired_delta_med,real_wins
n3_incumbent_A_real,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.08,20,0.25,8,0.1875,,pct,0.0025,False,1571,14.12,12.45,16.45,-40.12,-47.92,0.352,694,33.6,39.5,2.665,2.165,15.2,-5.47,18.0,31.9,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,real_nextopen,incumbent,,
n3_incumbent_A_null,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.08,20,0.25,8,0.1875,,pct,0.0025,False,1571,14.53,13.36,15.9,-33.52,-39.21,0.433,926,44.8,39.2,2.129,1.629,11.13,-3.64,11.0,26.5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,null_random_nextopen,incumbent,-0.49,9
n3_incumbent_B_real,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.08,20,0.25,8,0.1875,,pct,0.0025,False,1548,14.9,13.11,16.73,-38.57,-46.43,0.386,686,33.2,39.9,2.813,2.313,15.25,-5.49,18.0,31.8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,real_nextday_pivot,incumbent,,
n3_incumbent_B_null,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.08,20,0.25,8,0.1875,,pct,0.0025,False,1548,15.11,13.65,16.69,-33.9,-37.56,0.446,692,33.5,40.5,2.838,2.338,15.28,-5.62,18.0,31.3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,null_random_nextday_pivot,incumbent,-0.15,14
n3_incumbent_C_cash_only,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.08,20,0.25,8,0.1875,,pct,0.0025,False,0,5.04,5.04,5.04,0.0,0.0,nan,0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,cash_only_5pct,incumbent,,
n3_refit_A_real,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,False,1571,22.44,19.79,24.16,-44.18,-55.02,0.508,469,22.7,45.7,6.038,5.538,22.25,-7.61,37.0,43.7,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,real_nextopen,refit,,
n3_refit_A_null,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,False,1571,15.19,13.14,18.79,-37.68,-45.67,0.403,628,30.4,41.4,3.227,2.727,16.6,-6.17,25.0,39.3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,null_random_nextopen,refit,7.09,30
n3_refit_B_real,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,False,1548,22.4,20.21,24.89,-46.92,-54.75,0.477,467,22.6,46.2,6.103,5.603,22.17,-7.68,37.0,43.5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,real_nextday_pivot,refit,,
n3_refit_B_null,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,False,1548,17.61,15.2,20.13,-41.15,-54.99,0.428,459,22.2,45.2,5.014,4.514,20.97,-8.23,38.0,43.5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,null_random_nextday_pivot,refit,4.71,30
n3_refit_C_cash_only,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,False,0,5.04,5.04,5.04,0.0,0.0,nan,0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,cash_only_5pct,refit,,
