label,mechanic,universe,max_age_m,min_bars,L,max_depth,rs_policy,rs_min,tight_max,pivot_mode,stop,trail,target,slots,size_pct,risk_pct,stop_mode,cost,gate,n_signals,w2_cagr,w2_cagr_lo,w2_cagr_hi,w2_dd,w2_dd_worst,w2_calmar,w2_n,w2_tpy,w2_win,w2_mean,w2_netexp,w2_avg_win,w2_avg_loss,w2_hold,w2_inv,w2_streak,wa_cagr,wa_cagr_lo,wa_cagr_hi,wa_dd,wa_dd_worst,wa_calmar,wa_n,wa_tpy,wa_win,wa_mean,wa_netexp,wa_avg_win,wa_avg_loss,wa_hold,wa_inv,wa_streak,wb_cagr,wb_cagr_lo,wb_cagr_hi,wb_dd,wb_dd_worst,wb_calmar,wb_n,wb_tpy,wb_win,wb_mean,wb_netexp,wb_avg_win,wb_avg_loss,wb_hold,wb_inv,wb_streak,secs
s4_none,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,custom,1548,22.4,20.21,24.89,-46.92,-54.75,0.477,467,22.6,46.2,6.103,5.603,22.17,-7.68,37.0,43.5,17,16.16,16.07,16.16,-20.63,-21.34,0.783,112,11.2,51.8,7.385,6.885,21.8,-8.1,33.0,19.5,7,27.67,23.44,33.85,-48.04,-56.45,0.576,361,33.8,43.9,5.434,4.934,22.11,-7.62,37.0,66.0,17,7.7
s4_nbees_sma100,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,custom,1548,19.48,17.74,21.01,-41.95,-48.02,0.464,372,18.0,48.5,6.452,5.952,21.47,-7.73,39.0,36.9,14,14.76,14.76,14.76,-15.44,-15.44,0.956,85,8.5,51.8,8.293,7.793,23.5,-8.03,33.0,15.0,7,24.53,21.82,27.03,-41.94,-49.73,0.585,288,27.0,47.4,5.886,5.386,20.76,-7.54,41.0,57.7,13,7.1
s4_nbees_sma150,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,custom,1548,22.36,21.5,24.31,-29.34,-40.12,0.762,383,18.5,49.8,7.076,6.576,21.85,-7.6,38.0,37.0,14,15.89,15.89,15.89,-16.15,-16.15,0.984,87,8.7,55.2,8.91,8.41,22.77,-8.15,34.0,15.5,7,29.23,26.07,31.61,-28.1,-38.43,1.04,297,27.8,47.9,6.54,6.04,21.59,-7.42,39.0,57.2,14,6.8
s4_nbees_sma200,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,custom,1548,21.18,19.74,22.82,-31.04,-42.46,0.682,382,18.5,48.2,6.786,6.286,22.31,-7.68,38.0,36.9,13,15.53,15.53,15.53,-21.0,-21.0,0.739,90,9.0,53.3,8.422,7.922,22.77,-7.98,33.0,15.8,7,28.04,24.42,32.66,-32.32,-38.22,0.868,290,27.2,46.9,6.475,5.975,22.11,-7.45,40.0,56.6,11,7.0
s4_nbees_dd5,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,custom,1548,14.78,13.36,16.54,-34.62,-46.3,0.427,300,14.5,46.0,5.726,5.226,21.85,-7.88,38.0,28.6,14,11.19,11.19,11.19,-14.54,-14.54,0.77,52,5.2,48.1,8.492,7.992,26.79,-8.45,27.0,7.4,7,18.88,14.73,20.7,-35.16,-46.15,0.537,249,23.4,45.5,5.219,4.719,20.74,-7.78,40.0,48.6,15,6.5
s4_nbees_dd10,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,custom,1548,20.47,18.48,24.11,-38.99,-47.32,0.525,393,19.0,47.1,6.367,5.867,22.3,-7.7,36.0,35.9,14,12.68,12.68,12.68,-15.74,-15.74,0.806,62,6.2,54.8,8.852,8.352,23.58,-9.03,28.0,9.1,7,29.7,25.68,34.91,-37.84,-46.32,0.785,330,31.0,45.9,6.08,5.58,22.05,-7.49,38.0,61.0,13,7.2
s4_nbees_dd15,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,custom,1548,21.13,18.22,22.74,-46.82,-56.89,0.451,435,21.0,46.1,6.025,5.525,22.23,-7.75,36.0,39.8,17,15.12,15.12,15.12,-16.47,-16.47,0.918,82,8.2,56.1,8.77,8.27,22.68,-9.0,30.0,12.8,7,26.56,21.53,31.38,-48.05,-56.45,0.553,359,33.7,43.6,5.266,4.766,21.91,-7.57,37.0,65.2,17,7.6
s4_nbees_dd20,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,custom,1548,22.4,19.94,24.39,-47.15,-54.51,0.475,461,22.3,46.1,6.118,5.618,22.35,-7.78,37.0,42.8,17,15.89,15.6,15.98,-21.03,-23.31,0.756,106,10.6,51.9,7.565,7.065,22.35,-8.38,32.0,18.0,7,27.67,23.44,33.85,-48.04,-56.45,0.576,361,33.8,43.9,5.434,4.934,22.11,-7.62,37.0,66.0,17,7.9
s4_nbees_mom63neg,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,custom,1548,14.77,12.73,16.0,-43.69,-55.51,0.338,367,17.8,44.5,5.048,4.548,21.15,-7.65,38.0,35.2,15,11.35,11.35,11.35,-20.64,-20.64,0.55,86,8.6,46.5,5.858,5.358,21.46,-7.71,33.0,14.6,8,18.42,15.09,21.54,-45.72,-51.23,0.403,281,26.4,43.5,4.807,4.307,20.77,-7.61,39.0,54.0,16,6.5
s4_nbees_mom126neg,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,custom,1548,20.02,18.48,21.82,-33.49,-39.85,0.598,366,17.7,47.0,6.642,6.142,22.53,-7.49,37.0,34.4,11,15.88,15.88,15.88,-16.47,-16.47,0.964,82,8.2,53.7,9.326,8.826,23.72,-7.34,33.0,14.0,7,24.9,21.74,26.84,-33.14,-42.16,0.751,286,26.8,44.6,5.963,5.463,22.48,-7.46,38.0,53.5,16,6.2
s4_nbees_mom252neg,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,50,0.25,8,0.1875,,pct,0.0025,custom,1548,20.19,18.29,23.19,-44.71,-56.13,0.452,427,20.7,45.3,5.897,5.397,22.45,-7.67,37.0,39.9,17,16.14,16.05,16.14,-18.99,-19.68,0.85,100,10.0,52.0,8.123,7.623,23.04,-8.04,34.0,18.0,7,23.78,20.41,28.74,-47.63,-56.05,0.499,327,30.6,42.8,5.158,4.658,22.27,-7.54,38.0,60.3,17,7.1
