stop,trail,real,null,real_worst,real_dd,real_calmar,real_inv,real_mean_tr,null_mean_tr,edge_per_trade,paired_edge,edge_lo,edge_hi,real_wins
0.1,10,9.3,9.32,8.33,-40.75,0.228,19.3,1.579,1.539,0.04,0.04,-1.02,1.52,16
0.1,15,11.01,11.6,9.71,-36.54,0.301,23.7,2.11,2.154,-0.044,-0.71,-1.78,1.0,5
0.1,20,13.97,13.94,12.94,-29.48,0.474,26.5,3.067,3.014,0.053,-0.1,-1.08,1.86,14
0.1,30,17.26,15.77,16.38,-30.16,0.572,31.6,4.519,4.079,0.44,1.26,0.03,4.05,30
0.1,40,19.53,16.52,18.03,-31.3,0.624,34.5,5.686,4.8,0.886,3.08,1.26,5.5,30
0.1,50,21.8,16.98,20.83,-26.63,0.819,36.3,6.738,5.195,1.543,4.78,2.89,6.48,30
0.1,60,20.92,18.58,18.9,-29.99,0.698,37.2,6.916,6.154,0.762,2.05,0.64,3.8,30
0.1,75,19.66,19.24,17.95,-30.7,0.64,39.4,7.138,6.989,0.149,0.43,-1.31,3.96,18
0.1,100,19.29,18.84,17.51,-24.81,0.778,40.9,7.3,7.242,0.058,0.31,-1.46,3.69,17
0.15,10,8.96,9.22,8.01,-42.16,0.212,19.3,1.531,1.524,0.007,-0.29,-1.29,1.25,11
0.15,15,10.56,11.34,9.14,-37.71,0.28,23.6,2.044,2.122,-0.078,-0.88,-2.05,0.74,5
0.15,20,13.79,13.63,12.74,-31.26,0.441,26.5,3.034,2.973,0.061,-0.06,-1.41,2.36,13
0.15,30,17.68,16.17,15.99,-34.72,0.509,31.7,4.706,4.239,0.467,1.54,0.04,3.66,30
0.15,40,19.2,16.29,18.12,-34.28,0.56,34.7,5.689,4.849,0.84,2.8,0.66,4.98,30
0.15,50,22.36,17.52,21.5,-29.34,0.762,37.0,7.076,5.505,1.571,4.91,2.25,6.94,30
0.15,60,20.07,17.02,18.51,-33.8,0.594,38.1,7.02,6.035,0.985,3.28,1.27,5.41,30
0.15,75,18.62,16.27,16.23,-26.76,0.696,40.9,7.419,6.659,0.76,2.05,0.04,4.89,30
0.15,100,17.74,16.32,15.44,-28.02,0.633,42.3,7.631,7.323,0.308,1.21,-1.36,3.85,27
