symbol,date,ratio,tv20_cr
63MOONS,2013-08-01,0.355,26.12
ABBOTINDIA,2010-01-08,2.9928,0.0
ABFRL,2025-05-22,0.4414,73.61
ABREL,2019-10-11,0.4464,53.88
ABSLLIQUID,2023-03-16,259.7429,0.02
ADANIENT,2015-06-03,0.5808,167.83
AGI,2019-08-19,0.3178,1.44
AJMERA,2006-09-26,69.6364,0.0
ALLCARGO,2025-11-12,0.3988,9.64
ARIHANT,2026-04-20,22.889,0.18
ARVIND,2018-11-28,0.4364,84.26
ATLASCYCLE,2017-10-30,0.5251,0.17
ATLASCYCLE,2024-12-27,2.2929,0.03
BAJFINANCE,2008-12-17,0.5,0.05
BAJFINANCE,2008-12-19,2.0,0.06
BAJFINANCE,2008-12-22,0.5,0.06
BAJFINANCE,2008-12-23,2.0,0.06
BAJFINANCE,2008-12-24,0.5,0.07
BAJFINANCE,2008-12-26,2.0,0.06
BAJFINANCE,2008-12-31,0.5,0.07
BAJFINANCE,2009-01-01,2.0,0.07
BAJFINANCE,2009-01-07,0.5,0.14
BAJFINANCE,2009-03-23,2.0,0.03
BCG,2025-07-14,2.0205,0.0
BESTAGRO,2024-04-10,0.5803,7.23
BILVYAPAR-BE,2023-02-23,2.0541,0.0
BLUECHIP-BE,2018-03-22,0.5,0.0
BLUECHIP-BE,2018-04-13,2.0,0.0
BLUECHIP-BE,2020-04-01,0.5,0.0
BLUECHIP-BE,2020-04-03,2.0,0.0
BLUECHIP-BE,2020-09-07,0.5,0.0
BLUECHIP-BE,2020-09-14,2.0,0.0
BLUECHIP-BE,2020-09-16,0.5,0.0
BLUECHIP-BE,2020-09-17,2.0,0.0
BLUECOAST,2008-12-16,0.5234,0.0
BLUECOAST-BE,2008-12-16,0.5234,0.0
CCAVENUE,2018-09-28,0.2919,85.48
CCCL,2024-09-03,7.6267,0.02
CINELINE,2012-06-13,0.455,0.0
COHANCE,2020-03-24,0.4728,
CRESTO,2018-01-18,2.7851,
DCM-BE,2019-05-30,0.5097,0.09
DCMSRIND,2025-12-26,0.3167,2.45
DIACABS,2023-09-18,0.1195,0.0
ELGIRUBCO,2011-08-10,3.8418,0.0
FCL,2018-06-25,2.0956,0.0
FCSSOFT,2017-12-04,0.5,0.01
FCSSOFT,2018-02-01,2.0,0.01
FOCUS-BE,2019-07-31,0.349,0.06
GFLLIMITED,2019-08-06,0.4261,4.17
GFLLIMITED,2021-03-26,2.728,1.42
GILT5YBEES,2021-04-08,4.77,0.0
GKWLIMITED,2009-07-20,3.6016,0.0
GLOBAL,2022-06-21,2.0921,0.6
GLOBAL,2022-09-13,0.525,0.59
GLOBE,2021-08-20,3.1304,0.0
GNFC,2008-10-10,0.5388,0.47
GNFC,2008-10-24,0.5524,0.38
GNFC,2008-10-28,2.1351,0.36
GNFC,2015-08-24,0.5424,0.07
GOCLCORP,2014-06-26,3.5743,0.0
GOLDETF,2023-02-24,4.506,0.0
GOODLUCK,2026-05-18,0.3366,16.03
GOYALALUM,2022-11-04,95.3667,0.0
GOYALALUM,2023-03-10,0.1007,8.2
GTL,2011-06-20,0.3782,1.05
GTLINFRA,2011-06-20,0.5726,1.48
GULFPETRO-BE,2013-07-09,1.816,0.04
GVKPIL-BE,2022-08-12,2.28,0.16
GVPTECH,2022-09-22,5.4798,
GVPTECH,2022-12-06,0.2034,0.05
HEALTHADD,2026-05-18,0.1004,0.05
HINDCOMPOS,2008-11-06,0.5755,0.0
HINDPETRO,2013-08-28,0.6,3.84
HUBTOWN,2009-03-26,0.5471,272.56
INFIBEAM,2018-09-28,0.2917,84.75
IRISDOREME,2018-11-16,0.2661,
JAIPURKURT,2019-04-30,0.419,0.03
JAYNECOIND,2019-02-21,0.5948,0.02
JINDALPHOT,2016-05-12,0.529,0.14
JINDRILL,2006-12-22,1.8275,0.0
JKLAKSHMI,2006-06-19,9.2833,0.0
JLHL,2026-05-18,0.2017,1.77
JMFINANCIL,2006-10-10,221.3571,0.0
JSL,2015-11-19,0.4257,4.69
KAPSTON,2018-04-04,0.0967,0.01
KESORAMIND-BE,2025-03-10,0.0474,20.66
KEYFINSERV,2009-04-28,0.4286,0.0
KHAITANLTD,2018-01-08,2.4909,0.0
KILITCH,2026-02-18,0.507,0.45
KINGFA,2016-11-15,3.2664,0.0
KIRLFER,2019-11-13,0.0995,0.75
KIRLPNU,2026-05-18,0.4951,21.73
KOVAI,2021-08-05,10.1891,3.08
KOVAI,2026-04-20,2.1299,1.23
KRISHANA,2026-05-18,0.1988,20.54
KRITI,2021-11-01,15.4224,0.0
LANCER,2026-08-17,0.2218,1.9
LANDSMILL,2017-12-07,14.2621,20.41
LANDSMILL,2018-01-23,0.3495,0.41
LANDSMILL,2018-02-07,0.0637,0.32
LANDSMILL,2019-04-25,14.5,0.01
LANDSMILL,2019-06-25,0.0769,0.01
LANDSMILL,2019-07-18,16.5,0.01
LANDSMILL,2019-12-17,0.0556,0.0
LANDSMILL,2020-01-02,24.0,0.0
LANDSMILL,2020-03-04,0.0455,0.0
LANDSMILL,2020-06-05,2.0,0.0
LANDSMILL,2020-06-22,0.5,0.0
LANDSMILL,2020-06-24,2.0,0.0
LANDSMILL,2020-06-25,0.5,0.0
LANDSMILL,2020-08-21,2.0,0.0
LANDSMILL,2020-09-15,0.5,0.01
